datetime,open,high,low,close,volume
2010-01-05 12:01:00,235.39,265.1,231.92,245.68,8707481
2010-01-06 12:01:00,245.58,249.34,240.7,241.74,1170320
2010-01-07 12:01:00,242.45,248.29,241.27,245.54,823422
2010-01-08 12:01:00,244.01,246.07,237.8,239.04,235521
2010-01-11 12:01:00,241.6,242.62,235.0,239.04,270664
2010-01-12 12:01:00,239.11,240.66,234.69,235.41,177605
2010-01-13 12:01:00,235.41,240.66,232.06,238.0,214107
2010-01-14 12:01:00,239.7,240.37,235.0,236.45,71557
2010-01-15 12:01:00,235.78,237.74,234.88,235.08,75754
2010-01-18 12:01:00,235.08,237.27,233.43,235.12,54124
2010-01-19 12:01:00,233.04,242.21,233.04,235.96,120417
2010-01-20 12:01:00,236.74,239.7,235.0,235.76,74275
2010-01-21 12:01:00,235.0,236.94,230.89,231.43,86478
2010-01-22 12:01:00,227.16,239.68,227.16,228.71,119658
2010-01-25 12:01:00,229.12,233.04,226.38,226.97,130522
2010-01-27 12:01:00,226.12,230.3,211.62,223.62,66130
2010-01-28 12:01:00,225.2,227.95,224.01,224.97,68171
2010-01-29 12:01:00,224.97,224.97,215.95,221.66,31178
2010-02-01 12:02:00,222.46,226.77,221.66,225.38,28266
2010-02-02 12:02:00,227.16,229.12,223.24,223.28,17124
2010-02-04 12:02:00,223.28,225.4,221.7,222.66,13166
2010-02-05 12:02:00,220.11,221.28,209.14,218.62,23009
2010-02-06 12:02:00,219.32,221.28,215.93,218.81,2562
2010-02-08 12:02:00,221.28,226.38,218.93,220.72,15556
2010-02-09 12:02:00,226.18,226.38,217.36,219.11,7955
2010-02-10 12:02:00,212.47,222.85,212.47,219.68,11958
2010-02-11 12:02:00,219.34,224.03,219.34,222.11,13765
2010-02-15 12:02:00,223.24,227.12,219.4,222.66,19363
2010-02-16 12:02:00,225.2,225.2,219.44,220.11,10492
2010-02-17 12:02:00,221.28,225.99,221.28,222.58,11770
2010-02-18 12:02:00,222.07,225.18,219.36,222.89,25671
2010-02-19 12:02:00,220.13,222.44,220.13,221.32,7109
2010-02-22 12:02:00,225.2,225.2,219.36,220.26,9875
2010-02-23 12:02:00,213.45,223.22,213.45,219.29,12817
2010-02-24 12:02:00,219.29,219.29,217.36,217.62,5099
2010-02-25 12:02:00,218.54,223.2,217.01,221.75,12716
2010-02-26 12:02:00,222.46,225.2,219.64,220.93,19200
2010-03-02 12:03:00,223.05,227.12,220.38,225.03,12887
2010-03-03 12:03:00,225.59,241.66,223.64,237.43,199211
2010-03-04 12:03:00,234.59,239.27,233.63,238.12,46677
2010-03-05 12:03:00,238.53,238.92,234.22,235.14,16438
2010-03-08 12:03:00,235.39,238.84,230.73,231.53,14239
2010-03-09 12:03:00,231.86,234.1,227.95,231.16,7653
2010-03-10 12:03:00,223.24,234.53,223.24,231.61,37628
2010-03-11 12:03:00,226.38,234.88,226.01,226.89,22349
