datetime,open,high,low,close,volume
2007-03-19 12:03:00,10,11.05,9.4,9.48,66436
2007-03-20 12:03:00,9.58,9.58,9.4,9.42,26083
2007-03-21 12:03:00,9.48,9.49,9.44,9.46,12717
2007-03-22 12:03:00,9.5,9.52,9.46,9.5,10381
2007-03-26 12:03:00,9.45,9.45,9.4,9.41,6414
2007-03-28 12:03:00,9.45,9.48,9.41,9.44,4696
2007-03-29 12:03:00,9.45,9.48,9.42,9.47,3684
2007-03-30 12:03:00,9.48,9.48,9.45,9.47,2766
2007-04-02 12:04:00,9.5,9.51,9.42,9.45,1944
2007-04-03 12:04:00,9.46,9.46,9.3,9.4,18202
2007-04-04 12:04:00,9.41,9.41,9.38,9.4,3722
2007-04-05 12:04:00,9.49,9.49,9.45,9.46,4704
2007-04-09 12:04:00,9.45,9.47,9.44,9.46,2252
2007-04-10 12:04:00,9.46,9.53,9.46,9.49,2060
2007-04-11 12:04:00,9.37,9.51,9.37,9.49,2129
2007-04-12 12:04:00,9.5,9.51,9.47,9.48,2912
2007-04-13 12:04:00,9.48,9.51,9.47,9.48,2493
2007-04-16 12:04:00,9.52,9.58,9.48,9.49,6032
2007-04-17 12:04:00,9.49,9.58,9.42,9.43,8291
2007-04-18 12:04:00,9.42,9.48,9.42,9.46,2709
2007-04-19 12:04:00,9.54,9.65,9.5,9.51,36561
2007-04-20 12:04:00,9.7,9.7,9.45,9.47,40335
2007-04-23 12:04:00,9.47,9.52,9.45,9.46,2459
2007-04-24 12:04:00,9.46,9.47,9.31,9.35,12540
2007-04-25 12:04:00,9.35,9.37,9.26,9.28,7071
2007-04-26 12:04:00,9.3,9.3,9.21,9.22,8097
2007-04-30 12:04:00,9.2,9.24,9.15,9.22,3411
2007-05-03 12:05:00,9.21,9.21,9.13,9.15,7018
2007-05-04 12:05:00,9.18,9.19,9.12,9.17,9203
2007-05-07 12:05:00,9.4,9.4,9.18,9.21,2416
2007-05-08 12:05:00,9.21,9.24,9.15,9.21,2114
2007-05-09 12:05:00,9.2,9.24,9.12,9.21,1851
2007-05-10 12:05:00,9.21,9.22,9.15,9.16,3050
2007-05-11 12:05:00,8.95,9.15,8.95,9.08,9003
2007-05-14 12:05:00,9.12,9.12,9.08,9.08,5426
2007-05-15 12:05:00,9.04,9.05,8.97,8.98,13366
2007-05-16 12:05:00,8.98,9.14,8.98,9.02,4873
2007-05-17 12:05:00,8.87,8.95,8.87,8.91,17433
2007-05-18 12:05:00,8.9,8.9,8.85,8.89,20286
2007-05-21 12:05:00,8.88,8.9,8.84,8.85,18082
2007-05-22 12:05:00,8.88,8.88,8.83,8.85,11380
2007-05-23 12:05:00,8.83,8.85,8.78,8.8,20625
2007-05-24 12:05:00,8.85,8.85,8.81,8.82,8766
2007-05-25 12:05:00,8.77,8.79,8.72,8.75,15650
2007-05-28 12:05:00,8.77,8.77,8.71,8.76,16011
2007-05-29 12:05:00,8.76,8.82,8.73,8.77,8086
2007-05-30 12:05:00,8.77,8.81,8.77,8.79,6044
2007-06-01 12:06:00,8.79,8.87,8.79,8.84,6384
2007-06-04 12:06:00,8.84,8.92,8.84,8.89,8202
2007-06-05 12:06:00,8.95,8.97,8.9,8.93,19380
2007-06-06 12:06:00,8.95,8.97,8.9,8.96,34020
2007-06-07 12:06:00,9.8,9.8,8.9,8.94,7436
2007-06-08 12:06:00,8.89,8.94,8.83,8.85,6454
2007-06-11 12:06:00,8.9,8.9,8.76,8.77,7429
2007-06-12 12:06:00,8.79,8.79,8.74,8.75,7199
2007-06-13 12:06:00,8.74,8.75,8.68,8.69,9128
2007-06-14 12:06:00,8.78,8.78,8.73,8.74,4459
2007-06-15 12:06:00,8.82,8.82,8.71,8.75,31793
2007-06-18 12:06:00,8.71,8.82,7.97,8.81,7476
2007-06-19 12:06:00,8.81,8.81,8.73,8.78,2824
2007-06-20 12:06:00,9.15,9.15,8.75,8.82,7763
2007-06-21 12:06:00,8.8,8.81,8.74,8.77,4887
2007-06-22 12:06:00,8.76,8.76,8.71,8.73,5918
2007-06-25 12:06:00,8.73,8.78,8.72,8.74,1807
2007-06-26 12:06:00,8.75,8.76,8.7,8.7,6739
2007-06-27 12:06:00,8.7,8.7,8.63,8.64,13011
2007-06-28 12:06:00,8.63,8.69,8.63,8.67,4434
2007-06-29 12:06:00,8.69,8.72,8.64,8.69,4212
2007-07-02 12:07:00,8.7,8.72,8.65,8.69,3417
2007-07-03 12:07:00,8.78,8.78,8.7,8.74,2849
2007-07-04 12:07:00,8.74,8.74,8.7,8.7,7062
2007-07-06 12:07:00,8.66,8.66,8.6,8.61,20169
2007-07-10 12:07:00,8.71,8.75,8.71,8.73,2481
2007-07-11 12:07:00,8.72,8.79,8.72,8.77,2635
2007-07-12 12:07:00,8.78,8.8,8.75,8.79,4178
2007-07-13 12:07:00,8.9,8.9,8.75,8.83,4472
2007-07-16 12:07:00,8.69,8.89,8.69,8.84,2436
2007-07-17 12:07:00,8.82,8.84,8.72,8.78,1774
2007-07-18 12:07:00,8.79,8.82,8.78,8.8,3417
2007-07-19 12:07:00,8.82,8.88,8.82,8.87,4314
2007-07-20 12:07:00,8.85,8.91,8.85,8.89,2433
2007-07-23 12:07:00,8.94,8.98,8.92,8.96,5583
2007-07-24 12:07:00,8.96,8.96,8.9,8.94,2167
2007-07-25 12:07:00,8.92,8.98,8.91,8.93,5453
2007-07-26 12:07:00,8.95,8.95,8.88,8.9,1654
2007-07-27 12:07:00,8.88,8.88,8.77,8.82,4470
2007-07-30 12:07:00,8.83,8.83,8.74,8.77,5014
2007-07-31 12:07:00,8.8,8.85,8.75,8.8,1916
2007-08-01 12:08:00,8.73,8.85,8.73,8.73,3122
2007-08-02 12:08:00,8.9,8.9,8.71,8.78,2510
2007-08-03 12:08:00,8.79,8.82,8.72,8.8,2396
2007-08-06 12:08:00,8.8,8.9,8.8,8.89,5347
2007-08-07 12:08:00,8.89,8.89,8.86,8.87,3045
2007-08-08 12:08:00,8.86,8.92,8.85,8.88,3060
2007-08-09 12:08:00,8.98,8.99,8.86,8.88,5740
2007-08-13 12:08:00,8.82,8.88,8.82,8.85,6443
2007-08-14 12:08:00,8.8,8.88,8.8,8.85,5513
2007-08-16 12:08:00,8.86,8.9,8.8,8.87,5836
2007-08-17 12:08:00,8.85,8.85,8.79,8.8,7013
2007-08-20 12:08:00,8.8,8.85,8.75,8.81,2972
2007-08-21 12:08:00,8.78,8.84,8.78,8.8,4636
2007-08-22 12:08:00,8.81,8.82,8.78,8.78,3769
2007-08-23 12:08:00,8.83,8.84,8.79,8.82,1257
2007-08-24 12:08:00,8.75,8.84,8.75,8.83,2986
2007-08-27 12:08:00,8.82,8.93,8.81,8.92,5844
2007-08-28 12:08:00,8.92,8.94,8.9,8.93,2395
2007-08-29 12:08:00,8.9,8.96,8.9,8.94,2921
2007-08-30 12:08:00,8.95,8.96,8.85,8.87,3651
2007-08-31 12:08:00,8.87,8.94,8.87,8.92,1786
2007-09-03 12:09:00,8.7,8.95,8.7,8.93,3188
2007-09-04 12:09:00,8.93,8.97,8.92,8.96,2712
2007-09-05 12:09:00,8.99,9.1,8.99,9.01,16540
2007-09-06 12:09:00,9.05,9.09,9.04,9.08,3813
2007-09-07 12:09:00,9.12,9.22,9.12,9.2,6635
2007-09-10 12:09:00,9.25,9.3,9.22,9.29,6759
2007-09-11 12:09:00,9.35,9.35,9.28,9.3,4036
2007-09-12 12:09:00,9.25,9.38,9.25,9.36,7254
2007-09-13 12:09:00,9.35,9.38,9.28,9.3,2747
2007-09-14 12:09:00,9.28,9.32,9.28,9.3,2703
2007-09-17 12:09:00,9.31,9.42,9.3,9.37,14158
2007-09-18 12:09:00,9.38,9.45,9.38,9.42,6299
2007-09-19 12:09:00,9.5,9.5,9.43,9.45,8837
2007-09-20 12:09:00,9.49,9.49,9.4,9.43,2784
2007-09-21 12:09:00,9.49,9.75,9.48,9.52,5779
2007-09-24 12:09:00,9.51,9.53,9.4,9.48,8409
2007-09-25 12:09:00,9.47,9.48,9.38,9.41,3205
2007-09-26 12:09:00,9.32,9.44,9.31,9.42,3063
