datetime,open,high,low,close,volume
2020-01-28 12:01:00,7.0,7.0,6.69,6.69,80254
2020-01-29 12:01:00,6.22,7.0,6.22,6.95,1166
2020-01-30 12:01:00,7.2,7.2,6.67,6.71,2343
2020-01-31 12:01:00,6.9,6.9,6.64,6.69,19210
2020-02-01 12:02:00,6.72,6.72,6.55,6.57,7787
2020-02-03 12:02:00,6.5,6.89,5.8,6.7,1206
2020-02-04 12:02:00,6.89,6.89,6.5,6.85,1253
2020-02-05 12:02:00,6.74,6.74,6.73,6.73,14
2020-02-06 12:02:00,6.43,6.73,6.43,6.65,8691
2020-02-07 12:02:00,6.65,6.78,6.65,6.74,6040
2020-02-10 12:02:00,6.74,6.75,6.64,6.64,1555
2020-02-11 12:02:00,6.64,6.75,6.4,6.5,4116
2020-02-12 12:02:00,6.69,6.75,6.66,6.68,6592
2020-02-13 12:02:00,6.71,6.72,6.69,6.7,2626
2020-02-14 12:02:00,6.7,6.79,6.67,6.73,3740
2020-02-17 12:02:00,6.67,6.67,6.61,6.63,299
2020-02-18 12:02:00,6.63,6.63,6.55,6.57,2498
2020-02-19 12:02:00,6.6,6.7,6.6,6.68,3944
2020-02-20 12:02:00,6.7,6.78,6.7,6.77,795
2020-02-24 12:02:00,6.77,6.77,6.65,6.66,757
2020-02-25 12:02:00,6.77,6.77,6.45,6.46,579
2020-02-26 12:02:00,6.43,6.6,6.23,6.56,5860
2020-02-27 12:02:00,7.5,7.5,6.4,6.51,2389
2020-02-28 12:02:00,6.8,6.8,6.2,6.3,2041
2020-03-02 12:03:00,6.3,6.8,6.3,6.38,1924
2020-03-03 12:03:00,6.28,6.4,6.26,6.34,2324
2020-03-04 12:03:00,6.47,6.47,6.2,6.23,1467
2020-03-05 12:03:00,6.25,6.34,6.23,6.31,3904
2020-03-06 12:03:00,6.31,6.31,5.83,6.21,574684
2020-03-09 12:03:00,6.37,6.4,5.88,5.94,7358
2020-03-11 12:03:00,6.4,6.4,5.85,5.91,279266
2020-03-12 12:03:00,5.84,5.84,5.4,5.48,295369
2020-03-13 12:03:00,5.17,5.65,5.07,5.4,322717
2020-03-16 12:03:00,6.1,6.1,5.4,5.4,732
2020-03-17 12:03:00,5.47,6.09,5.2,5.31,282879
2020-03-18 12:03:00,5.33,5.33,4.92,4.98,312357
2020-03-19 12:03:00,4.92,5.1,4.65,4.72,327686
2020-03-20 12:03:00,4.73,5.07,4.58,4.98,1253
2020-03-23 12:03:00,4.9,5.57,4.7,4.97,3281
2020-03-24 12:03:00,4.51,4.9,4.51,4.67,2217
2020-03-25 12:03:00,4.6,4.8,4.6,4.8,313
2020-03-26 12:03:00,5.0,5.12,5.0,5.12,1045
2020-03-27 12:03:00,5.13,5.29,5.13,5.28,1529
2020-03-30 12:03:00,5.15,5.47,4.7,5.39,1105
2020-03-31 12:03:00,5.39,5.41,5.01,5.1,764
2020-04-01 12:04:00,5.1,5.1,4.6,4.73,937
2020-04-03 12:04:00,4.55,5.2,4.51,4.85,1615
2020-04-07 12:04:00,4.85,5.36,4.7,4.81,3155
2020-04-08 12:04:00,5.16,5.16,4.93,5.0,371
2020-04-09 12:04:00,5.2,5.2,4.81,4.89,4096
2020-04-13 12:04:00,4.91,4.91,4.8,4.81,4265
2020-04-15 12:04:00,5.13,5.13,4.8,4.94,929
2020-04-16 12:04:00,4.8,5.08,4.8,4.91,1611
2020-04-17 12:04:00,5.2,5.3,4.71,4.96,2131
2020-04-20 12:04:00,5.07,5.2,4.96,4.99,677
2020-04-21 12:04:00,4.97,5.0,4.81,4.93,896
2020-04-22 12:04:00,4.85,5.23,4.85,5.15,1574
2020-04-23 12:04:00,5.07,5.19,4.92,4.96,1606
2020-04-24 12:04:00,5.18,5.18,4.8,4.9,4756
2020-04-27 12:04:00,4.93,5.1,4.93,5.05,958
2020-04-28 12:04:00,5.08,5.15,4.99,4.99,4629
2020-04-29 12:04:00,5.06,5.13,4.99,5.12,4295
2020-04-30 12:04:00,5.1,5.27,5.1,5.22,5796
2020-05-04 12:05:00,5.28,5.28,4.84,4.91,5980
2020-05-05 12:05:00,5.15,5.17,4.95,5.11,1884
