datetime,open,high,low,close,volume
2022-11-30 12:11:00,17.5,20.46,17.5,20.46,32093
2022-12-01 12:12:00,20.44,20.44,17.15,17.42,265377
2022-12-02 12:12:00,17.94,17.94,17.11,17.36,32108
2022-12-05 12:12:00,17.88,17.88,17.0,17.27,41344
2022-12-06 12:12:00,17.39,17.39,17.0,17.22,13671
2022-12-07 12:12:00,17.34,17.39,17.1,17.14,23905
2022-12-08 12:12:00,17.5,17.5,17.11,17.15,5578
2022-12-09 12:12:00,17.25,17.55,17.0,17.17,19150
2022-12-12 12:12:00,17.68,17.68,17.0,17.03,35534
2022-12-13 12:12:00,17.03,17.25,17.01,17.18,15020
2022-12-14 12:12:00,17.2,17.34,17.05,17.31,29465
2022-12-15 12:12:00,17.82,17.82,17.11,17.29,16396
2022-12-16 12:12:00,17.28,17.55,17.09,17.13,45425
2022-12-19 12:12:00,17.23,17.33,17.13,17.24,10170
2022-12-20 12:12:00,20.2,20.2,16.95,17.16,17341
2022-12-21 12:12:00,17.65,17.65,17.1,17.37,19772
2022-12-22 12:12:00,17.65,17.65,17.0,17.03,8162
2022-12-23 12:12:00,17.03,17.35,17.0,17.17,8710
2022-12-26 12:12:00,17.68,17.68,16.72,16.84,27509
2022-12-27 12:12:00,16.84,17.2,16.7,16.86,22171
2022-12-28 12:12:00,16.86,17.11,16.33,16.85,26203
2022-12-29 12:12:00,16.85,17.5,16.33,16.77,41851
2022-12-30 12:12:00,17.0,17.0,16.4,16.85,59289
2023-01-02 12:01:00,16.68,18.14,16.68,16.97,5251
2023-01-03 12:01:00,17.0,17.25,16.8,16.93,11429
2023-01-04 12:01:00,16.85,17.14,16.76,16.9,21472
2023-01-05 12:01:00,18.95,18.95,16.65,16.73,22187
2023-01-06 12:01:00,16.8,16.95,16.6,16.94,19143
2023-01-09 12:01:00,18.7,18.7,16.22,16.75,9886
2023-01-10 12:01:00,18.4,18.4,16.35,16.54,13250
2023-01-11 12:01:00,16.51,16.58,16.49,16.49,11936
2023-01-12 12:01:00,16.16,16.75,16.03,16.54,8386
2023-01-13 12:01:00,16.3,16.75,16.2,16.48,15046
2023-01-16 12:01:00,16.97,16.98,16.26,16.54,13475
2023-01-17 12:01:00,16.59,16.6,16.55,16.55,10282
2023-01-18 12:01:00,16.65,16.68,16.6,16.64,2609
2023-01-19 12:01:00,17.0,17.0,16.61,16.67,2085
2023-01-20 12:01:00,17.17,17.17,16.55,16.58,4022
2023-01-23 12:01:00,16.41,16.7,16.41,16.55,2190
2023-01-24 12:01:00,17.04,17.04,16.55,16.61,1272
2023-01-25 12:01:00,16.61,16.85,16.16,16.39,10639
2023-01-27 12:01:00,17.4,18.1,16.0,16.27,26720
2023-01-30 12:01:00,16.48,16.48,16.01,16.24,13107
2023-01-31 12:01:00,16.24,16.27,16.05,16.24,13876
2023-02-01 12:02:00,16.24,16.5,15.8,15.89,103051
2023-02-02 12:02:00,16.2,16.2,15.71,15.75,25622
2023-02-03 12:02:00,15.8,16.18,15.8,16.14,10611
2023-02-06 12:02:00,16.5,16.5,16.01,16.15,15937
2023-02-07 12:02:00,16.16,16.72,16.1,16.28,359519
2023-02-08 12:02:00,16.34,16.71,15.9,16.45,379777
2023-02-09 12:02:00,16.49,16.74,16.38,16.62,128896
2023-02-10 12:02:00,16.63,16.98,16.59,16.63,273451
2023-02-13 12:02:00,16.63,17.0,16.41,16.49,8009
2023-02-14 12:02:00,16.9,16.9,16.45,16.58,192316
