datetime,open,high,low,close,volume
2021-08-10 12:08:00,36.8,38.5,36.5,36.5,5857
2021-08-11 12:08:00,38.53,43.7,36.03,36.36,2676
2021-08-12 12:08:00,37.09,37.4,36.15,36.68,10552
2021-08-13 12:08:00,36.8,37.1,36.68,36.97,3557
2021-08-16 12:08:00,39.2,39.2,36.36,37.02,2032
2021-08-17 12:08:00,37.1,37.7,36.9,37.26,3223
2021-08-18 12:08:00,39.2,39.2,37.1,37.77,8445
2021-08-20 12:08:00,38.5,38.5,37.55,38.37,7173
2021-08-23 12:08:00,39.14,43.0,38.4,38.62,16523
2021-08-24 12:08:00,38.5,38.6,38.1,38.27,2393
2021-08-25 12:08:00,38.6,38.85,38.2,38.58,3685
2021-08-26 12:08:00,41.9,41.9,38.0,38.97,6225
2021-08-27 12:08:00,38.9,38.9,38.53,38.79,2667
2021-08-30 12:08:00,39.57,39.6,38.71,39.22,4723
2021-08-31 12:08:00,39.5,39.89,39.2,39.4,13106
2021-09-01 12:09:00,39.9,39.9,39.07,39.76,5441
2021-09-02 12:09:00,39.8,40.65,39.8,40.35,2992
2021-09-03 12:09:00,40.4,40.7,40.16,40.31,4753
2021-09-06 12:09:00,41.17,41.17,40.29,40.3,2749
2021-09-07 12:09:00,40.99,40.99,40.12,40.42,928
2021-09-08 12:09:00,41.1,41.1,40.1,40.27,939
2021-09-09 12:09:00,41.0,41.0,40.11,40.54,1720
2021-09-13 12:09:00,40.6,41.0,40.5,40.68,2250
2021-09-14 12:09:00,41.5,41.5,40.51,40.62,1980
2021-09-15 12:09:00,41.9,41.9,40.45,40.55,20382
2021-09-16 12:09:00,40.5,41.18,40.5,41.08,7138
2021-09-17 12:09:00,41.69,41.69,40.7,40.97,3215
2021-09-20 12:09:00,41.5,41.64,40.96,41.34,2646
2021-09-21 12:09:00,41.66,41.7,40.36,41.6,1909
2021-09-22 12:09:00,41.6,41.75,41.5,41.68,1507
2021-09-23 12:09:00,41.8,42.2,41.0,41.5,6543
2021-09-24 12:09:00,41.5,41.94,41.1,41.17,2655
2021-09-27 12:09:00,41.99,41.99,40.65,40.92,2682
2021-09-28 12:09:00,41.1,41.2,40.6,40.75,2641
2021-09-29 12:09:00,41.5,41.5,40.33,40.49,2909
2021-09-30 12:09:00,40.7,40.9,40.3,40.55,2098
2021-10-01 12:10:00,40.55,40.55,40.08,40.27,2816
2021-10-04 12:10:00,40.25,40.63,40.25,40.52,2249
2021-10-05 12:10:00,41.77,41.77,39.62,40.49,1650
2021-10-06 12:10:00,41.1,41.1,40.1,40.29,8564
2021-10-07 12:10:00,40.4,40.7,40.1,40.33,758
2021-10-08 12:10:00,40.6,40.6,40.01,40.05,9452
2021-10-11 12:10:00,40.0,40.32,39.7,40.28,2282
2021-10-12 12:10:00,41.47,41.47,39.51,40.61,5529
2021-10-13 12:10:00,40.7,41.18,40.7,40.96,1550
2021-10-14 12:10:00,40.9,42.37,40.9,41.47,3596
2021-10-18 12:10:00,41.5,41.78,41.4,41.58,2213
2021-10-19 12:10:00,42.77,42.77,40.29,40.31,9885
2021-10-20 12:10:00,40.7,41.0,39.49,39.79,8458
2021-10-21 12:10:00,40.6,40.7,39.27,39.45,5673
2021-10-22 12:10:00,39.5,40.0,38.79,38.94,9122
2021-10-25 12:10:00,39.74,39.74,38.25,38.58,5341
2021-10-26 12:10:00,39.38,39.38,38.58,38.86,3761
2021-10-27 12:10:00,38.9,39.4,38.9,39.09,3464
2021-10-28 12:10:00,39.2,39.5,38.2,38.4,14918
2021-10-29 12:10:00,38.73,38.73,38.0,38.36,1683
2021-11-01 12:11:00,39.2,39.2,38.3,38.82,3103
2021-11-02 12:11:00,38.82,38.9,38.57,38.73,2307
2021-11-03 12:11:00,39.16,39.16,38.1,38.46,2002
2021-11-04 12:11:00,39.5,39.5,38.8,38.82,2380
2021-11-08 12:11:00,39.4,39.4,38.4,39.06,3524
2021-11-09 12:11:00,39.1,39.19,39.04,39.18,2292
2021-11-10 12:11:00,39.9,39.9,38.7,38.95,1943
2021-11-11 12:11:00,39.87,39.87,38.5,38.69,2335
2021-11-12 12:11:00,38.69,39.12,38.69,39.1,2665
2021-11-15 12:11:00,39.2,39.39,38.75,39.36,5279
2021-11-16 12:11:00,39.4,39.5,39.0,39.23,5653
2021-11-17 12:11:00,39.23,39.4,39.0,39.18,1723
2021-11-18 12:11:00,39.18,39.25,38.82,39.07,1718
2021-11-22 12:11:00,39.09,39.09,38.31,38.41,5268
2021-11-23 12:11:00,38.59,38.77,38.41,38.77,1929
2021-11-24 12:11:00,39.77,39.77,38.31,38.38,2325
2021-11-25 12:11:00,38.38,38.44,38.05,38.4,7997
2021-11-26 12:11:00,38.4,38.4,37.8,37.84,4726
2021-11-29 12:11:00,37.04,38.1,37.04,37.43,5139
2021-11-30 12:11:00,38.19,38.19,37.45,37.75,10137
2021-12-01 12:12:00,37.61,38.4,37.3,37.66,1997
2021-12-02 12:12:00,38.37,38.37,37.61,37.9,40070
2021-12-03 12:12:00,38.29,38.29,37.61,37.73,34073
2021-12-06 12:12:00,38.25,38.25,37.0,37.14,4873
2021-12-07 12:12:00,37.1,37.5,37.0,37.29,2159
2021-12-08 12:12:00,37.8,37.8,37.4,37.69,3874
2021-12-09 12:12:00,38.0,38.3,37.6,38.18,9787
2021-12-10 12:12:00,37.8,38.4,37.8,38.3,7852
2021-12-13 12:12:00,38.0,38.6,37.95,37.95,1254
2021-12-14 12:12:00,37.95,38.08,37.63,37.82,588
2021-12-15 12:12:00,37.95,37.95,37.44,37.48,1311
2021-12-16 12:12:00,37.9,37.9,37.21,37.38,5351
2021-12-17 12:12:00,37.04,37.64,36.63,36.65,6571
2021-12-20 12:12:00,36.65,36.9,36.0,36.18,7278
2021-12-21 12:12:00,36.02,36.8,36.02,36.49,1652
2021-12-22 12:12:00,36.9,36.9,36.5,36.64,11256
2021-12-23 12:12:00,36.8,37.1,36.75,37.05,1697
2021-12-24 12:12:00,37.1,37.5,36.96,37.06,3619
2021-12-27 12:12:00,37.4,37.4,36.36,37.09,1869
2021-12-28 12:12:00,37.5,37.5,37.1,37.19,2742
2021-12-29 12:12:00,37.56,37.56,37.1,37.17,3397
2021-12-30 12:12:00,37.2,37.3,37.14,37.22,2953
2021-12-31 12:12:00,37.4,37.78,37.27,37.75,1828
2022-01-03 12:01:00,38.2,38.2,37.0,37.79,4527
2022-01-04 12:01:00,37.79,38.2,37.01,37.92,4212
2022-01-05 12:01:00,38.19,38.19,37.75,37.93,1608
2022-01-06 12:01:00,37.93,38.19,37.13,37.75,4341
2022-01-07 12:01:00,38.09,38.09,37.56,37.9,1266
2022-01-10 12:01:00,38.0,38.2,37.9,38.09,1990
2022-01-11 12:01:00,38.3,38.3,37.9,38.04,2062
2022-01-12 12:01:00,38.04,38.1,37.51,37.97,3234
2022-01-13 12:01:00,37.97,38.2,37.97,38.03,1351
2022-01-14 12:01:00,37.97,38.18,37.85,37.96,1785
2022-01-17 12:01:00,37.96,38.2,37.5,38.13,5539
2022-01-18 12:01:00,38.13,38.6,37.5,37.68,4007
2022-01-19 12:01:00,37.68,38.1,37.29,37.34,3854
2022-01-20 12:01:00,37.7,37.9,36.76,36.86,9879
2022-01-21 12:01:00,36.86,37.39,36.62,36.92,6764
2022-01-24 12:01:00,37.4,37.4,36.15,36.34,25831
2022-01-25 12:01:00,36.4,37.2,35.98,36.68,15454
2022-01-27 12:01:00,36.5,36.8,35.8,36.13,7644
2022-01-28 12:01:00,36.7,36.7,36.2,36.35,2012
2022-01-31 12:01:00,36.35,36.8,35.62,36.56,5853
2022-02-01 12:02:00,37.3,37.33,36.72,37.27,6970
2022-02-02 12:02:00,37.9,37.9,37.11,37.59,3200
2022-02-03 12:02:00,37.7,38.0,37.4,37.47,1407
2022-02-04 12:02:00,37.02,38.49,36.4,37.55,5790
2022-02-07 12:02:00,38.0,38.0,36.85,36.94,1416
2022-02-08 12:02:00,36.94,37.2,36.65,36.79,28994
2022-02-09 12:02:00,37.3,37.3,36.85,36.99,10012
2022-02-10 12:02:00,37.05,37.25,36.76,37.12,9953
2022-02-11 12:02:00,37.12,37.4,36.73,36.82,1745
2022-02-14 12:02:00,37.1,37.1,36.1,36.19,15117
2022-02-15 12:02:00,36.7,36.94,36.19,36.8,2648
2022-02-16 12:02:00,37.2,37.2,36.55,36.82,2213
2022-02-17 12:02:00,37.3,37.3,36.0,36.91,1689
2022-02-18 12:02:00,36.95,37.1,36.73,36.84,473
2022-02-21 12:02:00,37.1,37.3,36.45,36.59,48585
2022-02-22 12:02:00,36.58,36.8,36.0,36.28,3371
2022-02-23 12:02:00,36.5,36.7,36.25,36.39,653
2022-02-24 12:02:00,36.3,36.3,35.2,35.56,11527
2022-02-25 12:02:00,36.25,36.25,35.5,35.73,4572
2022-02-28 12:02:00,35.72,35.96,35.11,35.82,4646
2022-03-02 12:03:00,35.8,35.96,35.45,35.76,1764
2022-03-03 12:03:00,36.0,36.0,35.44,35.47,2355
2022-03-04 12:03:00,35.7,35.78,34.7,35.13,15341
2022-03-07 12:03:00,35.3,35.3,33.96,34.04,7154
2022-03-08 12:03:00,35.0,35.0,33.8,34.23,4673
2022-03-09 12:03:00,34.6,35.29,34.27,34.84,7180
2022-03-10 12:03:00,35.8,35.9,35.0,35.81,5505
2022-03-11 12:03:00,36.3,36.3,35.69,36.05,1124
2022-03-14 12:03:00,35.06,36.29,35.06,36.0,14119
2022-03-15 12:03:00,36.3,36.3,35.8,35.96,1073
2022-03-16 12:03:00,36.18,36.74,36.05,36.63,2054
2022-03-17 12:03:00,36.53,37.18,36.28,37.02,2965
2022-03-21 12:03:00,37.5,37.5,36.53,36.6,2156
2022-03-22 12:03:00,36.89,36.89,35.83,36.27,10019
2022-03-23 12:03:00,36.29,37.08,36.01,36.32,6505
2022-03-24 12:03:00,36.95,36.95,35.9,36.16,14404
2022-03-25 12:03:00,36.1,37.28,35.8,35.91,15986
2022-03-28 12:03:00,36.6,36.6,35.7,35.98,3343
2022-03-29 12:03:00,36.7,36.7,35.51,36.19,15708
2022-03-30 12:03:00,36.8,36.8,35.5,36.26,3499
2022-03-31 12:03:00,36.26,36.78,36.26,36.71,14237
2022-04-01 12:04:00,36.63,37.19,36.41,36.98,9793
2022-04-04 12:04:00,37.5,37.64,36.46,37.57,9646
2022-04-05 12:04:00,38.1,38.1,34.01,38.01,29857
2022-04-06 12:04:00,37.95,38.1,37.5,37.93,6426
2022-04-07 12:04:00,37.93,38.29,37.63,37.84,14441
2022-04-08 12:04:00,38.19,38.6,37.84,38.56,17079
2022-04-11 12:04:00,38.6,39.0,38.35,38.65,16284
2022-04-12 12:04:00,38.65,38.65,38.27,38.31,12420
2022-04-13 12:04:00,38.31,38.9,38.3,38.54,3074
2022-04-18 12:04:00,38.9,38.9,38.12,38.65,4658
2022-04-19 12:04:00,38.78,39.07,38.2,38.31,3547
2022-04-20 12:04:00,38.6,38.6,38.03,38.19,3008
2022-04-21 12:04:00,38.1,38.6,37.7,38.36,2169
2022-04-22 12:04:00,38.21,38.6,38.13,38.29,1168
2022-04-25 12:04:00,38.09,38.09,37.42,37.74,4445
2022-04-26 12:04:00,38.4,38.4,37.8,38.23,1756
2022-04-27 12:04:00,38.24,38.3,37.72,38.05,2932
2022-04-28 12:04:00,38.25,38.96,38.2,38.84,4175
2022-04-29 12:04:00,38.5,39.2,38.3,38.86,4327
2022-05-02 12:05:00,38.7,38.9,38.21,38.7,3004
2022-05-04 12:05:00,38.7,38.8,38.33,38.44,3073
2022-05-05 12:05:00,38.65,38.7,37.92,38.05,2083
2022-05-06 12:05:00,38.3,38.5,37.4,37.88,109128
2022-05-09 12:05:00,38.3,38.3,37.12,37.36,27211
2022-05-10 12:05:00,37.5,37.8,37.2,37.75,1638
2022-05-11 12:05:00,38.3,38.3,36.73,37.22,3145
2022-05-12 12:05:00,37.7,37.7,36.23,36.68,5233
2022-05-13 12:05:00,37.2,37.9,36.9,37.47,14721
2022-05-16 12:05:00,37.7,37.8,37.13,37.62,1343
2022-05-17 12:05:00,37.8,38.0,37.3,37.55,23600
2022-05-18 12:05:00,37.55,38.1,37.42,37.9,2360
2022-05-19 12:05:00,37.19,38.3,37.19,37.93,3231
2022-05-20 12:05:00,38.0,38.91,37.75,38.75,38979
2022-05-23 12:05:00,38.75,39.2,38.6,38.95,4946
2022-05-24 12:05:00,38.89,38.89,38.41,38.53,1766
2022-05-25 12:05:00,38.8,38.8,38.05,38.4,1602
2022-05-26 12:05:00,38.6,38.7,38.1,38.63,840
2022-05-27 12:05:00,39.2,39.2,38.63,39.19,6808
2022-05-30 12:05:00,39.49,39.5,38.81,39.35,1556
2022-05-31 12:05:00,39.44,39.8,38.93,39.27,4272
2022-06-01 12:06:00,39.27,39.5,38.9,39.27,3475
2022-06-02 12:06:00,42.61,42.61,38.6,39.03,3389
2022-06-03 12:06:00,39.6,39.6,38.94,39.15,4512
2022-06-06 12:06:00,40.2,40.2,38.64,38.72,4673
2022-06-07 12:06:00,38.72,38.9,38.28,38.4,1494
2022-06-08 12:06:00,38.6,38.69,38.0,38.25,3726
2022-06-09 12:06:00,38.1,38.2,37.9,38.05,1407
2022-06-10 12:06:00,37.8,38.18,37.8,38.11,1803
2022-06-13 12:06:00,37.8,37.97,37.71,37.82,3319
2022-06-14 12:06:00,37.5,38.09,37.4,37.71,3959
2022-06-15 12:06:00,37.9,37.9,37.5,37.6,878
2022-06-16 12:06:00,37.7,38.0,37.4,37.43,9575
2022-06-17 12:06:00,37.7,37.7,37.0,37.32,1551
2022-06-20 12:06:00,37.0,37.81,37.0,37.7,1492
