datetime,open,high,low,close,volume
2007-08-08 12:08:00,9.19,9.19,8.8,8.92,15257
2007-08-09 12:08:00,8.95,8.97,8.9,8.93,1571
2007-08-13 12:08:00,8.9,8.94,8.89,8.93,1161
2007-08-14 12:08:00,8.9,8.95,8.9,8.94,53
2007-08-16 12:08:00,8.9,8.96,8.9,8.91,1694
2007-08-17 12:08:00,8.9,8.9,8.8,8.8,990
2007-08-20 12:08:00,8.81,8.9,8.65,8.84,80
2007-08-21 12:08:00,8.85,8.89,8.83,8.85,210
2007-08-22 12:08:00,8.75,8.88,8.75,8.81,1091
2007-08-23 12:08:00,8.86,8.98,8.86,8.96,1755
2007-08-24 12:08:00,8.95,8.95,8.8,8.85,35
2007-08-27 12:08:00,9.0,9.03,8.85,9.01,185
2007-08-28 12:08:00,9.0,9.0,8.95,8.99,17
2007-08-29 12:08:00,7.32,9.03,7.32,8.97,605
2007-08-30 12:08:00,8.95,8.98,8.7,8.98,62
2007-08-31 12:08:00,9.09,9.09,8.92,8.97,389
2007-09-03 12:09:00,8.95,8.99,8.95,8.95,116
2007-09-04 12:09:00,8.95,9.05,8.95,9.03,1020
2007-09-05 12:09:00,9.07,9.1,9.03,9.07,2641
2007-09-06 12:09:00,9.04,9.13,9.04,9.12,2452
2007-09-07 12:09:00,9.16,9.21,9.16,9.2,1354
2007-09-10 12:09:00,9.23,9.35,9.23,9.33,3256
2007-09-11 12:09:00,9.33,9.35,9.3,9.3,1416
2007-09-12 12:09:00,9.34,9.4,9.34,9.35,11390
2007-09-13 12:09:00,9.44,9.44,9.34,9.38,252
2007-09-14 12:09:00,9.34,9.35,9.32,9.32,928
2007-09-17 12:09:00,9.37,9.49,9.33,9.43,53224
2007-09-18 12:09:00,9.46,9.49,9.42,9.45,594
2007-09-19 12:09:00,9.46,9.52,9.46,9.5,917
2007-09-20 12:09:00,9.32,9.65,9.32,9.53,19153
2007-09-21 12:09:00,9.55,9.65,9.53,9.6,51757
2007-09-24 12:09:00,9.57,9.59,9.53,9.57,317
2007-09-25 12:09:00,9.48,9.52,9.45,9.51,250
2007-09-26 12:09:00,9.46,9.52,9.46,9.51,26717
2007-09-27 12:09:00,9.48,9.53,9.45,9.52,53811
2007-09-28 12:09:00,9.4,9.64,9.4,9.59,1030
2007-10-01 12:10:00,9.73,9.73,9.59,9.61,1800
2007-10-03 12:10:00,9.6,9.6,9.4,9.49,3234
2007-10-04 12:10:00,9.49,9.6,9.35,9.39,302
2007-10-05 12:10:00,9.37,9.55,9.37,9.47,394
2007-10-08 12:10:00,9.47,9.51,9.47,9.48,841
2007-10-09 12:10:00,9.45,9.48,9.4,9.48,1224
2007-10-10 12:10:00,9.48,9.52,9.4,9.46,1200
2007-10-11 12:10:00,9.53,9.55,9.51,9.55,284
2007-10-12 12:10:00,9.55,9.6,9.55,9.58,2391
2007-10-15 12:10:00,9.59,9.7,9.59,9.67,4383
2007-10-16 12:10:00,9.7,9.78,9.7,9.75,3262
2007-10-17 12:10:00,9.77,9.8,9.7,9.75,2206
