datetime,open,high,low,close,volume
2021-12-29 12:12:00,34.01,34.29,33.57,34.19,149003
2021-12-30 12:12:00,34.5,34.5,34.0,34.22,139767
2021-12-31 12:12:00,35.0,36.5,34.22,34.69,350317
2022-01-03 12:01:00,34.69,36.5,34.69,35.05,676332
2022-01-04 12:01:00,36.0,41.0,34.8,35.07,232636
2022-01-05 12:01:00,34.5,35.95,34.5,34.97,290865
2022-01-06 12:01:00,39.98,39.98,34.0,34.84,200226
2022-01-07 12:01:00,35.1,35.39,34.95,35.06,127415
2022-01-10 12:01:00,35.48,35.48,35.11,35.37,168288
2022-01-11 12:01:00,35.44,35.98,35.05,35.21,466568
2022-01-12 12:01:00,39.5,39.5,35.2,35.3,329834
2022-01-13 12:01:00,35.48,39.9,35.21,35.89,625818
2022-01-14 12:01:00,35.95,36.6,35.05,35.37,825449
2022-01-17 12:01:00,36.98,36.98,35.55,36.2,257541
2022-01-18 12:01:00,36.2,36.79,35.81,35.85,187624
2022-01-19 12:01:00,35.85,35.85,34.85,35.32,419220
2022-01-20 12:01:00,35.9,35.9,35.15,35.56,149652
2022-01-21 12:01:00,36.0,36.2,34.85,35.15,194359
2022-01-24 12:01:00,35.1,35.24,33.25,33.76,359168
2022-01-25 12:01:00,33.7,34.5,32.8,33.88,228550
2022-01-27 12:01:00,33.88,34.1,32.9,33.37,314126
2022-01-28 12:01:00,33.6,35.0,33.2,33.61,437293
2022-01-31 12:01:00,34.68,34.98,33.61,33.94,119272
2022-02-01 12:02:00,35.68,35.68,33.58,33.78,356163
2022-02-02 12:02:00,35.68,35.68,33.85,34.52,242445
2022-02-03 12:02:00,34.52,34.89,34.17,34.38,72662
2022-02-04 12:02:00,34.52,35.48,33.8,34.1,228659
2022-02-07 12:02:00,34.1,34.9,33.45,33.63,255910
2022-02-08 12:02:00,34.19,34.19,33.15,33.41,156277
2022-02-09 12:02:00,33.8,34.15,33.49,33.88,68115
2022-02-10 12:02:00,34.15,34.5,33.6,34.27,596997
2022-02-11 12:02:00,34.15,34.15,33.26,33.4,248352
2022-02-14 12:02:00,33.0,33.51,31.81,32.07,1205260
2022-02-15 12:02:00,33.25,33.48,31.23,32.53,344528
2022-02-16 12:02:00,33.25,33.8,32.45,32.68,237515
2022-02-17 12:02:00,32.8,33.3,32.68,32.86,143402
