datetime,open,high,low,close,volume
2000-03-06 12:03:00,49.74,51.03,47.69,50.31,54213
2000-03-07 12:03:00,49.13,49.38,46.28,46.29,37027
2000-03-08 12:03:00,45.89,49.63,43.13,43.76,48887
2000-03-09 12:03:00,44.13,44.13,40.26,40.26,57892
2000-03-10 12:03:00,41.13,43.48,40.0,43.48,84915
2000-03-13 12:03:00,44.21,46.96,43.13,46.96,67187
2000-03-14 12:03:00,49.84,50.06,46.88,48.43,143127
2000-03-15 12:03:00,48.11,48.11,44.56,44.56,16755
2000-03-16 12:03:00,41.88,43.75,40.99,40.99,80436
2000-03-21 12:03:00,41.0,44.28,40.38,43.81,74529
2000-03-22 12:03:00,44.63,47.31,44.38,46.15,211467
2000-03-23 12:03:00,47.5,47.75,42.46,42.46,27793
2000-03-24 12:03:00,40.89,41.88,39.5,41.28,72299
2000-03-27 12:03:00,41.88,44.12,41.88,42.46,83845
2000-03-28 12:03:00,44.56,45.63,43.06,43.61,87565
2000-03-29 12:03:00,44.81,46.31,43.5,43.93,151834
2000-03-30 12:03:00,42.64,42.64,40.42,40.71,96674
2000-03-31 12:03:00,40.5,40.62,38.56,39.73,164694
2000-04-03 12:04:00,39.88,41.13,36.56,36.59,75503
2000-04-04 12:04:00,33.88,38.13,33.66,37.09,201547
2000-04-05 12:04:00,37.75,40.05,36.51,39.44,251775
2000-04-06 12:04:00,40.0,40.5,37.13,39.3,207445
2000-04-07 12:04:00,39.88,42.44,39.88,42.44,160458
2000-04-10 12:04:00,42.5,45.62,42.5,44.39,207932
2000-04-11 12:04:00,43.75,43.88,41.39,43.56,55588
2000-04-12 12:04:00,43.13,43.13,40.13,40.36,83549
2000-04-13 12:04:00,38.88,39.28,37.88,38.51,78098
2000-04-17 12:04:00,36.91,36.91,35.43,35.48,142306
2000-04-18 12:04:00,36.25,36.87,34.4,35.0,108874
2000-04-19 12:04:00,36.13,37.08,35.0,35.47,55738
2000-04-20 12:04:00,34.88,36.25,33.25,35.28,64949
2000-04-24 12:04:00,33.94,35.56,33.94,35.03,24294
2000-04-25 12:04:00,34.13,37.79,33.41,36.69,70822
2000-04-26 12:04:00,38.88,38.88,36.81,38.56,52670
2000-04-27 12:04:00,39.38,39.63,35.48,35.48,44511
