datetime,open,high,low,close,volume
2011-03-31 12:03:00,10.49,10.5,9.41,10.38,6656
2011-04-01 12:04:00,10.0,10.4,10.0,10.32,587
2011-04-04 12:04:00,10.47,10.47,9.91,10.22,1869
2011-04-05 12:04:00,10.38,10.38,10.15,10.31,1277
2011-04-06 12:04:00,10.3,10.9,10.3,10.42,6954
2011-04-07 12:04:00,10.4,10.6,10.4,10.54,1861
2011-04-08 12:04:00,10.6,10.83,10.4,10.45,24849
2011-04-11 12:04:00,10.6,10.6,10.41,10.5,1654
2011-04-13 12:04:00,10.5,10.65,10.4,10.56,1615
2011-04-15 12:04:00,10.6,10.99,10.01,10.27,2830
2011-04-18 12:04:00,10.47,10.5,10.3,10.35,3085
2011-04-19 12:04:00,10.3,10.35,10.2,10.24,1010
2011-04-20 12:04:00,10.5,10.5,10.2,10.25,1338
2011-04-21 12:04:00,10.4,10.48,10.2,10.41,3015
2011-04-25 12:04:00,10.5,10.6,10.3,10.46,5761
2011-04-26 12:04:00,10.53,10.64,10.4,10.6,6173
2011-04-27 12:04:00,10.85,10.85,10.38,10.6,6845
2011-04-28 12:04:00,10.46,10.6,10.43,10.6,5576
2011-04-29 12:04:00,10.6,10.6,10.3,10.39,8906
2011-05-02 12:05:00,12.2,12.2,10.5,10.59,2113
2011-05-03 12:05:00,10.36,10.58,10.3,10.3,2734
2011-05-04 12:05:00,10.3,10.51,10.16,10.41,821
2011-05-05 12:05:00,10.31,10.44,10.2,10.33,1326
2011-05-06 12:05:00,10.65,10.8,10.2,10.5,1781
2011-05-09 12:05:00,10.5,10.67,10.3,10.35,5748
2011-05-10 12:05:00,10.31,10.58,10.31,10.49,813
2011-05-11 12:05:00,10.55,10.6,10.35,10.46,2152
2011-05-12 12:05:00,10.58,10.65,10.3,10.35,1484
2011-05-13 12:05:00,10.4,10.7,10.4,10.57,4039
2011-05-16 12:05:00,12.0,12.0,10.5,10.58,957
2011-05-17 12:05:00,10.57,10.57,10.36,10.55,562
2011-05-18 12:05:00,10.49,10.5,10.2,10.35,1887
2011-05-19 12:05:00,10.49,10.49,10.21,10.38,65
2011-05-20 12:05:00,10.4,10.64,10.3,10.41,106638
2011-05-23 12:05:00,10.5,10.59,10.23,10.25,891
2011-05-24 12:05:00,10.47,10.58,10.21,10.52,48875
2011-05-25 12:05:00,10.3,10.43,10.2,10.21,1155
2011-05-26 12:05:00,10.2,10.5,10.2,10.38,1351
2011-05-27 12:05:00,10.77,10.77,10.14,10.21,1620
2011-05-30 12:05:00,10.69,10.69,10.15,10.35,120369
2011-05-31 12:05:00,10.58,10.58,10.23,10.3,1670
2011-06-01 12:06:00,10.64,10.64,10.26,10.37,862
2011-06-02 12:06:00,10.5,10.5,10.2,10.22,900
2011-06-03 12:06:00,10.4,10.43,10.3,10.3,1250
2011-06-06 12:06:00,10.33,10.48,10.2,10.32,474
2011-06-07 12:06:00,10.35,10.5,10.3,10.31,2571
2011-06-08 12:06:00,10.39,10.4,10.3,10.4,2931
2011-06-09 12:06:00,10.31,10.39,10.13,10.26,472
2011-06-10 12:06:00,10.35,10.35,10.21,10.22,130
2011-06-13 12:06:00,10.4,10.4,10.07,10.1,2289
2011-06-14 12:06:00,10.1,10.1,9.93,10.0,1145
2011-06-15 12:06:00,10.19,10.19,10.0,10.0,631
2011-06-16 12:06:00,10.1,10.1,9.8,10.0,130365
2011-06-17 12:06:00,10.1,10.1,9.9,9.91,25690
2011-06-20 12:06:00,9.9,10.0,9.81,9.99,193
2011-06-21 12:06:00,9.66,10.25,9.6,10.2,2682
2011-06-22 12:06:00,9.91,10.15,9.9,9.93,975
2011-06-23 12:06:00,9.99,10.15,9.86,10.14,619
2011-06-24 12:06:00,9.71,10.3,9.71,10.13,5072
2011-06-27 12:06:00,10.15,10.26,9.91,10.25,395
2011-06-28 12:06:00,10.23,10.23,9.9,10.18,513
2011-06-29 12:06:00,10.1,10.25,10.03,10.2,8782
2011-06-30 12:06:00,10.1,10.15,10.1,10.11,477
2011-07-01 12:07:00,10.48,10.48,10.15,10.15,18770
2011-07-04 12:07:00,10.3,10.3,10.1,10.25,18215
2011-07-05 12:07:00,10.1,10.39,10.1,10.3,6585
2011-07-06 12:07:00,10.5,10.5,10.2,10.21,432
2011-07-07 12:07:00,10.39,10.4,10.16,10.29,11654
2011-07-11 12:07:00,10.01,10.48,10.01,10.32,1117
2011-07-12 12:07:00,10.16,10.3,10.11,10.28,201
2011-07-13 12:07:00,10.3,10.35,10.16,10.3,35
2011-07-14 12:07:00,10.2,10.3,10.2,10.29,287
2011-07-15 12:07:00,10.27,10.34,9.9,10.12,2003
2011-07-18 12:07:00,10.29,10.45,10.2,10.25,15184
2011-07-19 12:07:00,10.45,10.45,10.06,10.29,166
2011-07-20 12:07:00,10.2,10.48,10.2,10.4,3909
2011-07-21 12:07:00,10.69,10.69,10.23,10.4,321
2011-07-22 12:07:00,10.4,10.48,10.31,10.31,75564
2011-07-25 12:07:00,10.5,10.5,10.37,10.5,3693
2011-07-26 12:07:00,10.46,10.58,10.46,10.51,2532
2011-07-27 12:07:00,10.59,10.59,10.35,10.35,1196
2011-07-28 12:07:00,10.5,10.6,10.25,10.42,372
2011-07-29 12:07:00,10.55,10.55,10.11,10.35,423
2011-08-01 12:08:00,10.8,10.8,10.35,10.5,756
2011-08-02 12:08:00,10.4,10.6,10.01,10.25,8126
2011-08-03 12:08:00,10.05,10.37,9.8,9.97,1440
2011-08-04 12:08:00,10.5,10.5,9.8,9.96,4377
2011-08-05 12:08:00,10.0,10.7,9.4,10.05,1743
2011-08-08 12:08:00,10.2,10.2,9.23,9.74,11209
2011-08-09 12:08:00,10.58,10.58,9.25,9.56,7372
