datetime,open,high,low,close,volume
2020-10-22 12:10:00,250.0,250.0,201.2,216.0,5181
2020-10-23 12:10:00,216.0,243.8,207.25,226.42,1584
2020-10-26 12:10:00,213.6,238.5,213.01,213.99,2487
2020-10-27 12:10:00,214.0,216.85,210.8,211.99,1000
2020-10-28 12:10:00,211.99,214.97,208.0,208.5,968
2020-10-29 12:10:00,211.99,212.99,208.06,212.87,719
2020-10-30 12:10:00,214.75,214.75,208.07,213.0,647
2020-11-02 12:11:00,214.0,214.9,207.14,209.25,2245
2020-11-03 12:11:00,212.45,217.99,208.76,210.34,1746
2020-11-04 12:11:00,214.0,224.0,210.01,213.4,2818
2020-11-05 12:11:00,218.0,221.94,215.0,215.0,2685
2020-11-06 12:11:00,215.0,217.0,213.02,216.63,455
2020-11-09 12:11:00,215.01,219.25,215.0,217.97,1885
2020-11-10 12:11:00,216.5,217.77,210.0,211.01,2671
2020-11-11 12:11:00,212.5,214.99,211.0,214.85,1308
2020-11-12 12:11:00,218.0,218.69,214.01,217.98,506
2020-11-13 12:11:00,217.8,217.8,210.5,215.0,847
2020-11-14 12:11:00,248.88,248.88,213.7,218.24,2911
2020-11-17 12:11:00,218.7,218.7,213.55,215.38,3443
2020-11-18 12:11:00,216.98,216.98,213.01,213.98,5439
2020-11-19 12:11:00,216.99,216.99,206.0,210.37,13936
2020-11-20 12:11:00,212.0,214.7,210.67,213.01,1958
2020-11-23 12:11:00,213.05,220.5,213.05,220.5,4663
2020-11-24 12:11:00,220.5,224.6,220.02,222.12,1897
2020-11-25 12:11:00,220.0,223.61,218.5,220.11,1059
2020-11-26 12:11:00,220.95,220.95,217.0,220.59,296
2020-11-27 12:11:00,220.58,223.59,218.02,220.96,463
2020-12-01 12:12:00,220.96,222.7,217.01,220.51,1452
2020-12-02 12:12:00,225.4,226.9,220.12,224.32,1435
2020-12-03 12:12:00,224.0,226.69,222.19,224.06,1163
2020-12-04 12:12:00,224.0,225.88,222.25,223.84,1131
2020-12-07 12:12:00,226.9,226.9,221.1,226.43,681
2020-12-08 12:12:00,228.45,233.5,224.37,230.89,3164
2020-12-09 12:12:00,227.04,232.98,227.04,230.12,4061
2020-12-10 12:12:00,228.0,230.0,227.45,228.36,282
2020-12-11 12:12:00,228.4,230.99,226.9,228.0,804
2020-12-14 12:12:00,229.87,229.87,226.01,228.84,1241
2020-12-15 12:12:00,228.84,229.55,226.6,228.06,641
2020-12-16 12:12:00,227.1,230.0,227.1,229.97,1057
2020-12-17 12:12:00,235.0,235.0,229.02,229.89,1043
2020-12-18 12:12:00,233.0,235.0,232.33,233.81,4373
2020-12-21 12:12:00,233.81,236.99,227.55,228.73,6713
2020-12-22 12:12:00,228.0,237.0,228.0,236.56,2865
2020-12-23 12:12:00,240.0,244.0,239.0,243.54,3767
2020-12-24 12:12:00,248.0,249.8,240.2,242.89,2478
2020-12-28 12:12:00,248.0,248.0,240.89,243.25,2340
2020-12-29 12:12:00,247.96,247.96,239.5,244.39,1602
2020-12-30 12:12:00,244.39,245.0,243.0,244.91,923
2020-12-31 12:12:00,244.91,246.97,241.1,243.5,3461
2021-01-01 12:01:00,247.99,247.99,243.52,244.6,3690
2021-01-04 12:01:00,250.0,252.99,245.0,251.83,4467
2021-01-05 12:01:00,254.3,260.0,252.16,259.88,3937
2021-01-06 12:01:00,265.0,265.0,253.0,256.15,5404
2021-01-07 12:01:00,255.6,264.2,252.25,255.18,1154
2021-01-08 12:01:00,253.22,264.36,253.22,263.2,7135
2021-01-11 12:01:00,300.0,300.0,263.55,271.28,6470
2021-01-12 12:01:00,276.99,276.99,270.0,271.61,2621
2021-01-13 12:01:00,276.99,276.99,270.01,272.33,1890
2021-01-14 12:01:00,273.0,274.2,265.05,272.13,7672
2021-01-15 12:01:00,279.5,279.5,265.9,266.27,6033
2021-01-18 12:01:00,275.0,275.0,257.95,261.41,11878
2021-01-19 12:01:00,266.99,266.99,258.03,261.23,11291
2021-01-20 12:01:00,265.99,268.9,260.16,268.39,2476
2021-01-21 12:01:00,280.0,280.0,263.23,264.44,4294
2021-01-22 12:01:00,271.0,271.0,264.49,265.12,3214
2021-01-25 12:01:00,271.0,271.0,261.4,262.74,3076
2021-01-27 12:01:00,266.9,266.9,259.3,260.86,2012
2021-01-28 12:01:00,262.99,262.99,254.9,255.5,3286
2021-01-29 12:01:00,256.0,260.99,248.0,249.66,5208
2021-02-01 12:02:00,254.0,254.0,245.9,252.74,4692
2021-02-02 12:02:00,254.7,259.0,251.5,256.95,2827
2021-02-03 12:02:00,255.0,261.9,254.55,259.21,3295
2021-02-04 12:02:00,259.21,261.99,256.36,258.24,1886
2021-02-05 12:02:00,256.4,264.0,253.8,255.83,8452
2021-02-08 12:02:00,261.0,261.0,255.54,258.44,6118
2021-02-09 12:02:00,265.99,265.99,258.34,259.21,2506
2021-02-10 12:02:00,255.53,263.0,255.53,260.26,1385
2021-02-11 12:02:00,263.99,263.99,257.1,260.79,769
2021-02-12 12:02:00,267.0,267.0,260.86,261.34,3197
2021-02-15 12:02:00,266.0,266.0,262.1,262.32,1894
2021-02-16 12:02:00,261.95,264.99,257.6,258.65,2111
2021-02-17 12:02:00,264.99,264.99,254.13,256.55,3433
2021-02-18 12:02:00,259.9,260.05,256.01,258.57,3562
2021-02-19 12:02:00,255.0,261.99,254.2,257.41,1243
2021-02-22 12:02:00,261.0,261.0,249.6,250.11,7890
2021-02-23 12:02:00,250.11,254.99,249.65,250.79,2737
2021-02-24 12:02:00,211.0,288.0,203.0,249.49,3096
2021-02-25 12:02:00,253.95,255.95,250.25,251.28,3552
2021-02-26 12:02:00,251.0,251.0,242.21,246.19,9895
2021-03-01 12:03:00,250.0,251.0,246.05,248.65,1570
2021-03-02 12:03:00,250.0,254.99,250.0,254.18,3136
2021-03-03 12:03:00,259.99,259.99,254.5,257.9,1985
2021-03-04 12:03:00,259.99,261.74,254.1,258.09,2302
2021-03-05 12:03:00,261.65,261.65,253.12,254.13,1928
2021-03-08 12:03:00,259.99,259.99,255.01,256.18,2573
2021-03-09 12:03:00,257.0,258.0,253.0,256.03,1790
2021-03-10 12:03:00,263.0,263.0,257.1,260.43,2263
2021-03-12 12:03:00,265.99,265.99,259.01,259.38,4484
2021-03-15 12:03:00,262.5,262.5,257.1,260.89,2893
2021-03-16 12:03:00,260.1,267.0,260.1,263.86,4542
2021-03-17 12:03:00,267.99,267.99,261.5,262.92,4083
2021-03-18 12:03:00,266.77,266.77,253.23,256.16,4673
2021-03-19 12:03:00,257.9,258.73,250.03,258.01,1665
2021-03-22 12:03:00,256.0,263.72,253.1,260.99,2155
2021-03-23 12:03:00,265.0,265.0,261.0,262.44,1131
2021-03-24 12:03:00,265.99,265.99,258.23,259.33,3232
2021-03-25 12:03:00,258.37,264.99,251.58,254.69,3937
2021-03-26 12:03:00,259.99,259.99,253.8,254.22,4680
2021-03-30 12:03:00,263.0,263.0,252.05,259.12,2090
2021-03-31 12:03:00,258.95,261.0,257.0,257.59,667
2021-04-01 12:04:00,260.0,265.0,259.2,264.93,10185
2021-04-05 12:04:00,265.99,267.0,258.95,265.8,5131
2021-04-06 12:04:00,273.0,273.0,265.02,267.27,9818
2021-04-07 12:04:00,269.0,269.99,262.95,267.73,1491
2021-04-08 12:04:00,269.0,274.89,269.0,272.99,3797
2021-04-09 12:04:00,279.0,279.0,273.0,275.96,3709
2021-04-12 12:04:00,273.95,281.0,268.0,268.58,10707
2021-04-13 12:04:00,274.0,274.0,258.0,260.84,6692
2021-04-15 12:04:00,263.0,263.0,256.55,262.35,1946
2021-04-16 12:04:00,266.99,266.99,263.56,263.92,692
2021-04-19 12:04:00,263.5,265.99,256.15,264.0,2491
2021-04-20 12:04:00,269.6,269.6,259.0,260.69,1203
2021-04-22 12:04:00,263.21,263.38,258.68,260.85,2191
2021-04-23 12:04:00,263.95,263.95,257.61,258.66,3843
2021-04-26 12:04:00,256.0,261.75,255.1,259.54,3416
2021-04-27 12:04:00,258.0,263.39,258.0,260.56,472
2021-04-28 12:04:00,258.95,263.85,258.95,262.61,1268
2021-04-29 12:04:00,262.65,266.0,261.0,261.91,1561
2021-04-30 12:04:00,259.0,265.91,258.9,259.42,1757
2021-05-03 12:05:00,215.0,262.99,215.0,259.05,1746
2021-05-04 12:05:00,257.0,262.99,256.9,257.79,2079
2021-05-05 12:05:00,260.0,261.95,255.95,260.06,1316
2021-05-06 12:05:00,255.1,264.87,255.1,263.65,1830
2021-05-07 12:05:00,268.5,268.5,262.01,263.34,2470
2021-05-10 12:05:00,268.49,268.49,262.1,264.85,928
2021-05-11 12:05:00,265.95,267.9,260.6,263.54,941
2021-05-12 12:05:00,261.95,264.83,260.0,262.12,1994
2021-05-14 12:05:00,262.12,264.99,256.44,258.87,3763
2021-05-17 12:05:00,262.0,262.99,256.0,259.36,1017
2021-05-18 12:05:00,260.1,263.0,259.85,260.49,18118
2021-05-19 12:05:00,262.0,265.73,260.51,261.95,2096
2021-05-20 12:05:00,261.95,265.0,260.0,261.9,732
2021-05-21 12:05:00,264.0,264.42,260.1,263.71,2390
2021-05-24 12:05:00,263.71,265.5,261.0,263.51,1091
2021-05-25 12:05:00,267.45,267.74,263.0,265.6,2564
2021-05-26 12:05:00,270.0,270.7,266.01,269.61,2632
2021-05-27 12:05:00,269.61,274.99,267.1,273.3,2981
2021-05-28 12:05:00,273.3,274.98,271.1,273.35,1329
2021-05-31 12:05:00,280.0,280.0,271.01,274.86,4864
2021-06-01 12:06:00,278.9,278.9,271.1,273.46,2394
2021-06-02 12:06:00,273.5,275.0,270.5,272.23,2755
2021-06-03 12:06:00,277.0,277.0,271.8,273.23,1332
2021-06-04 12:06:00,276.95,276.95,272.0,273.13,1177
2021-06-07 12:06:00,277.0,277.0,271.0,275.49,3244
2021-06-08 12:06:00,274.0,281.71,274.0,280.21,2504
2021-06-09 12:06:00,280.21,282.99,276.58,278.49,3693
2021-06-10 12:06:00,280.99,282.25,277.0,281.36,783
2021-06-11 12:06:00,284.99,288.0,277.1,286.25,3542
2021-06-14 12:06:00,289.99,289.99,282.1,287.61,1377
2021-06-15 12:06:00,289.99,291.0,286.1,288.07,1102
2021-06-16 12:06:00,289.99,289.99,285.0,288.24,1798
2021-06-17 12:06:00,289.94,290.0,284.0,289.3,3303
2021-06-18 12:06:00,294.89,294.89,286.23,288.56,2224
2021-06-21 12:06:00,290.95,290.95,283.1,287.96,1794
2021-06-22 12:06:00,290.99,290.99,287.53,289.52,731
2021-06-23 12:06:00,292.99,292.99,285.1,287.25,1448
2021-06-24 12:06:00,289.99,295.2,286.25,294.76,2026
2021-06-25 12:06:00,295.0,298.9,293.0,296.4,1270
2021-06-28 12:06:00,298.0,298.0,293.41,295.4,2607
2021-06-29 12:06:00,296.99,298.99,293.0,293.96,1546
2021-06-30 12:06:00,297.99,299.0,293.3,296.44,741
2021-07-01 12:07:00,298.99,298.99,291.96,294.27,1960
2021-07-02 12:07:00,297.0,297.0,290.01,294.57,2399
2021-07-05 12:07:00,297.99,297.99,293.0,294.24,5459
2021-07-06 12:07:00,297.99,297.99,290.11,290.64,1929
2021-07-07 12:07:00,294.99,294.99,288.05,291.84,1288
2021-07-08 12:07:00,293.0,294.8,290.02,291.18,652
2021-07-09 12:07:00,293.9,293.9,289.02,290.16,706
2021-07-12 12:07:00,290.25,292.9,289.02,289.76,1660
2021-07-13 12:07:00,289.02,292.0,288.21,289.37,1242
2021-07-14 12:07:00,291.97,297.0,286.1,296.52,3329
2021-07-15 12:07:00,323.2,323.2,294.01,300.0,2486
2021-07-16 12:07:00,303.99,303.99,296.1,297.9,727
2021-07-19 12:07:00,295.0,299.09,295.0,297.36,1037
2021-07-20 12:07:00,299.99,299.99,294.11,297.5,1391
2021-07-22 12:07:00,299.99,302.0,296.5,301.13,2165
2021-07-23 12:07:00,304.99,306.99,302.02,305.48,2166
2021-07-26 12:07:00,306.99,309.97,304.0,304.84,2227
2021-07-27 12:07:00,307.0,307.0,301.1,303.24,2549
2021-07-28 12:07:00,305.99,305.99,300.05,302.93,1691
2021-07-29 12:07:00,302.93,307.99,302.93,307.84,1223
2021-07-30 12:07:00,307.1,314.0,307.1,310.47,3184
2021-08-02 12:08:00,313.99,314.35,310.0,313.63,1708
2021-08-03 12:08:00,315.99,318.13,312.95,316.83,1516
2021-08-04 12:08:00,316.83,319.99,315.0,315.01,2026
2021-08-05 12:08:00,317.99,320.0,316.1,317.97,4392
2021-08-06 12:08:00,346.6,346.6,315.65,318.91,2081
2021-08-09 12:08:00,321.99,323.0,319.0,320.43,4682
2021-08-10 12:08:00,322.99,349.3,319.01,322.38,6164
2021-08-11 12:08:00,324.99,324.99,319.1,322.05,2031
2021-08-12 12:08:00,324.99,331.68,319.0,328.54,3086
2021-08-13 12:08:00,337.48,337.48,327.95,331.78,6567
2021-08-16 12:08:00,334.99,336.98,330.08,332.12,5479
2021-08-17 12:08:00,330.0,340.64,322.73,339.18,7903
2021-08-18 12:08:00,343.99,343.99,339.0,341.62,11740
2021-08-20 12:08:00,335.0,343.0,335.0,339.73,5469
2021-08-23 12:08:00,344.0,347.71,342.14,345.79,6157
2021-08-24 12:08:00,347.99,348.44,342.01,345.14,9894
2021-08-25 12:08:00,347.0,349.93,342.3,346.88,5391
2021-08-26 12:08:00,378.1,378.1,342.6,346.25,5883
2021-08-27 12:08:00,346.2,349.0,342.6,348.87,3253
2021-08-30 12:08:00,353.99,353.99,346.5,347.85,3809
2021-08-31 12:08:00,349.99,351.67,345.0,349.93,3946
2021-09-01 12:09:00,350.0,353.7,346.1,347.95,4122
2021-09-02 12:09:00,349.99,354.52,344.1,353.96,2867
2021-09-03 12:09:00,356.99,385.8,351.01,355.26,7201
2021-09-06 12:09:00,358.0,361.09,353.0,360.57,3233
