Stock,Date,Close,S_EMA1,S_EMA2,C_EMA1,C_EMA2,S_RSI_P,S_RSI_L_R,C_RSI_V,P_Pos,C_Pos
CPSETF,2014-04-04,19.35,7,73,,,17,41,,B_N_Y,B_N_Y
CPSETF,2014-04-07,19.36,7,73,,,17,41,100.0,B_N_Y,S
CPSETF,2014-04-09,19.69,7,73,,,17,41,100.0,B_N_Y,S
CPSETF,2014-04-10,19.82,7,73,,,17,41,100.0,B_N_Y,S
CPSETF,2014-04-11,19.66,7,73,,,17,41,72.56,B_N_Y,S
CPSETF,2014-04-15,19.59,7,73,,,17,41,64.35,B_N_Y,S
CPSETF,2014-04-16,19.4,7,73,19.56,,17,41,48.52,B_N_Y,S
CPSETF,2014-04-17,19.7,7,73,19.6,,17,41,63.56,B_N_Y,S
CPSETF,2014-04-21,19.87,7,73,19.67,,17,41,69.01,B_N_Y,S
CPSETF,2014-04-22,20.05,7,73,19.77,,17,41,73.47,B_N_Y,S
CPSETF,2014-04-23,20.08,7,73,19.85,,17,41,74.13,B_N_Y,S
CPSETF,2014-04-25,19.99,7,73,19.89,,17,41,68.69,B_N_Y,S
CPSETF,2014-04-28,19.87,7,73,19.88,,17,41,62.21,B_N_Y,S
CPSETF,2014-04-29,19.77,7,73,19.85,,17,41,57.42,B_N_Y,S
CPSETF,2014-04-30,19.68,7,73,19.81,,17,41,53.48,B_N_Y,S
CPSETF,2014-05-02,19.85,7,73,19.82,,17,41,59.11,B_N_Y,S
CPSETF,2014-05-05,20.05,7,73,19.88,,17,41,64.48,B_N_Y,S
CPSETF,2014-05-06,20.18,7,73,19.95,,17,41,67.44,B_N_Y,S
CPSETF,2014-05-07,20.13,7,73,20.0,,17,41,65.22,B_N_Y,S
CPSETF,2014-05-08,20.08,7,73,20.02,,17,41,63.02,B_N_Y,S
CPSETF,2014-05-09,20.72,7,73,20.19,,17,41,74.66,B_N_Y,S
CPSETF,2014-05-12,21.54,7,73,20.53,,17,41,82.26,B_N_Y,S
CPSETF,2014-05-13,22.1,7,73,20.92,,17,41,85.43,B_N_Y,S
CPSETF,2014-05-14,22.42,7,73,21.3,,17,41,86.85,B_N_Y,S
CPSETF,2014-05-15,22.59,7,73,21.62,,17,41,87.54,B_N_Y,S
CPSETF,2014-05-16,23.46,7,73,22.08,,17,41,90.3,B_N_Y,S
CPSETF,2014-05-19,25.62,7,73,22.97,,17,41,93.88,B_N_Y,S
CPSETF,2014-05-20,24.88,7,73,23.44,,17,41,82.77,B_N_Y,S
CPSETF,2014-05-21,24.79,7,73,23.78,,17,41,81.52,B_N_Y,S
CPSETF,2014-05-22,25.48,7,73,24.21,,17,41,83.54,B_N_Y,S
CPSETF,2014-05-23,25.82,7,73,24.61,,17,41,84.43,B_N_Y,S
CPSETF,2014-05-26,25.76,7,73,24.9,,17,41,83.58,B_N_Y,S
CPSETF,2014-05-27,24.84,7,73,24.88,,17,41,71.82,B_N_Y,S
CPSETF,2014-05-28,24.63,7,73,24.82,,17,41,69.45,B_N_Y,S
CPSETF,2014-05-29,24.22,7,73,24.67,,17,41,65.0,B_N_Y,S
CPSETF,2014-05-30,24.15,7,73,24.54,,17,41,64.26,B_N_Y,S
CPSETF,2014-06-02,25.0,7,73,24.65,,17,41,68.87,B_N_Y,S
CPSETF,2014-06-03,25.27,7,73,24.81,,17,41,70.17,B_N_Y,S
CPSETF,2014-06-04,25.15,7,73,24.89,,17,41,68.81,B_N_Y,S
CPSETF,2014-06-05,25.75,7,73,25.11,,17,41,71.72,B_N_Y,S
CPSETF,2014-06-06,26.93,7,73,25.56,,17,41,76.33,B_N_Y,S
CPSETF,2014-06-09,27.46,7,73,26.04,,17,41,78.03,B_N_Y,S
CPSETF,2014-06-10,27.04,7,73,26.29,,17,41,73.57,B_N_Y,S
CPSETF,2014-06-12,26.25,7,73,26.28,,17,41,66.01,B_N_Y,S
CPSETF,2014-06-13,25.55,7,73,26.1,,17,41,60.19,B_N_Y,S
CPSETF,2014-06-16,25.9,7,73,26.05,,17,41,61.97,B_N_Y,S
CPSETF,2014-06-17,26.77,7,73,26.23,,17,41,65.99,B_N_Y,S
CPSETF,2014-06-18,26.51,7,73,26.3,,17,41,63.85,B_N_Y,S
CPSETF,2014-06-19,25.81,7,73,26.18,,17,41,58.42,B_N_Y,S
CPSETF,2014-06-20,25.77,7,73,26.07,,17,41,58.12,B_N_Y,S
CPSETF,2014-06-23,26.09,7,73,26.08,,17,41,59.87,B_N_Y,S
CPSETF,2014-06-24,26.76,7,73,26.25,,17,41,63.29,B_N_Y,S
CPSETF,2014-06-25,26.95,7,73,26.42,,17,41,64.21,B_N_Y,S
CPSETF,2014-06-26,26.16,7,73,26.36,,17,41,57.82,B_N_Y,S
CPSETF,2014-06-27,25.94,7,73,26.25,,17,41,56.17,B_N_Y,S
CPSETF,2014-06-30,26.52,7,73,26.32,,17,41,59.42,B_N_Y,S
CPSETF,2014-07-01,26.53,7,73,26.37,,17,41,59.47,B_N_Y,S
CPSETF,2014-07-02,26.81,7,73,26.48,,17,41,61.04,B_N_Y,S
CPSETF,2014-07-03,26.72,7,73,26.54,,17,41,60.25,B_N_Y,S
CPSETF,2014-07-04,26.81,7,73,26.61,,17,41,60.79,B_N_Y,S
CPSETF,2014-07-07,26.84,7,73,26.67,,17,41,60.98,B_N_Y,S
CPSETF,2014-07-08,25.7,7,73,26.42,,17,41,51.03,B_N_Y,S
CPSETF,2014-07-09,25.63,7,73,26.23,,17,41,50.5,B_N_Y,S
CPSETF,2014-07-10,25.88,7,73,26.14,,17,41,52.4,B_N_Y,S
CPSETF,2014-07-11,25.01,7,73,25.86,,17,41,45.88,B_N_Y,S
CPSETF,2014-07-14,25.19,7,73,25.69,,17,41,47.32,B_N_Y,S
CPSETF,2014-07-15,25.67,7,73,25.69,,17,41,51.01,B_N_Y,S
CPSETF,2014-07-16,25.56,7,73,25.65,,17,41,50.16,B_N_Y,S
CPSETF,2014-07-17,25.63,7,73,25.65,,17,41,50.72,B_N_Y,S
CPSETF,2014-07-18,25.36,7,73,25.58,,17,41,48.49,B_N_Y,S
CPSETF,2014-07-21,25.3,7,73,25.51,,17,41,47.99,B_N_Y,S
CPSETF,2014-07-22,25.44,7,73,25.49,,17,41,49.28,B_N_Y,S
CPSETF,2014-07-23,25.38,7,73,25.46,24.98,17,41,48.73,B_N_Y,B_N_Y
CPSETF,2014-07-24,25.25,7,73,25.41,24.99,17,41,47.51,B_N_Y,B_N_Y
CPSETF,2014-07-25,24.9,7,73,25.28,24.99,17,41,44.32,B_N_Y,B_N_Y
CPSETF,2014-07-28,24.49,7,73,25.08,24.97,17,41,40.91,B_N_Y,B
CPSETF,2014-07-30,24.73,7,73,25.0,24.97,17,41,43.61,B_N_Y,B_N_Y
CPSETF,2014-07-31,24.68,7,73,24.92,24.96,17,41,43.17,B_N_Y,S
CPSETF,2014-08-01,24.3,7,73,24.76,24.94,17,41,39.95,B_N_Y,S
CPSETF,2014-08-04,24.51,7,73,24.7,24.92,17,41,42.47,B_N_Y,S
CPSETF,2014-08-05,24.59,7,73,24.67,24.91,17,41,43.43,B_N_Y,S
CPSETF,2014-08-06,24.45,7,73,24.62,24.9,17,41,42.12,B_N_Y,S
CPSETF,2014-08-07,24.54,7,73,24.6,24.89,17,41,43.29,B_N_Y,S
CPSETF,2014-08-08,24.07,7,73,24.47,24.86,17,41,38.93,B_N_Y,S
CPSETF,2014-08-11,24.05,7,73,24.36,24.84,17,41,38.75,B_N_Y,S
CPSETF,2014-08-12,24.69,7,73,24.44,24.84,17,41,46.94,B_N_Y,S
CPSETF,2014-08-13,24.21,7,73,24.39,24.82,17,41,42.42,B_N_Y,S
CPSETF,2014-08-14,24.51,7,73,24.42,24.81,17,41,45.88,B_N_Y,S
CPSETF,2014-08-18,25.31,7,73,24.64,24.82,17,41,53.75,B_N_Y,S
CPSETF,2014-08-19,25.3,7,73,24.8,24.84,17,41,53.65,B_N_Y,S
CPSETF,2014-08-20,25.06,7,73,24.87,24.84,17,41,51.13,B_N_Y,B_N_Y
CPSETF,2014-08-21,24.94,7,73,24.89,24.85,17,41,49.89,B_N_Y,B_N_Y
CPSETF,2014-08-22,25.1,7,73,24.94,24.85,17,41,51.56,B_N_Y,B_N_Y
CPSETF,2014-08-25,24.85,7,73,24.92,24.85,17,41,48.86,B_N_Y,B_N_Y
CPSETF,2014-08-26,24.65,7,73,24.85,24.85,17,41,46.78,B_N_Y,S
CPSETF,2014-08-27,24.95,7,73,24.88,24.85,17,41,50.16,B_N_Y,B_N_Y
