Stock,Date,Close,S_EMA1,S_EMA2,C_EMA1,C_EMA2,S_RSI_P,S_RSI_L_R,C_RSI_V,P_Pos,C_Pos
GODPRO,2010-01-05,245.68,22,105,,,5,39,,S,B_N_Y
GODPRO,2010-01-06,241.74,22,105,,,5,39,0.0,S,S
GODPRO,2010-01-07,245.54,22,105,,,5,39,54.66,S,S
GODPRO,2010-01-08,239.04,22,105,,,5,39,25.2,S,S
GODPRO,2010-01-11,239.04,22,105,,,5,39,25.2,S,S
GODPRO,2010-01-12,235.41,22,105,,,5,39,17.14,S,S
GODPRO,2010-01-13,238.0,22,105,,,5,39,35.53,S,S
GODPRO,2010-01-14,236.45,22,105,,,5,39,30.47,S,S
GODPRO,2010-01-15,235.08,22,105,,,5,39,26.33,S,S
GODPRO,2010-01-18,235.12,22,105,,,5,39,26.69,S,S
GODPRO,2010-01-19,235.96,22,105,,,5,39,35.1,S,S
GODPRO,2010-01-20,235.76,22,105,,,5,39,33.95,S,S
GODPRO,2010-01-21,231.43,22,105,,,5,39,17.93,S,S
GODPRO,2010-01-22,228.71,22,105,,,5,39,13.08,S,S
GODPRO,2010-01-25,226.97,22,105,,,5,39,10.76,S,S
GODPRO,2010-01-27,223.62,22,105,,,5,39,7.53,S,S
GODPRO,2010-01-28,224.97,22,105,,,5,39,19.66,S,S
GODPRO,2010-01-29,221.66,22,105,,,5,39,14.02,S,S
GODPRO,2010-02-01,225.38,22,105,,,5,39,38.71,S,S
GODPRO,2010-02-02,223.28,22,105,,,5,39,32.19,S,S
GODPRO,2010-02-04,222.66,22,105,,,5,39,30.3,S,S
GODPRO,2010-02-05,218.62,22,105,228.2,,5,39,20.52,S,S
GODPRO,2010-02-06,218.81,22,105,227.27,,5,39,22.0,S,S
GODPRO,2010-02-08,220.72,22,105,226.63,,5,39,36.79,S,S
GODPRO,2010-02-09,219.11,22,105,225.9,,5,39,30.67,S,S
GODPRO,2010-02-10,219.68,22,105,225.3,,5,39,35.42,S,S
GODPRO,2010-02-11,222.11,22,105,225.0,,5,39,52.72,S,S
GODPRO,2010-02-15,222.66,22,105,224.78,,5,39,56.05,S,S
GODPRO,2010-02-16,220.11,22,105,224.34,,5,39,39.8,S,S
GODPRO,2010-02-17,222.58,22,105,224.18,,5,39,55.44,S,S
GODPRO,2010-02-18,222.89,22,105,224.06,,5,39,57.19,S,S
GODPRO,2010-02-19,221.32,22,105,223.81,,5,39,45.83,S,S
GODPRO,2010-02-22,220.26,22,105,223.48,,5,39,39.25,S,S
GODPRO,2010-02-23,219.29,22,105,223.1,,5,39,33.71,S,S
GODPRO,2010-02-24,217.62,22,105,222.6,,5,39,25.86,S,S
GODPRO,2010-02-25,221.75,22,105,222.53,,5,39,56.89,S,S
GODPRO,2010-02-26,220.93,22,105,222.38,,5,39,51.54,S,S
GODPRO,2010-03-02,225.03,22,105,222.62,,5,39,69.49,S,S
GODPRO,2010-03-03,237.43,22,105,223.95,,5,39,87.29,S,S
GODPRO,2010-03-04,238.12,22,105,225.21,,5,39,87.78,S,S
GODPRO,2010-03-05,235.14,22,105,226.1,,5,39,72.52,S,S
GODPRO,2010-03-08,231.53,22,105,226.58,,5,39,57.4,S,S
GODPRO,2010-03-09,231.16,22,105,226.99,,5,39,55.91,S,S
GODPRO,2010-03-10,231.61,22,105,227.39,,5,39,57.59,S,S
GODPRO,2010-03-11,226.89,22,105,227.35,,5,39,38.42,S,S
GODPRO,2010-03-12,227.3,22,105,227.35,,5,39,40.57,S,S
GODPRO,2010-03-15,225.71,22,105,227.2,,5,39,34.7,S,S
GODPRO,2010-03-16,228.55,22,105,227.32,,5,39,50.64,S,S
GODPRO,2010-03-17,229.16,22,105,227.48,,5,39,53.68,S,S
GODPRO,2010-03-18,231.16,22,105,227.81,,5,39,63.0,S,S
GODPRO,2010-03-19,233.84,22,105,228.34,,5,39,72.33,S,S
GODPRO,2010-03-22,230.98,22,105,228.57,,5,39,54.12,S,S
GODPRO,2010-03-23,234.55,22,105,229.09,,5,39,67.06,S,S
GODPRO,2010-03-25,231.69,22,105,229.32,,5,39,52.29,S,S
GODPRO,2010-03-26,233.12,22,105,229.65,,5,39,58.07,S,S
GODPRO,2010-03-29,229.34,22,105,229.62,,5,39,41.48,S,S
GODPRO,2010-03-30,229.96,22,105,229.65,,5,39,44.72,S,S
GODPRO,2010-03-31,235.61,22,105,230.17,,5,39,66.09,S,S
GODPRO,2010-04-01,237.45,22,105,230.81,,5,39,70.7,S,S
GODPRO,2010-04-05,238.41,22,105,231.47,,5,39,73.08,S,S
GODPRO,2010-04-06,239.02,22,105,232.13,,5,39,74.72,S,S
GODPRO,2010-04-07,238.64,22,105,232.7,,5,39,71.34,S,S
GODPRO,2010-04-08,241.43,22,105,233.46,,5,39,79.74,S,S
GODPRO,2010-04-09,242.56,22,105,234.26,,5,39,82.36,S,S
GODPRO,2010-04-12,239.74,22,105,234.73,,5,39,58.7,S,S
GODPRO,2010-04-13,235.51,22,105,234.8,,5,39,38.15,S,S
GODPRO,2010-04-16,239.47,22,105,235.21,,5,39,56.12,S,S
GODPRO,2010-04-19,233.94,22,105,235.1,,5,39,37.24,S,S
GODPRO,2010-04-20,235.69,22,105,235.15,,5,39,44.61,S,S
GODPRO,2010-04-21,236.02,22,105,235.23,,5,39,46.1,S,S
