Stock,Date,Close,S_EMA1,S_EMA2,C_EMA1,C_EMA2,S_RSI_P,S_RSI_L_R,C_RSI_V,P_Pos,C_Pos
ICI150,2020-01-28,6.69,7,60,,,29,46,,B_N_Y,B_N_Y
ICI150,2020-01-29,6.95,7,60,,,29,46,100.0,B_N_Y,S
ICI150,2020-01-30,6.71,7,60,,,29,46,51.12,B_N_Y,S
ICI150,2020-01-31,6.69,7,60,,,29,46,49.05,B_N_Y,S
ICI150,2020-02-01,6.57,7,60,,,29,46,39.2,B_N_Y,S
ICI150,2020-02-03,6.7,7,60,,,29,46,50.38,B_N_Y,S
ICI150,2020-02-04,6.85,7,60,6.74,,29,46,59.33,B_N_Y,S
ICI150,2020-02-05,6.73,7,60,6.74,,29,46,51.62,B_N_Y,S
ICI150,2020-02-06,6.65,7,60,6.71,,29,46,47.37,B_N_Y,S
ICI150,2020-02-07,6.74,7,60,6.72,,29,46,51.98,B_N_Y,S
ICI150,2020-02-10,6.64,7,60,6.7,,29,46,47.22,B_N_Y,S
ICI150,2020-02-11,6.5,7,60,6.65,,29,46,41.69,B_N_Y,S
ICI150,2020-02-12,6.68,7,60,6.66,,29,46,49.56,B_N_Y,S
ICI150,2020-02-13,6.7,7,60,6.67,,29,46,50.33,B_N_Y,S
ICI150,2020-02-14,6.73,7,60,6.68,,29,46,51.48,B_N_Y,S
ICI150,2020-02-17,6.63,7,60,6.67,,29,46,47.66,B_N_Y,S
ICI150,2020-02-18,6.57,7,60,6.64,,29,46,45.56,B_N_Y,S
ICI150,2020-02-19,6.68,7,60,6.65,,29,46,49.76,B_N_Y,S
ICI150,2020-02-20,6.77,7,60,6.68,,29,46,52.85,B_N_Y,S
ICI150,2020-02-24,6.66,7,60,6.68,,29,46,49.04,B_N_Y,S
ICI150,2020-02-25,6.46,7,60,6.62,,29,46,43.17,B_N_Y,S
ICI150,2020-02-26,6.56,7,60,6.61,,29,46,46.49,B_N_Y,S
ICI150,2020-02-27,6.51,7,60,6.58,,29,46,45.12,B_N_Y,S
ICI150,2020-02-28,6.3,7,60,6.51,,29,46,40.02,B_N_Y,S
ICI150,2020-03-02,6.38,7,60,6.48,,29,46,42.58,B_N_Y,S
ICI150,2020-03-03,6.34,7,60,6.44,,29,46,41.66,B_N_Y,S
ICI150,2020-03-04,6.23,7,60,6.39,,29,46,39.24,B_N_Y,S
ICI150,2020-03-05,6.31,7,60,6.37,,29,46,41.79,B_N_Y,S
ICI150,2020-03-06,6.21,7,60,6.33,,29,46,39.64,B_N_Y,S
ICI150,2020-03-09,5.94,7,60,6.23,,29,46,34.65,B_N_Y,S
ICI150,2020-03-11,5.91,7,60,6.15,,29,46,34.16,B_N_Y,S
ICI150,2020-03-12,5.48,7,60,5.98,,29,46,28.19,B_N_Y,S
ICI150,2020-03-13,5.4,7,60,5.84,,29,46,27.27,B_N_Y,S
ICI150,2020-03-16,5.4,7,60,5.73,,29,46,27.27,B_N_Y,S
ICI150,2020-03-17,5.31,7,60,5.62,,29,46,26.24,B_N_Y,S
ICI150,2020-03-18,4.98,7,60,5.46,,29,46,22.94,B_N_Y,S
ICI150,2020-03-19,4.72,7,60,5.28,,29,46,20.81,B_N_Y,S
ICI150,2020-03-20,4.98,7,60,5.2,,29,46,27.76,B_N_Y,S
ICI150,2020-03-23,4.97,7,60,5.14,,29,46,27.67,B_N_Y,S
ICI150,2020-03-24,4.67,7,60,5.03,,29,46,24.96,B_N_Y,S
ICI150,2020-03-25,4.8,7,60,4.97,,29,46,28.12,B_N_Y,S
ICI150,2020-03-26,5.12,7,60,5.01,,29,46,35.07,B_N_Y,S
ICI150,2020-03-27,5.28,7,60,5.08,,29,46,38.17,B_N_Y,S
ICI150,2020-03-30,5.39,7,60,5.15,,29,46,40.2,B_N_Y,S
ICI150,2020-03-31,5.1,7,60,5.14,,29,46,36.89,B_N_Y,S
ICI150,2020-04-01,4.73,7,60,5.04,,29,46,33.27,B_N_Y,S
ICI150,2020-04-03,4.85,7,60,4.99,,29,46,35.4,B_N_Y,S
ICI150,2020-04-07,4.81,7,60,4.95,,29,46,35.02,B_N_Y,S
ICI150,2020-04-08,5.0,7,60,4.96,,29,46,38.32,B_N_Y,S
ICI150,2020-04-09,4.89,7,60,4.94,,29,46,37.19,B_N_Y,S
ICI150,2020-04-13,4.81,7,60,4.91,,29,46,36.38,B_N_Y,S
ICI150,2020-04-15,4.94,7,60,4.92,,29,46,38.63,B_N_Y,S
ICI150,2020-04-16,4.91,7,60,4.92,,29,46,38.31,B_N_Y,S
ICI150,2020-04-17,4.96,7,60,4.93,,29,46,39.19,B_N_Y,S
ICI150,2020-04-20,4.99,7,60,4.94,,29,46,39.72,B_N_Y,S
ICI150,2020-04-21,4.93,7,60,4.94,,29,46,39.01,B_N_Y,S
ICI150,2020-04-22,5.15,7,60,4.99,,29,46,42.89,B_N_Y,S
ICI150,2020-04-23,4.96,7,60,4.98,,29,46,40.58,B_N_Y,S
ICI150,2020-04-24,4.9,7,60,4.96,,29,46,39.88,B_N_Y,S
ICI150,2020-04-27,5.05,7,60,4.98,5.42,29,46,42.46,B_N_Y,S
ICI150,2020-04-28,4.99,7,60,4.99,5.4,29,46,41.72,B_N_Y,S
