Stock,Date,Close,S_EMA1,S_EMA2,C_EMA1,C_EMA2,S_RSI_P,S_RSI_L_R,C_RSI_V,P_Pos,C_Pos
ICIAUT,2022-01-18,117.44,5,10,,,13,45,,B_N_Y,B_N_Y
ICIAUT,2022-01-19,115.99,5,10,,,13,45,0.0,B_N_Y,S
ICIAUT,2022-01-20,116.5,5,10,,,13,45,27.59,B_N_Y,S
ICIAUT,2022-01-21,115.88,5,10,,,13,45,20.24,B_N_Y,S
ICIAUT,2022-01-24,112.59,5,10,114.85,,13,45,7.99,B_N_Y,S
ICIAUT,2022-01-25,115.33,5,10,115.03,,13,45,40.48,B_N_Y,S
ICIAUT,2022-01-27,118.13,5,10,116.13,,13,45,57.21,B_N_Y,S
ICIAUT,2022-01-28,115.62,5,10,115.95,,13,45,44.94,B_N_Y,S
ICIAUT,2022-01-31,116.6,5,10,116.17,,13,45,49.52,B_N_Y,S
ICIAUT,2022-02-01,116.61,5,10,116.32,116.16,13,45,49.57,B_N_Y,B_N_Y
ICIAUT,2022-02-02,116.47,5,10,116.37,116.23,13,45,48.89,B_N_Y,B_N_Y
ICIAUT,2022-02-03,115.75,5,10,116.16,116.13,13,45,45.41,B_N_Y,B_N_Y
ICIAUT,2022-02-04,115.96,5,10,116.09,116.1,13,45,46.61,B_N_Y,S
ICIAUT,2022-02-07,113.92,5,10,115.37,115.68,13,45,37.86,B_N_Y,S
ICIAUT,2022-02-08,114.65,5,10,115.13,115.48,13,45,42.07,B_N_Y,S
ICIAUT,2022-02-09,116.48,5,10,115.58,115.67,13,45,51.09,B_N_Y,S
ICIAUT,2022-02-10,116.51,5,10,115.89,115.83,13,45,51.22,B_N_Y,B_N_Y
ICIAUT,2022-02-11,115.94,5,10,115.91,115.85,13,45,48.47,B_N_Y,B_N_Y
ICIAUT,2022-02-14,111.44,5,10,114.42,115.03,13,45,33.22,B_N_Y,S
ICIAUT,2022-02-15,115.27,5,10,114.7,115.07,13,45,48.24,B_N_Y,S
ICIAUT,2022-02-16,115.45,5,10,114.95,115.14,13,45,48.82,B_N_Y,S
ICIAUT,2022-02-17,115.33,5,10,115.08,115.18,13,45,48.43,B_N_Y,S
ICIAUT,2022-02-18,114.55,5,10,114.9,115.06,13,45,45.81,B_N_Y,S
ICIAUT,2022-02-21,113.96,5,10,114.59,114.86,13,45,43.87,B_N_Y,S
ICIAUT,2022-02-22,113.71,5,10,114.3,114.65,13,45,43.03,B_N_Y,S
ICIAUT,2022-02-23,113.42,5,10,114.0,114.42,13,45,42.03,B_N_Y,S
ICIAUT,2022-02-24,107.1,5,10,111.7,113.09,13,45,27.06,B_N_Y,S
ICIAUT,2022-02-25,109.62,5,10,111.01,112.45,13,45,36.78,B_N_Y,S
ICIAUT,2022-02-28,109.22,5,10,110.41,111.86,13,45,35.96,B_N_Y,S
ICIAUT,2022-03-02,105.25,5,10,108.69,110.66,13,45,28.98,B_N_Y,S
ICIAUT,2022-03-03,103.01,5,10,106.8,109.27,13,45,25.9,B_N_Y,S
ICIAUT,2022-03-04,99.57,5,10,104.39,107.5,13,45,22.02,B_N_Y,S
ICIAUT,2022-03-07,95.73,5,10,101.5,105.36,13,45,18.64,B_N_Y,S
ICIAUT,2022-03-08,95.56,5,10,99.52,103.57,13,45,18.5,B_N_Y,S
ICIAUT,2022-03-09,98.41,5,10,99.15,102.63,13,45,28.05,B_N_Y,S
ICIAUT,2022-03-10,100.61,5,10,99.64,102.27,13,45,34.48,B_N_Y,S
ICIAUT,2022-03-11,100.14,5,10,99.8,101.88,13,45,33.78,B_N_Y,S
ICIAUT,2022-03-14,101.25,5,10,100.29,101.76,13,45,37.04,B_N_Y,S
ICIAUT,2022-03-15,101.38,5,10,100.65,101.69,13,45,37.43,B_N_Y,S
ICIAUT,2022-03-16,103.6,5,10,101.63,102.04,13,45,43.88,B_N_Y,S
ICIAUT,2022-03-17,105.77,5,10,103.01,102.72,13,45,49.4,B_N_Y,B_N_Y
