Stock,Date,Close,S_EMA1,S_EMA2,C_EMA1,C_EMA2,S_RSI_P,S_RSI_L_R,C_RSI_V,P_Pos,C_Pos
ICIEXB,2022-11-30,20.46,8,56,,,24,44,,B_N_Y,B_N_Y
ICIEXB,2022-12-01,17.42,8,56,,,24,44,0.0,B_N_Y,S
ICIEXB,2022-12-02,17.36,8,56,,,24,44,0.0,B_N_Y,S
ICIEXB,2022-12-05,17.27,8,56,,,24,44,0.0,B_N_Y,S
ICIEXB,2022-12-06,17.22,8,56,,,24,44,0.0,B_N_Y,S
ICIEXB,2022-12-07,17.14,8,56,,,24,44,0.0,B_N_Y,S
ICIEXB,2022-12-08,17.15,8,56,,,24,44,0.37,B_N_Y,S
ICIEXB,2022-12-09,17.17,8,56,17.35,,24,44,1.13,B_N_Y,S
ICIEXB,2022-12-12,17.03,8,56,17.27,,24,44,1.07,B_N_Y,S
ICIEXB,2022-12-13,17.18,8,56,17.25,,24,44,6.57,B_N_Y,S
ICIEXB,2022-12-14,17.31,8,56,17.26,,24,44,11.05,B_N_Y,S
ICIEXB,2022-12-15,17.29,8,56,17.27,,24,44,10.96,B_N_Y,S
ICIEXB,2022-12-16,17.13,8,56,17.24,,24,44,10.31,B_N_Y,S
ICIEXB,2022-12-19,17.24,8,56,17.24,,24,44,14.0,B_N_Y,S
ICIEXB,2022-12-20,17.16,8,56,17.22,,24,44,13.58,B_N_Y,S
ICIEXB,2022-12-21,17.37,8,56,17.25,,24,44,20.2,B_N_Y,S
ICIEXB,2022-12-22,17.03,8,56,17.2,,24,44,17.89,B_N_Y,S
ICIEXB,2022-12-23,17.17,8,56,17.2,,24,44,21.74,B_N_Y,S
ICIEXB,2022-12-26,16.84,8,56,17.12,,24,44,19.49,B_N_Y,S
ICIEXB,2022-12-27,16.86,8,56,17.06,,24,44,20.01,B_N_Y,S
ICIEXB,2022-12-28,16.85,8,56,17.01,,24,44,19.95,B_N_Y,S
ICIEXB,2022-12-29,16.77,8,56,16.96,,24,44,19.4,B_N_Y,S
ICIEXB,2022-12-30,16.85,8,56,16.93,,24,44,21.64,B_N_Y,S
ICIEXB,2023-01-02,16.97,8,56,16.94,,24,44,24.92,B_N_Y,S
ICIEXB,2023-01-03,16.93,8,56,16.94,,24,44,24.56,B_N_Y,S
ICIEXB,2023-01-04,16.9,8,56,16.93,,24,44,24.29,B_N_Y,S
ICIEXB,2023-01-05,16.73,8,56,16.89,,24,44,22.79,B_N_Y,S
ICIEXB,2023-01-06,16.94,8,56,16.9,,24,44,28.47,B_N_Y,S
ICIEXB,2023-01-09,16.75,8,56,16.87,,24,44,26.62,B_N_Y,S
ICIEXB,2023-01-10,16.54,8,56,16.79,,24,44,24.77,B_N_Y,S
ICIEXB,2023-01-11,16.49,8,56,16.73,,24,44,24.35,B_N_Y,S
ICIEXB,2023-01-12,16.54,8,56,16.68,,24,44,25.66,B_N_Y,S
ICIEXB,2023-01-13,16.48,8,56,16.64,,24,44,25.12,B_N_Y,S
ICIEXB,2023-01-16,16.54,8,56,16.62,,24,44,26.75,B_N_Y,S
ICIEXB,2023-01-17,16.55,8,56,16.6,,24,44,27.03,B_N_Y,S
ICIEXB,2023-01-18,16.64,8,56,16.61,,24,44,29.53,B_N_Y,S
ICIEXB,2023-01-19,16.67,8,56,16.62,,24,44,30.36,B_N_Y,S
ICIEXB,2023-01-20,16.58,8,56,16.61,,24,44,29.28,B_N_Y,S
ICIEXB,2023-01-23,16.55,8,56,16.6,,24,44,28.92,B_N_Y,S
ICIEXB,2023-01-24,16.61,8,56,16.6,,24,44,30.69,B_N_Y,S
ICIEXB,2023-01-25,16.39,8,56,16.55,,24,44,28.02,B_N_Y,S
ICIEXB,2023-01-27,16.27,8,56,16.49,,24,44,26.7,B_N_Y,S
ICIEXB,2023-01-30,16.24,8,56,16.44,,24,44,26.38,B_N_Y,S
ICIEXB,2023-01-31,16.24,8,56,16.39,,24,44,26.38,B_N_Y,S
ICIEXB,2023-02-01,15.89,8,56,16.28,,24,44,22.85,B_N_Y,S
ICIEXB,2023-02-02,15.75,8,56,16.16,,24,44,21.65,B_N_Y,S
ICIEXB,2023-02-03,16.14,8,56,16.16,,24,44,32.07,B_N_Y,S
ICIEXB,2023-02-06,16.15,8,56,16.16,,24,44,32.32,B_N_Y,S
ICIEXB,2023-02-07,16.28,8,56,16.18,,24,44,35.42,B_N_Y,S
ICIEXB,2023-02-08,16.45,8,56,16.24,,24,44,39.23,B_N_Y,S
ICIEXB,2023-02-09,16.62,8,56,16.33,,24,44,42.75,B_N_Y,S
ICIEXB,2023-02-10,16.63,8,56,16.39,,24,44,42.96,B_N_Y,S
ICIEXB,2023-02-13,16.49,8,56,16.42,,24,44,40.84,B_N_Y,S
ICIEXB,2023-02-14,16.58,8,56,16.45,,24,44,42.73,B_N_Y,S
ICIEXB,2023-02-15,16.57,8,56,16.48,,24,44,42.58,B_N_Y,S
ICIEXB,2023-02-16,16.5,8,56,16.48,16.61,24,44,41.46,B_N_Y,S
ICIEXB,2023-02-17,16.47,8,56,16.48,16.6,24,44,40.98,B_N_Y,S
ICIEXB,2023-02-20,16.36,8,56,16.45,16.59,24,44,39.23,B_N_Y,S
ICIEXB,2023-02-21,16.34,8,56,16.43,16.58,24,44,38.92,B_N_Y,S
ICIEXB,2023-02-22,16.06,8,56,16.35,16.56,24,44,34.84,B_N_Y,S
ICIEXB,2023-02-23,15.99,8,56,16.27,16.54,24,44,33.92,B_N_Y,S
ICIEXB,2023-02-24,15.94,8,56,16.19,16.52,24,44,33.26,B_N_Y,S
ICIEXB,2023-02-27,16.0,8,56,16.15,16.5,24,44,34.84,B_N_Y,S
ICIEXB,2023-02-28,15.99,8,56,16.12,16.48,24,44,34.7,B_N_Y,S
ICIEXB,2023-03-01,16.13,8,56,16.12,16.46,24,44,38.4,B_N_Y,S
ICIEXB,2023-03-02,15.97,8,56,16.09,16.44,24,44,35.97,B_N_Y,S
ICIEXB,2023-03-03,16.08,8,56,16.08,16.43,24,44,38.75,B_N_Y,S
ICIEXB,2023-03-06,16.31,8,56,16.13,16.42,24,44,44.06,B_N_Y,S
ICIEXB,2023-03-08,16.29,8,56,16.17,16.42,24,44,43.71,B_N_Y,S
ICIEXB,2023-03-09,16.15,8,56,16.16,16.41,24,44,41.36,B_N_Y,S
ICIEXB,2023-03-10,15.9,8,56,16.11,16.39,24,44,37.58,B_N_Y,S
ICIEXB,2023-03-13,15.66,8,56,16.01,16.36,24,44,34.44,B_N_Y,S
ICIEXB,2023-03-14,15.53,8,56,15.9,16.33,24,44,32.88,B_N_Y,S
ICIEXB,2023-03-15,15.48,8,56,15.81,16.3,24,44,32.29,B_N_Y,S
ICIEXB,2023-03-16,15.5,8,56,15.74,16.27,24,44,32.79,B_N_Y,S
ICIEXB,2023-03-17,15.56,8,56,15.7,16.24,24,44,34.31,B_N_Y,S
ICIEXB,2023-03-20,15.28,8,56,15.61,16.21,24,44,30.91,B_N_Y,S
ICIEXB,2023-03-21,15.64,8,56,15.61,16.18,24,44,39.02,B_N_Y,S
ICIEXB,2023-03-22,15.78,8,56,15.65,16.17,24,44,41.79,B_N_Y,S
ICIEXB,2023-03-23,15.75,8,56,15.67,16.15,24,44,41.37,B_N_Y,S
ICIEXB,2023-03-24,15.4,8,56,15.61,16.13,24,44,36.86,B_N_Y,S
ICIEXB,2023-03-27,15.38,8,56,15.56,16.1,24,44,36.62,B_N_Y,S
ICIEXB,2023-03-28,15.36,8,56,15.52,16.07,24,44,36.37,B_N_Y,S
ICIEXB,2023-03-29,15.49,8,56,15.51,16.05,24,44,39.14,B_N_Y,S
ICIEXB,2023-03-31,15.7,8,56,15.55,16.04,24,44,43.29,B_N_Y,S
ICIEXB,2023-04-03,15.78,8,56,15.6,16.03,24,44,44.79,B_N_Y,S
ICIEXB,2023-04-05,15.93,8,56,15.68,16.02,24,44,47.5,B_N_Y,S
ICIEXB,2023-04-06,16.18,8,56,15.79,16.03,24,44,51.64,B_N_Y,S
ICIEXB,2023-04-10,16.18,8,56,15.87,16.03,24,44,51.64,B_N_Y,S
ICIEXB,2023-04-11,16.24,8,56,15.96,16.04,24,44,52.61,B_N_Y,S
ICIEXB,2023-04-12,16.28,8,56,16.03,16.05,24,44,53.27,B_N_Y,S
ICIEXB,2023-04-13,16.38,8,56,16.11,16.06,24,44,54.9,B_N_Y,B_N_Y
ICIEXB,2023-04-17,16.4,8,56,16.17,16.08,24,44,55.22,B_N_Y,B_N_Y
ICIEXB,2023-04-18,16.43,8,56,16.23,16.09,24,44,55.72,B_N_Y,B_N_Y
ICIEXB,2023-04-19,16.38,8,56,16.26,16.1,24,44,54.66,B_N_Y,B_N_Y
ICIEXB,2023-04-20,16.4,8,56,16.29,16.11,24,44,55.02,B_N_Y,B_N_Y
ICIEXB,2023-04-21,16.36,8,56,16.31,16.12,24,44,54.13,B_N_Y,B_N_Y
ICIEXB,2023-04-24,16.45,8,56,16.34,16.13,24,44,55.81,B_N_Y,B_N_Y
ICIEXB,2023-04-25,16.5,8,56,16.38,16.14,24,44,56.73,B_N_Y,B_N_Y
ICIEXB,2023-04-26,16.46,8,56,16.39,16.16,24,44,55.76,B_N_Y,B_N_Y
ICIEXB,2023-04-27,16.58,8,56,16.44,16.17,24,44,58.0,B_N_Y,B_N_Y
ICIEXB,2023-04-28,16.71,8,56,16.5,16.19,24,44,60.28,B_N_Y,B_N_Y
ICIEXB,2023-05-02,16.84,8,56,16.57,16.21,24,44,62.41,B_N_Y,B_N_Y
ICIEXB,2023-05-03,16.8,8,56,16.62,16.23,24,44,61.35,B_N_Y,B_N_Y
ICIEXB,2023-05-04,17.11,8,56,16.73,16.27,24,44,66.0,B_N_Y,B_N_Y
ICIEXB,2023-05-05,16.9,8,56,16.77,16.29,24,44,60.83,B_N_Y,B_N_Y
ICIEXB,2023-05-08,17.21,8,56,16.87,16.32,24,44,65.05,B_N_Y,B_N_Y
ICIEXB,2023-05-09,17.19,8,56,16.94,16.35,24,44,64.58,B_N_Y,B_N_Y
ICIEXB,2023-05-10,17.27,8,56,17.01,16.39,24,44,65.61,B_N_Y,B_N_Y
ICIEXB,2023-05-11,17.35,8,56,17.09,16.42,24,44,66.63,B_N_Y,B_N_Y
ICIEXB,2023-05-12,17.32,8,56,17.14,16.45,24,44,65.87,B_N_Y,B_N_Y
ICIEXB,2023-05-15,17.41,8,56,17.2,16.49,24,44,67.05,B_N_Y,B_N_Y
ICIEXB,2023-05-16,17.41,8,56,17.25,16.52,24,44,67.05,B_N_Y,B_N_Y
ICIEXB,2023-05-17,17.29,8,56,17.26,16.55,24,44,63.84,B_N_Y,B_N_Y
ICIEXB,2023-05-18,17.28,8,56,17.26,16.57,24,44,63.58,B_N_Y,B_N_Y
ICIEXB,2023-05-19,17.27,8,56,17.26,16.6,24,44,63.31,B_N_Y,B_N_Y
ICIEXB,2023-05-22,17.38,8,56,17.29,16.63,24,44,65.03,B_N_Y,B_N_Y
ICIEXB,2023-05-23,17.45,8,56,17.32,16.66,24,44,66.09,B_N_Y,B_N_Y
ICIEXB,2023-05-24,17.41,8,56,17.34,16.68,24,44,64.92,B_N_Y,B_N_Y
ICIEXB,2023-05-25,17.41,8,56,17.36,16.71,24,44,64.92,B_N_Y,B_N_Y
ICIEXB,2023-05-26,17.47,8,56,17.38,16.74,24,44,65.91,B_N_Y,B_N_Y
ICIEXB,2023-05-29,17.75,8,56,17.46,16.77,24,44,70.01,B_N_Y,B_N_Y
ICIEXB,2023-05-30,17.82,8,56,17.54,16.81,24,44,70.93,B_N_Y,B_N_Y
ICIEXB,2023-05-31,17.8,8,56,17.6,16.84,24,44,70.29,B_N_Y,B_N_Y
ICIEXB,2023-06-01,17.85,8,56,17.66,16.88,24,44,70.97,B_N_Y,B_N_Y
ICIEXB,2023-06-02,17.79,8,56,17.69,16.91,24,44,68.99,B_N_Y,B_N_Y
ICIEXB,2023-06-05,17.86,8,56,17.72,16.95,24,44,70.01,B_N_Y,B_N_Y
ICIEXB,2023-06-06,17.94,8,56,17.77,16.98,24,44,71.14,B_N_Y,B_N_Y
ICIEXB,2023-06-07,18.07,8,56,17.84,17.02,24,44,72.87,B_N_Y,B_N_Y
