Stock,Date,Close,S_EMA1,S_EMA2,C_EMA1,C_EMA2,S_RSI_P,S_RSI_L_R,C_RSI_V,P_Pos,C_Pos
ICIFMC,2021-08-10,36.5,12,72,,,29,48,,B_N_Y,B_N_Y
ICIFMC,2021-08-11,36.36,12,72,,,29,48,0.0,B_N_Y,S
ICIFMC,2021-08-12,36.68,12,72,,,29,48,70.30303030303024,B_N_Y,S
ICIFMC,2021-08-13,36.97,12,72,,,29,48,82.10891783077142,B_N_Y,S
ICIFMC,2021-08-16,37.02,12,72,,,29,48,83.29482197533645,B_N_Y,S
ICIFMC,2021-08-17,37.26,12,72,,,29,48,87.435270027138,B_N_Y,S
ICIFMC,2021-08-18,37.77,12,72,,,29,48,91.87012221706782,B_N_Y,S
ICIFMC,2021-08-20,38.37,12,72,,,29,48,94.31508009400423,B_N_Y,S
ICIFMC,2021-08-23,38.62,12,72,,,29,48,94.96812884261047,B_N_Y,S
ICIFMC,2021-08-24,38.27,12,72,,,29,48,81.40820012871686,B_N_Y,S
ICIFMC,2021-08-25,38.58,12,72,,,29,48,83.56137204948267,B_N_Y,S
ICIFMC,2021-08-26,38.97,12,72,38.076830253366495,,29,48,85.71676618605838,B_N_Y,S
ICIFMC,2021-08-27,38.79,12,72,38.20066361433205,,29,48,80.66115756626294,B_N_Y,S
ICIFMC,2021-08-30,39.22,12,72,38.37422405522707,,29,48,83.12388357684063,B_N_Y,S
ICIFMC,2021-08-31,39.4,12,72,38.54605908664789,,29,48,84.0068874952019,B_N_Y,S
ICIFMC,2021-09-01,39.76,12,72,38.746672393963095,,29,48,85.57076712499874,B_N_Y,S
ICIFMC,2021-09-02,40.35,12,72,39.00864535747267,,29,48,87.62481883808444,B_N_Y,S
ICIFMC,2021-09-03,40.31,12,72,39.21926713308833,,29,48,86.75761007677755,B_N_Y,S
ICIFMC,2021-09-06,40.3,12,72,39.392793147888334,,29,48,86.5358555007538,B_N_Y,S
ICIFMC,2021-09-07,40.42,12,72,39.55662437498839,,29,48,86.95041134806893,B_N_Y,S
ICIFMC,2021-09-08,40.27,12,72,39.66976328714075,,29,48,83.61729572833258,B_N_Y,S
ICIFMC,2021-09-09,40.54,12,72,39.807127293186355,,29,48,84.70999073419262,B_N_Y,S
ICIFMC,2021-09-13,40.68,12,72,39.94435838091414,,29,48,85.2387297236049,B_N_Y,S
ICIFMC,2021-09-14,40.62,12,72,40.05022430202576,,29,48,83.9501296831425,B_N_Y,S
ICIFMC,2021-09-15,40.55,12,72,40.12831185984292,,29,48,82.44412050960219,B_N_Y,S
ICIFMC,2021-09-16,41.08,12,72,40.27665269345347,,29,48,84.60924978331258,B_N_Y,S
ICIFMC,2021-09-17,40.97,12,72,40.38450719743113,,29,48,82.42414398965664,B_N_Y,S
ICIFMC,2021-09-20,41.34,12,72,40.53288632865441,,29,48,83.8749357595755,B_N_Y,S
ICIFMC,2021-09-21,41.6,12,72,40.69836010905324,,29,48,84.7887642322417,B_N_Y,S
ICIFMC,2021-09-22,41.68,12,72,40.85039419114502,,29,48,85.05860708781736,B_N_Y,S
ICIFMC,2021-09-23,41.5,12,72,40.950899942425266,,29,48,81.68188989898559,B_N_Y,S
ICIFMC,2021-09-24,41.17,12,72,40.98476914773,,29,48,75.95628300173269,B_N_Y,S
ICIFMC,2021-09-27,40.92,12,72,40.97476429533029,,29,48,71.99648459487973,B_N_Y,S
ICIFMC,2021-09-28,40.75,12,72,40.94006671165695,,29,48,69.44666391088577,B_N_Y,S
ICIFMC,2021-09-29,40.49,12,72,40.87062507184752,,29,48,65.75766019166254,B_N_Y,S
ICIFMC,2021-09-30,40.55,12,72,40.82117726646978,,29,48,66.18695911940867,B_N_Y,S
ICIFMC,2021-10-01,40.27,12,72,40.73620501105151,,29,48,62.40544601285223,B_N_Y,S
ICIFMC,2021-10-04,40.52,12,72,40.702884385650215,,29,48,64.29204709319043,B_N_Y,S
ICIFMC,2021-10-05,40.49,12,72,40.67008436835435,,29,48,63.89354250835547,B_N_Y,S
ICIFMC,2021-10-06,40.29,12,72,40.611536485891904,,29,48,61.271247788155314,B_N_Y,S
ICIFMC,2021-10-07,40.33,12,72,40.56817720717412,,29,48,61.59772393810433,B_N_Y,S
ICIFMC,2021-10-08,40.05,12,72,40.488386051063586,,29,48,58.049935581027384,B_N_Y,S
ICIFMC,2021-10-11,40.28,12,72,40.456302302567,,29,48,60.009500427184676,B_N_Y,S
ICIFMC,2021-10-12,40.61,12,72,40.479963300776376,,29,48,62.60525514763099,B_N_Y,S
