Stock,Date,Close,S_EMA1,S_EMA2,C_EMA1,C_EMA2,S_RSI_P,S_RSI_L_R,C_RSI_V,P_Pos,C_Pos
ICIGOL,2010-09-02,19.25,101,140,,,10,25,,B_N_Y,B_N_Y
ICIGOL,2010-09-03,19.15,101,140,,,10,25,0.0,B_N_Y,S
ICIGOL,2010-09-06,19.05,101,140,,,10,25,0.0,B_N_Y,S
ICIGOL,2010-09-07,19.15,101,140,,,10,25,36.90036900368965,B_N_Y,S
ICIGOL,2010-09-08,19.17,101,140,,,10,25,41.6824554755593,B_N_Y,S
ICIGOL,2010-09-09,19.16,101,140,,,10,25,39.998383903680775,B_N_Y,S
ICIGOL,2010-09-13,19.0,101,140,,,10,25,23.278355309738117,B_N_Y,S
ICIGOL,2010-09-14,19.06,101,140,,,10,25,34.65905003200366,B_N_Y,S
ICIGOL,2010-09-15,19.27,101,140,,,10,25,58.562826827969744,B_N_Y,S
ICIGOL,2010-09-16,19.2,101,140,,,10,25,51.57479567264348,B_N_Y,S
ICIGOL,2010-09-17,19.25,101,140,,,10,25,55.76405781642928,B_N_Y,S
ICIGOL,2010-09-20,19.13,101,140,,,10,25,45.31109578762752,B_N_Y,S
ICIGOL,2010-09-21,19.1,101,140,,,10,25,43.068542958739265,B_N_Y,S
ICIGOL,2010-09-22,19.28,101,140,,,10,25,57.19275275010621,B_N_Y,S
ICIGOL,2010-09-23,19.24,101,140,,,10,25,53.89151193716905,B_N_Y,S
ICIGOL,2010-09-24,19.27,101,140,,,10,25,56.007594782460664,B_N_Y,S
ICIGOL,2010-09-27,19.43,101,140,,,10,25,65.41373873952983,B_N_Y,S
ICIGOL,2010-09-28,19.25,101,140,,,10,25,51.61799651004495,B_N_Y,S
ICIGOL,2010-09-29,19.4,101,140,,,10,25,59.52236949526824,B_N_Y,S
ICIGOL,2010-09-30,19.43,101,140,,,10,25,60.940441845502455,B_N_Y,S
ICIGOL,2010-10-01,19.27,101,140,,,10,25,50.46385235621423,B_N_Y,S
ICIGOL,2010-10-06,19.62,101,140,,,10,25,65.06247817203106,B_N_Y,S
ICIGOL,2010-10-07,19.8,101,140,,,10,25,70.09807396673821,B_N_Y,S
ICIGOL,2010-10-08,19.42,101,140,,,10,25,52.38681775372844,B_N_Y,S
ICIGOL,2010-10-11,19.54,101,140,,,10,25,56.264174394848794,B_N_Y,S
ICIGOL,2010-10-12,19.68,101,140,,,10,25,60.44023266270941,B_N_Y,S
ICIGOL,2010-10-13,19.72,101,140,,,10,25,61.60410009961284,B_N_Y,S
ICIGOL,2010-10-14,19.98,101,140,,,10,25,68.3327890325938,B_N_Y,S
ICIGOL,2010-10-15,19.93,101,140,,,10,25,65.86638853601994,B_N_Y,S
ICIGOL,2010-10-18,19.86,101,140,,,10,25,62.364842746264564,B_N_Y,S
ICIGOL,2010-10-19,19.82,101,140,,,10,25,60.32855873949533,B_N_Y,S
ICIGOL,2010-10-20,19.74,101,140,,,10,25,56.24735645624056,B_N_Y,S
ICIGOL,2010-10-21,19.61,101,140,,,10,25,50.124851746419594,B_N_Y,S
ICIGOL,2010-10-22,19.48,101,140,,,10,25,44.71664023782047,B_N_Y,S
ICIGOL,2010-10-25,19.61,101,140,,,10,25,50.634705981727244,B_N_Y,S
ICIGOL,2010-10-26,19.45,101,140,,,10,25,44.16872607092793,B_N_Y,S
ICIGOL,2010-10-27,19.42,101,140,,,10,25,43.02411801756927,B_N_Y,S
ICIGOL,2010-10-28,19.45,101,140,,,10,25,44.618756060689094,B_N_Y,S
ICIGOL,2010-10-29,19.44,101,140,,,10,25,44.16098738117643,B_N_Y,S
ICIGOL,2010-11-01,19.7,101,140,,,10,25,56.927211030963946,B_N_Y,S
ICIGOL,2010-11-02,19.68,101,140,,,10,25,55.83613699600607,B_N_Y,S
ICIGOL,2010-11-03,19.74,101,140,,,10,25,58.48820451508396,B_N_Y,S
ICIGOL,2010-11-04,19.67,101,140,,,10,25,54.26410223850865,B_N_Y,S
ICIGOL,2010-11-05,19.8,101,140,,,10,25,60.19602376010489,B_N_Y,S
ICIGOL,2010-11-08,19.9,101,140,,,10,25,64.16813777713881,B_N_Y,S
ICIGOL,2010-11-09,20.31,101,140,,,10,25,75.36664546666483,B_N_Y,S
ICIGOL,2010-11-10,20.26,101,140,,,10,25,72.30467640672676,B_N_Y,S
ICIGOL,2010-11-11,20.38,101,140,,,10,25,75.01189692841278,B_N_Y,S
ICIGOL,2010-11-12,20.21,101,140,,,10,25,65.00919866490568,B_N_Y,S
ICIGOL,2010-11-15,19.84,101,140,,,10,25,49.15718830562418,B_N_Y,S
