Stock,Date,Close,S_EMA1,S_EMA2,C_EMA1,C_EMA2,S_RSI_P,S_RSI_L_R,C_RSI_V,P_Pos,C_Pos
ICIHEA,2021-05-25,84.56,13,106,,,14,45,,B_N_Y,B_N_Y
ICIHEA,2021-05-26,84.79,13,106,,,14,45,100.0,B_N_Y,S
ICIHEA,2021-05-27,84.49,13,106,,,14,45,41.5855354659244,B_N_Y,S
ICIHEA,2021-05-28,83.63,13,106,,,14,45,14.83417929244753,B_N_Y,S
ICIHEA,2021-05-31,83.76,13,106,,,14,45,22.90738245759549,B_N_Y,S
ICIHEA,2021-06-01,84.04,13,106,,,14,45,36.802961145274104,B_N_Y,S
ICIHEA,2021-06-02,84.66,13,106,,,14,45,55.800567393821915,B_N_Y,S
ICIHEA,2021-06-03,85.01,13,106,,,14,45,62.630022135672135,B_N_Y,S
ICIHEA,2021-06-04,84.99,13,106,,,14,45,62.04010838490646,B_N_Y,S
ICIHEA,2021-06-07,84.75,13,106,,,14,45,55.30787923843721,B_N_Y,S
ICIHEA,2021-06-08,85.19,13,106,,,14,45,63.19351636778557,B_N_Y,S
ICIHEA,2021-06-09,85.43,13,106,,,14,45,66.65007505015528,B_N_Y,S
ICIHEA,2021-06-10,86.68,13,106,85.10707471189275,,14,45,78.15623759104403,B_N_Y,S
ICIHEA,2021-06-11,86.94,13,106,85.40312819167495,,14,45,79.72328206411518,B_N_Y,S
ICIHEA,2021-06-14,87.29,13,106,85.70231157857694,,14,45,81.63340734140914,B_N_Y,S
ICIHEA,2021-06-15,86.84,13,106,85.87991507755387,,14,45,72.21416945208793,B_N_Y,S
ICIHEA,2021-06-16,86.7,13,106,86.00626342374657,,14,45,69.5263655859181,B_N_Y,S
ICIHEA,2021-06-17,85.79,13,106,85.97331365694255,,14,45,55.15604883303833,B_N_Y,S
ICIHEA,2021-06-18,85.59,13,106,85.91546193808117,,14,45,52.58363574303133,B_N_Y,S
ICIHEA,2021-06-21,84.94,13,106,85.76941837606573,,14,45,45.2046200920148,B_N_Y,S
ICIHEA,2021-06-22,85.41,13,106,85.71597385426067,,14,45,50.60248607337816,B_N_Y,S
ICIHEA,2021-06-23,85.02,13,106,85.61308533982891,,14,45,46.508365188280386,B_N_Y,S
ICIHEA,2021-06-24,84.85,13,106,85.50083411886044,,14,45,44.80659939520475,B_N_Y,S
ICIHEA,2021-06-25,85.92,13,106,85.56223355208411,,14,45,55.77525889063176,B_N_Y,S
ICIHEA,2021-06-28,86.81,13,106,85.74434664965723,,14,45,62.45826233259927,B_N_Y,S
ICIHEA,2021-06-29,87.54,13,106,86.00561613541088,,14,45,66.87929294296605,B_N_Y,S
ICIHEA,2021-06-30,87.86,13,106,86.27471948395548,,14,45,68.62360429162885,B_N_Y,S
ICIHEA,2021-07-01,88.28,13,106,86.56506430950195,,14,45,70.79745215379309,B_N_Y,S
ICIHEA,2021-07-02,88.84,13,106,86.89381706798856,,14,45,73.43974945062452,B_N_Y,S
ICIHEA,2021-07-05,89.02,13,106,87.20056619208718,,14,45,74.2463686814771,B_N_Y,S
ICIHEA,2021-07-06,88.73,13,106,87.42090919585257,,14,45,70.52998640117595,B_N_Y,S
ICIHEA,2021-07-07,88.97,13,106,87.64381416672124,,14,45,71.78853150218362,B_N_Y,S
ICIHEA,2021-07-08,87.89,13,106,87.67920215216007,,14,45,59.478817330685985,B_N_Y,S
ICIHEA,2021-07-09,88.54,13,106,87.8028277853829,,14,45,63.531856819243956,B_N_Y,S
ICIHEA,2021-07-12,88.13,13,106,87.84977974011159,,14,45,59.48985228210816,B_N_Y,S
ICIHEA,2021-07-13,88.81,13,106,87.98748971277533,,14,45,63.62352082255544,B_N_Y,S
ICIHEA,2021-07-14,88.89,13,106,88.11685104766408,,14,45,64.08780040653248,B_N_Y,S
ICIHEA,2021-07-15,88.92,13,106,88.23191543584328,,14,45,64.27195566324352,B_N_Y,S
ICIHEA,2021-07-16,89.47,13,106,88.40921896204223,,14,45,67.55664287361415,B_N_Y,S
ICIHEA,2021-07-19,89.75,13,106,88.6011621065861,,14,45,69.11344791756443,B_N_Y,S
ICIHEA,2021-07-20,89.06,13,106,88.66682855194371,,14,45,61.30634968856188,B_N_Y,S
ICIHEA,2021-07-22,89.73,13,106,88.81894483196291,,14,45,65.39412750772814,B_N_Y,S
ICIHEA,2021-07-23,89.85,13,106,88.96643343273553,,14,45,66.08520680072505,B_N_Y,S
ICIHEA,2021-07-26,90.16,13,106,89.1371363983976,,14,45,67.87025710133608,B_N_Y,S
ICIHEA,2021-07-27,87.96,13,106,88.9688105454034,,14,45,48.40061923747964,B_N_Y,S
ICIHEA,2021-07-28,86.72,13,106,88.64728418626615,,14,45,41.22270093963111,B_N_Y,S
ICIHEA,2021-07-29,86.96,13,106,88.40607144056183,,14,45,42.98512340957039,B_N_Y,S
ICIHEA,2021-07-30,87.59,13,106,88.28941844699366,,14,45,47.440322144605766,B_N_Y,S
ICIHEA,2021-08-02,89.61,13,106,88.47817192426949,,14,45,58.60856561450585,B_N_Y,S
ICIHEA,2021-08-03,90.16,13,106,88.71854110668379,,14,45,61.03623266111722,B_N_Y,S
ICIHEA,2021-08-04,89.76,13,106,88.86737828429082,,14,45,58.355565385099936,B_N_Y,S
ICIHEA,2021-08-05,90.18,13,106,89.05495760949778,,14,45,60.325883886549235,B_N_Y,S
ICIHEA,2021-08-06,90.23,13,106,89.22286833056401,,14,45,60.56508640950558,B_N_Y,S
ICIHEA,2021-08-09,89.74,13,106,89.29676220927583,,14,45,56.94181740046792,B_N_Y,S
ICIHEA,2021-08-10,90.13,13,106,89.41582093579706,,14,45,59.04206041823431,B_N_Y,S
ICIHEA,2021-08-11,89.26,13,106,89.39355683399027,,14,45,52.84919604983544,B_N_Y,S
ICIHEA,2021-08-12,89.11,13,106,89.3530425255504,,14,45,51.83959828386047,B_N_Y,S
ICIHEA,2021-08-13,88.29,13,106,89.2011594194058,,14,45,46.59885899611565,B_N_Y,S
ICIHEA,2021-08-16,88.59,13,106,89.1138411305006,,14,45,48.64441191993407,B_N_Y,S
ICIHEA,2021-08-17,89.46,13,106,89.16329715543382,,14,45,54.13167459001416,B_N_Y,S
ICIHEA,2021-08-18,89.89,13,106,89.2671204088295,,14,45,56.59994216371064,B_N_Y,S
ICIHEA,2021-08-20,88.22,13,106,89.1175212052641,,14,45,46.201502990004805,B_N_Y,S
ICIHEA,2021-08-23,87.97,13,106,88.9535796724084,,14,45,44.87245631683773,B_N_Y,S
ICIHEA,2021-08-24,88.86,13,106,88.94021045353566,,14,45,50.348321472188054,B_N_Y,S
ICIHEA,2021-08-25,88.61,13,106,88.89303543183655,,14,45,48.87957705870543,B_N_Y,S
ICIHEA,2021-08-26,88.29,13,106,88.80688422620301,,14,45,46.99001371196283,B_N_Y,S
ICIHEA,2021-08-27,88.19,13,106,88.71875502623409,,14,45,46.386536783851774,B_N_Y,S
ICIHEA,2021-08-30,89.94,13,106,88.89322348421186,,14,45,56.834170190326645,B_N_Y,S
ICIHEA,2021-08-31,91.34,13,106,89.24277138451262,,14,45,63.039398488972424,B_N_Y,S
ICIHEA,2021-09-01,91.88,13,106,89.61952608818308,,14,45,65.12206096386637,B_N_Y,S
ICIHEA,2021-09-02,92.24,13,106,89.99388611211688,,14,45,66.47818919360736,B_N_Y,S
ICIHEA,2021-09-03,92.61,13,106,90.3676223220563,,14,45,67.86131581677955,B_N_Y,S
ICIHEA,2021-09-06,92.3,13,106,90.64367985605595,,14,45,65.42559880363257,B_N_Y,S
ICIHEA,2021-09-07,91.8,13,106,90.80887028425838,,14,45,61.58605245256023,B_N_Y,S
ICIHEA,2021-09-08,91.2,13,106,90.8647464903108,,14,45,57.2446221698153,B_N_Y,S
ICIHEA,2021-09-09,91.25,13,106,90.9197831554459,,14,45,57.51340764779553,B_N_Y,S
ICIHEA,2021-09-13,91.1,13,106,90.94552859917138,,14,45,56.368533557498075,B_N_Y,S
ICIHEA,2021-09-14,91.79,13,106,91.06616809455389,,14,45,60.284928578338665,B_N_Y,S
ICIHEA,2021-09-15,92.28,13,106,91.23957354427249,,14,45,62.8360999680701,B_N_Y,S
ICIHEA,2021-09-16,91.85,13,106,91.32677770807159,,14,45,59.23980764032084,B_N_Y,S
ICIHEA,2021-09-17,91.5,13,106,91.3515238432769,,14,45,56.409818685707826,B_N_Y,S
ICIHEA,2021-09-20,90.05,13,106,91.16559126349641,,14,45,46.499191415517934,B_N_Y,S
ICIHEA,2021-09-21,90.52,13,106,91.0733636841178,,14,45,49.590707969607706,B_N_Y,S
ICIHEA,2021-09-22,90.81,13,106,91.03574021115064,,14,45,51.45469666037005,B_N_Y,S
ICIHEA,2021-09-23,91.11,13,106,91.04634877405097,,14,45,53.37538064221048,B_N_Y,S
ICIHEA,2021-09-24,90.08,13,106,90.90829870785576,,14,45,46.56366507058087,B_N_Y,S
ICIHEA,2021-09-27,88.87,13,106,90.61711274184749,,14,45,40.09084468689512,B_N_Y,S
ICIHEA,2021-09-28,88.16,13,106,90.26609618504207,,14,45,36.8535420858808,B_N_Y,S
ICIHEA,2021-09-29,89.56,13,106,90.16522519041885,,14,45,46.096471831828566,B_N_Y,S
ICIHEA,2021-09-30,90.1,13,106,90.15590729728092,,14,45,49.18601535066376,B_N_Y,S
ICIHEA,2021-10-01,90.32,13,106,90.17934913091489,,14,45,50.43250226780647,B_N_Y,S
ICIHEA,2021-10-04,91.83,13,106,90.41515656140261,,14,45,58.04054971237774,B_N_Y,S
ICIHEA,2021-10-05,90.79,13,106,90.46870565587942,,14,45,52.10824146543999,B_N_Y,S
ICIHEA,2021-10-06,89.36,13,106,90.3103190529394,,14,45,45.258423973856324,B_N_Y,S
ICIHEA,2021-10-07,90.07,13,106,90.2759877446743,,14,45,48.85340269404498,B_N_Y,S
ICIHEA,2021-10-08,89.51,13,106,90.16656088305858,,14,45,46.27224825696173,B_N_Y,S
ICIHEA,2021-10-11,90.24,13,106,90.17705218884382,,14,45,49.98216034543215,B_N_Y,S
ICIHEA,2021-10-12,90.25,13,106,90.1874733075883,,14,45,50.03305937863937,B_N_Y,S
ICIHEA,2021-10-13,90.9,13,106,90.28926285906242,,14,45,53.355684666045605,B_N_Y,S
ICIHEA,2021-10-14,90.98,13,106,90.38793961341338,,14,45,53.76320347399689,B_N_Y,S
ICIHEA,2021-10-18,90.43,13,106,90.3939482411089,,14,45,50.49679753304135,B_N_Y,S
ICIHEA,2021-10-19,89.79,13,106,90.30766990814696,,14,45,46.92420176092099,B_N_Y,S
ICIHEA,2021-10-20,87.84,13,106,89.95514559071412,,14,45,38.08334339469169,B_N_Y,S
ICIHEA,2021-10-21,87.34,13,106,89.58155332273763,,14,45,36.20001371315469,B_N_Y,S
ICIHEA,2021-10-22,86.19,13,106,89.09704565992563,,14,45,32.249717063577734,B_N_Y,S
ICIHEA,2021-10-25,86.3,13,106,88.6974676765009,89.31478877113234,14,45,33.00282460537018,B_N_Y,S
ICIHEA,2021-10-26,86.61,13,106,88.39925798795475,89.25649002855837,14,45,35.18930824686734,B_N_Y,S
ICIHEA,2021-10-27,87.85,13,106,88.3207925564864,89.22626120951604,14,45,43.17760111133638,B_N_Y,S
ICIHEA,2021-10-28,86.22,13,106,88.02067931899263,89.1618299578599,14,45,36.7630098940642,B_N_Y,S
ICIHEA,2021-10-29,86.86,13,106,87.85486798053883,89.11263116778777,14,45,40.500668369203176,B_N_Y,S
ICIHEA,2021-11-01,87.55,13,106,87.81131541027636,89.07932118804567,14,45,44.321597571652525,B_N_Y,S
