Stock,Date,Close,S_EMA1,S_EMA2,C_EMA1,C_EMA2,S_RSI_P,S_RSI_L_R,C_RSI_V,P_Pos,C_Pos
ICIPSE,2022-01-31,63.28,55,65,,,4,80,,B,B_N_Y
ICIPSE,2022-02-01,63.39,55,65,,,4,80,100.0,B,S
ICIPSE,2022-02-02,63.79,55,65,,,4,80,100.0,B,S
ICIPSE,2022-02-03,63.49,55,65,,,4,80,54.67,B,S
ICIPSE,2022-02-04,63.24,55,65,,,4,80,36.36,B,S
ICIPSE,2022-02-07,63.81,55,65,,,4,80,68.47,B,S
ICIPSE,2022-02-08,64.02,55,65,,,4,80,74.73,B,S
ICIPSE,2022-02-09,64.87,55,65,,,4,80,87.8,B,S
ICIPSE,2022-02-10,65.05,55,65,,,4,80,89.36,B,S
ICIPSE,2022-02-11,64.63,55,65,,,4,80,63.99,B,S
ICIPSE,2022-02-14,66.49,55,65,,,4,80,86.54,B,S
ICIPSE,2022-02-15,65.57,55,65,,,4,80,61.24,B,S
ICIPSE,2022-02-16,65.67,55,65,,,4,80,62.82,B,S
ICIPSE,2022-02-17,66.32,55,65,,,4,80,72.51,B,S
ICIPSE,2022-02-18,66.15,55,65,,,4,80,66.47,B,S
ICIPSE,2022-02-21,65.7,55,65,,,4,80,51.37,B,S
ICIPSE,2022-02-22,66.61,55,65,,,4,80,69.84,B,S
ICIPSE,2022-02-23,66.34,55,65,,,4,80,60.72,B,S
ICIPSE,2022-02-24,69.3,55,65,,,4,80,86.5,B,S
ICIPSE,2022-02-25,67.15,55,65,,,4,80,52.88,B,S
ICIPSE,2022-02-28,67.42,55,65,,,4,80,55.76,B,S
ICIPSE,2022-03-02,69.39,55,65,,,4,80,72.25,B,S
ICIPSE,2022-03-03,69.57,55,65,,,4,80,73.46,B,S
ICIPSE,2022-03-04,69.92,55,65,,,4,80,76.15,B,S
ICIPSE,2022-03-07,72.65,55,65,,,4,80,88.38,B,S
ICIPSE,2022-03-08,72.95,55,65,,,4,80,89.19,B,S
ICIPSE,2022-03-09,73.1,55,65,,,4,80,89.67,B,S
