Stock,Date,Close,S_EMA1,S_EMA2,C_EMA1,C_EMA2,S_RSI_P,S_RSI_L_R,C_RSI_V,P_Pos,C_Pos
KOTN50,2021-12-29,34.19,10,48,,,23,47,,B_N_Y,B_N_Y
KOTN50,2021-12-30,34.22,10,48,,,23,47,100.0,B_N_Y,S
KOTN50,2021-12-31,34.69,10,48,,,23,47,100.0,B_N_Y,S
KOTN50,2022-01-03,35.05,10,48,,,23,47,100.0,B_N_Y,S
KOTN50,2022-01-04,35.07,10,48,,,23,47,100.0,B_N_Y,S
KOTN50,2022-01-05,34.97,10,48,,,23,47,88.69982648416197,B_N_Y,S
KOTN50,2022-01-06,34.84,10,48,,,23,47,76.89094372266553,B_N_Y,S
KOTN50,2022-01-07,35.06,10,48,,,23,47,81.29643969618196,B_N_Y,S
KOTN50,2022-01-10,35.37,10,48,,,23,47,85.39741024904107,B_N_Y,S
KOTN50,2022-01-11,35.21,10,48,35.026607839383566,,23,47,76.36283287012009,B_N_Y,S
KOTN50,2022-01-12,35.3,10,48,35.08245843986463,,23,47,77.74727265146416,B_N_Y,S
KOTN50,2022-01-13,35.89,10,48,35.24380376561461,,23,47,84.12124054169092,B_N_Y,S
KOTN50,2022-01-14,35.37,10,48,35.26857220601934,,23,47,66.55548084609048,B_N_Y,S
KOTN50,2022-01-17,36.2,10,48,35.44877866550863,,23,47,75.1978158984584,B_N_Y,S
KOTN50,2022-01-18,35.85,10,48,35.525509986098186,,23,47,67.50735541139059,B_N_Y,S
KOTN50,2022-01-19,35.32,10,48,35.486574373007876,,23,47,58.10058388989143,B_N_Y,S
KOTN50,2022-01-20,35.56,10,48,35.50038000257951,,23,47,60.69353324928241,B_N_Y,S
KOTN50,2022-01-21,35.15,10,48,35.43490705025403,,23,47,54.65296792087637,B_N_Y,S
KOTN50,2022-01-24,33.76,10,48,35.12350029744454,,23,47,40.40127794357385,B_N_Y,S
KOTN50,2022-01-25,33.88,10,48,34.89324831366914,,23,47,41.77171229250712,B_N_Y,S
KOTN50,2022-01-27,33.37,10,48,34.61213761404954,,23,47,37.89958336834397,B_N_Y,S
KOTN50,2022-01-28,33.61,10,48,34.42769953285793,,23,47,40.60815644854512,B_N_Y,S
KOTN50,2022-01-31,33.94,10,48,34.338140437639,,23,47,44.11221075150474,B_N_Y,S
KOTN50,2022-02-01,33.78,10,48,34.23583182859359,,23,47,42.83130685917814,B_N_Y,S
KOTN50,2022-02-02,34.52,10,48,34.28784339285214,,23,47,49.86971984151942,B_N_Y,S
KOTN50,2022-02-03,34.38,10,48,34.30469047098663,,23,47,48.68420755950974,B_N_Y,S
KOTN50,2022-02-04,34.1,10,48,34.267308211685055,,23,47,46.37892098748974,B_N_Y,S
KOTN50,2022-02-07,33.63,10,48,34.15101194434165,,23,47,42.82068000977345,B_N_Y,S
KOTN50,2022-02-08,33.41,10,48,34.01588126486519,,23,47,41.271180009498096,B_N_Y,S
KOTN50,2022-02-09,33.88,10,48,33.99111541478359,,23,47,45.66271444369549,B_N_Y,S
KOTN50,2022-02-10,34.27,10,48,34.04192269116654,,23,47,48.97279599699966,B_N_Y,S
KOTN50,2022-02-11,33.4,10,48,33.92501935745053,,23,47,42.880753015264915,B_N_Y,S
KOTN50,2022-02-14,32.07,10,48,33.58729373636297,,23,47,35.7693314348858,B_N_Y,S
KOTN50,2022-02-15,32.53,10,48,33.39484900383846,,23,47,39.4030882507291,B_N_Y,S
KOTN50,2022-02-16,32.68,10,48,33.26476058462331,,23,47,40.549673223409926,B_N_Y,S
KOTN50,2022-02-17,32.86,10,48,33.19111407929781,,23,47,41.92817592972678,B_N_Y,S
KOTN50,2022-02-18,32.31,10,48,33.03081593833433,,23,47,39.03668616263323,B_N_Y,S
KOTN50,2022-02-21,31.93,10,48,32.83056989429973,,23,47,37.18442255243454,B_N_Y,S
KOTN50,2022-02-22,31.48,10,48,32.58491367643695,,23,47,35.1212574629059,B_N_Y,S
KOTN50,2022-02-23,32.05,10,48,32.487624871531835,,23,47,39.561951666776935,B_N_Y,S
KOTN50,2022-02-24,30.54,10,48,32.133416612697246,,23,47,33.2575247623072,B_N_Y,S
KOTN50,2022-02-25,31.31,10,48,31.98367176387312,,23,47,38.483623216059,B_N_Y,S
KOTN50,2022-02-28,31.66,10,48,31.924811823862665,,23,47,40.69051925032581,B_N_Y,S
KOTN50,2022-03-02,32.27,10,48,31.987582496911394,,23,47,44.32952702060993,B_N_Y,S
KOTN50,2022-03-03,32.47,10,48,32.07530527419424,,23,47,45.476227706649844,B_N_Y,S
KOTN50,2022-03-04,31.99,10,48,32.05979370467645,,23,47,43.24141341870819,B_N_Y,S
KOTN50,2022-03-07,31.16,10,48,31.896181734627397,,23,47,39.71335628797276,B_N_Y,S
KOTN50,2022-03-08,31.8,10,48,31.87869299954886,33.00020305801599,23,47,43.43384044080328,B_N_Y,S
KOTN50,2022-03-09,32.67,10,48,32.022574720159064,32.98471550284874,23,47,47.994928762258134,B_N_Y,S
KOTN50,2022-03-10,32.95,10,48,32.19120490163196,32.983097088256514,23,47,49.36857799110658,B_N_Y,S
KOTN50,2022-03-11,33.14,10,48,32.36371929811958,32.990369599249696,23,47,50.2998753131804,B_N_Y,S
KOTN50,2022-03-14,33.41,10,48,32.553957744002545,33.00971258625878,23,47,51.621878637652486,B_N_Y,S
KOTN50,2022-03-15,33.36,10,48,32.70051440554062,33.02577439804876,23,47,51.35740066983836,B_N_Y,S
KOTN50,2022-03-16,33.69,10,48,32.8804244167925,33.05607865216284,23,47,53.01826380844727,B_N_Y,S
KOTN50,2022-03-17,34.0,10,48,33.08398689044969,33.09893755973343,23,47,54.542578986097496,B_N_Y,S
KOTN50,2022-03-21,34.28,10,48,33.30144668343322,33.152318939792586,23,47,55.89386175580938,B_N_Y,B_N_Y
KOTN50,2022-03-22,34.48,10,48,33.51573141366586,33.212065378247836,23,47,56.851678601184865,B_N_Y,B_N_Y
KOTN50,2022-03-23,34.51,10,48,33.69650911407516,33.270229833525846,23,47,56.99812115097387,B_N_Y,B_N_Y
KOTN50,2022-03-24,34.72,10,48,33.882599708406204,33.33493987760904,23,47,58.04029225356453,B_N_Y,B_N_Y
KOTN50,2022-03-25,34.78,10,48,34.04576436076305,33.39919434332865,23,47,58.34186254453991,B_N_Y,B_N_Y
KOTN50,2022-03-28,34.73,10,48,34.17017144136131,33.45815337786189,23,47,57.97882676270137,B_N_Y,B_N_Y
KOTN50,2022-03-29,34.84,10,48,34.29195893318541,33.51916096412312,23,47,58.57174339921971,B_N_Y,B_N_Y
KOTN50,2022-03-30,35.03,10,48,34.42614865182946,33.58564189710973,23,47,59.60108895158889,B_N_Y,B_N_Y
KOTN50,2022-03-31,35.48,10,48,34.61775849462541,33.66873392960068,23,47,61.9424552840526,B_N_Y,B_N_Y
KOTN50,2022-04-01,35.94,10,48,34.858166561277834,33.768055646566914,23,47,64.16214462192144,B_N_Y,B_N_Y
KOTN50,2022-04-04,36.17,10,48,35.09668215423913,33.8727867640233,23,47,65.22243722666914,B_N_Y,B_N_Y
KOTN50,2022-04-05,36.29,10,48,35.313649349577815,33.977890792205024,23,47,65.77475478954906,B_N_Y,B_N_Y
KOTN50,2022-04-06,36.79,10,48,35.58207705870156,34.099840469251255,23,47,67.98927254839234,B_N_Y,B_N_Y
KOTN50,2022-04-07,36.38,10,48,35.72715409780081,34.198470199248746,23,47,64.41616200814738,B_N_Y,B_N_Y
KOTN50,2022-04-08,36.46,10,48,35.86039891300692,34.29605604739758,23,47,64.79359428115944,B_N_Y,B_N_Y
KOTN50,2022-04-11,36.6,10,48,35.99487192520639,34.39524058086735,23,47,65.46379374709379,B_N_Y,B_N_Y
KOTN50,2022-04-12,35.75,10,48,35.95034973334071,34.45343284857011,23,47,58.40647940336041,B_N_Y,B_N_Y
