Stock,Date,Close,S_EMA1,S_EMA2,C_EMA1,C_EMA2,S_RSI_P,S_RSI_L_R,C_RSI_V,P_Pos,C_Pos
MOTNAS,2011-03-31,10.38,5,164,,,30,52,,S,B_N_Y
MOTNAS,2011-04-01,10.32,5,164,,,30,52,0.0,S,S
MOTNAS,2011-04-04,10.22,5,164,,,30,52,0.0,S,S
MOTNAS,2011-04-05,10.31,5,164,,,30,52,37.08,S,S
MOTNAS,2011-04-06,10.42,5,164,10.34,,30,52,57.16,S,S
MOTNAS,2011-04-07,10.54,5,164,10.42,,30,52,68.51,S,S
MOTNAS,2011-04-08,10.45,5,164,10.43,,30,52,56.83,S,S
MOTNAS,2011-04-11,10.5,5,164,10.45,,30,52,60.68,S,S
MOTNAS,2011-04-13,10.56,5,164,10.49,,30,52,64.6,S,S
MOTNAS,2011-04-15,10.27,5,164,10.41,,30,52,43.11,S,S
MOTNAS,2011-04-18,10.35,5,164,10.39,,30,52,48.04,S,S
MOTNAS,2011-04-19,10.24,5,164,10.34,,30,52,42.77,S,S
MOTNAS,2011-04-20,10.25,5,164,10.31,,30,52,43.35,S,S
MOTNAS,2011-04-21,10.41,5,164,10.34,,30,52,51.55,S,S
MOTNAS,2011-04-25,10.46,5,164,10.38,,30,52,53.71,S,S
MOTNAS,2011-04-26,10.6,5,164,10.46,,30,52,59.02,S,S
MOTNAS,2011-04-27,10.6,5,164,10.5,,30,52,59.02,S,S
MOTNAS,2011-04-28,10.6,5,164,10.54,,30,52,59.02,S,S
MOTNAS,2011-04-29,10.39,5,164,10.49,,30,52,49.58,S,S
MOTNAS,2011-05-02,10.59,5,164,10.52,,30,52,56.44,S,S
MOTNAS,2011-05-03,10.3,5,164,10.45,,30,52,46.88,S,S
MOTNAS,2011-05-04,10.41,5,164,10.44,,30,52,50.19,S,S
MOTNAS,2011-05-05,10.33,5,164,10.4,,30,52,47.94,S,S
MOTNAS,2011-05-06,10.5,5,164,10.43,,30,52,52.61,S,S
MOTNAS,2011-05-09,10.35,5,164,10.41,,30,52,48.63,S,S
MOTNAS,2011-05-10,10.49,5,164,10.43,,30,52,52.13,S,S
MOTNAS,2011-05-11,10.46,5,164,10.44,,30,52,51.35,S,S
MOTNAS,2011-05-12,10.35,5,164,10.41,,30,52,48.61,S,S
MOTNAS,2011-05-13,10.57,5,164,10.46,,30,52,53.72,S,S
MOTNAS,2011-05-16,10.58,5,164,10.5,,30,52,53.94,S,S
MOTNAS,2011-05-17,10.55,5,164,10.52,,30,52,53.17,S,S
MOTNAS,2011-05-18,10.35,5,164,10.46,,30,52,48.41,S,S
MOTNAS,2011-05-19,10.38,5,164,10.43,,30,52,49.12,S,S
MOTNAS,2011-05-20,10.41,5,164,10.43,,30,52,49.83,S,S
MOTNAS,2011-05-23,10.25,5,164,10.37,,30,52,46.27,S,S
MOTNAS,2011-05-24,10.52,5,164,10.42,,30,52,52.23,S,S
MOTNAS,2011-05-25,10.21,5,164,10.35,,30,52,46.15,S,S
MOTNAS,2011-05-26,10.38,5,164,10.36,,30,52,49.48,S,S
MOTNAS,2011-05-27,10.21,5,164,10.31,,30,52,46.5,S,S
MOTNAS,2011-05-30,10.35,5,164,10.32,,30,52,49.11,S,S
MOTNAS,2011-05-31,10.3,5,164,10.32,,30,52,48.24,S,S
MOTNAS,2011-06-01,10.37,5,164,10.33,,30,52,49.54,S,S
MOTNAS,2011-06-02,10.22,5,164,10.3,,30,52,46.94,S,S
MOTNAS,2011-06-03,10.3,5,164,10.3,,30,52,48.43,S,S
MOTNAS,2011-06-06,10.32,5,164,10.3,,30,52,48.8,S,S
MOTNAS,2011-06-07,10.31,5,164,10.31,,30,52,48.62,S,S
MOTNAS,2011-06-08,10.4,5,164,10.34,,30,52,50.35,S,S
MOTNAS,2011-06-09,10.26,5,164,10.31,,30,52,47.77,S,S
MOTNAS,2011-06-10,10.22,5,164,10.28,,30,52,47.05,S,S
MOTNAS,2011-06-13,10.1,5,164,10.22,,30,52,44.97,S,S
MOTNAS,2011-06-14,10.0,5,164,10.15,,30,52,43.32,S,S
MOTNAS,2011-06-15,10.0,5,164,10.1,,30,52,43.32,S,S
MOTNAS,2011-06-16,10.0,5,164,10.07,,30,52,43.32,S,S
MOTNAS,2011-06-17,9.91,5,164,10.01,,30,52,41.79,S,S
MOTNAS,2011-06-20,9.99,5,164,10.01,,30,52,43.62,S,S
MOTNAS,2011-06-21,10.2,5,164,10.07,,30,52,48.06,S,S
MOTNAS,2011-06-22,9.93,5,164,10.02,,30,52,43.51,S,S
MOTNAS,2011-06-23,10.14,5,164,10.06,,30,52,47.51,S,S
MOTNAS,2011-06-24,10.13,5,164,10.08,,30,52,47.34,S,S
MOTNAS,2011-06-27,10.25,5,164,10.14,,30,52,49.52,S,S
MOTNAS,2011-06-28,10.18,5,164,10.15,,30,52,48.31,S,S
MOTNAS,2011-06-29,10.2,5,164,10.17,,30,52,48.68,S,S
MOTNAS,2011-06-30,10.11,5,164,10.15,,30,52,47.12,S,S
MOTNAS,2011-07-01,10.15,5,164,10.15,,30,52,47.89,S,S
MOTNAS,2011-07-04,10.25,5,164,10.18,,30,52,49.78,S,S
MOTNAS,2011-07-05,10.3,5,164,10.22,,30,52,50.71,S,S
MOTNAS,2011-07-06,10.21,5,164,10.22,,30,52,49.02,S,S
MOTNAS,2011-07-07,10.29,5,164,10.24,,30,52,50.53,S,S
MOTNAS,2011-07-11,10.32,5,164,10.27,,30,52,51.1,S,S
MOTNAS,2011-07-12,10.28,5,164,10.27,,30,52,50.31,S,S
MOTNAS,2011-07-13,10.3,5,164,10.28,,30,52,50.7,S,S
MOTNAS,2011-07-14,10.29,5,164,10.28,,30,52,50.49,S,S
MOTNAS,2011-07-15,10.12,5,164,10.23,,30,52,47.11,S,S
MOTNAS,2011-07-18,10.25,5,164,10.24,,30,52,49.77,S,S
MOTNAS,2011-07-19,10.29,5,164,10.25,,30,52,50.57,S,S
MOTNAS,2011-07-20,10.4,5,164,10.3,,30,52,52.69,S,S
MOTNAS,2011-07-21,10.4,5,164,10.34,,30,52,52.69,S,S
MOTNAS,2011-07-22,10.31,5,164,10.33,,30,52,50.78,S,S
MOTNAS,2011-07-25,10.5,5,164,10.38,,30,52,54.39,S,S
MOTNAS,2011-07-26,10.51,5,164,10.43,,30,52,54.57,S,S
MOTNAS,2011-07-27,10.35,5,164,10.4,,30,52,51.2,S,S
MOTNAS,2011-07-28,10.42,5,164,10.41,,30,52,52.53,S,S
MOTNAS,2011-07-29,10.35,5,164,10.39,,30,52,51.09,S,S
MOTNAS,2011-08-01,10.5,5,164,10.43,,30,52,53.89,S,S
MOTNAS,2011-08-02,10.25,5,164,10.37,,30,52,49.05,S,S
MOTNAS,2011-08-03,9.97,5,164,10.23,,30,52,44.43,S,S
MOTNAS,2011-08-04,9.96,5,164,10.14,,30,52,44.28,S,S
MOTNAS,2011-08-05,10.05,5,164,10.11,,30,52,46.02,S,S
MOTNAS,2011-08-08,9.74,5,164,9.99,,30,52,41.41,S,S
MOTNAS,2011-08-09,9.56,5,164,9.85,,30,52,39.06,S,S
MOTNAS,2011-08-10,9.85,5,164,9.85,,30,52,44.33,S,S
MOTNAS,2011-08-11,9.5,5,164,9.73,,30,52,40.01,S,S
MOTNAS,2011-08-12,9.41,5,164,9.62,,30,52,39.0,S,S
MOTNAS,2011-08-16,9.51,5,164,9.59,,30,52,40.72,S,S
MOTNAS,2011-08-17,9.4,5,164,9.52,,30,52,39.45,S,S
MOTNAS,2011-08-18,9.51,5,164,9.52,,30,52,41.34,S,S
MOTNAS,2011-08-19,9.12,5,164,9.39,,30,52,37.1,S,S
MOTNAS,2011-08-22,9.45,5,164,9.41,,30,52,42.28,S,S
MOTNAS,2011-08-23,9.46,5,164,9.43,,30,52,42.43,S,S
MOTNAS,2011-08-24,9.35,5,164,9.4,,30,52,41.22,S,S
MOTNAS,2011-08-25,9.83,5,164,9.54,,30,52,47.92,S,S
MOTNAS,2011-08-26,9.79,5,164,9.63,,30,52,47.45,S,S
MOTNAS,2011-08-29,9.47,5,164,9.57,,30,52,43.92,S,S
MOTNAS,2011-08-30,9.91,5,164,9.69,,30,52,49.29,S,S
MOTNAS,2011-09-02,9.96,5,164,9.78,,30,52,49.86,S,S
MOTNAS,2011-09-05,9.68,5,164,9.74,,30,52,46.83,S,S
MOTNAS,2011-09-06,9.89,5,164,9.79,,30,52,49.22,S,S
MOTNAS,2011-09-07,9.9,5,164,9.83,,30,52,49.34,S,S
MOTNAS,2011-09-08,9.99,5,164,9.88,,30,52,50.36,S,S
MOTNAS,2011-09-09,9.82,5,164,9.86,,30,52,48.45,S,S
MOTNAS,2011-09-12,10.0,5,164,9.91,,30,52,50.5,S,S
MOTNAS,2011-09-13,9.95,5,164,9.92,,30,52,49.93,S,S
MOTNAS,2011-09-14,10.0,5,164,9.95,,30,52,50.51,S,S
MOTNAS,2011-09-15,10.29,5,164,10.06,,30,52,53.72,S,S
MOTNAS,2011-09-16,10.32,5,164,10.15,,30,52,54.04,S,S
MOTNAS,2011-09-19,10.41,5,164,10.24,,30,52,55.01,S,S
MOTNAS,2011-09-20,10.4,5,164,10.29,,30,52,54.87,S,S
MOTNAS,2011-09-21,10.69,5,164,10.42,,30,52,57.91,S,S
MOTNAS,2011-09-22,10.5,5,164,10.45,,30,52,55.38,S,S
MOTNAS,2011-09-23,10.62,5,164,10.51,,30,52,56.62,S,S
MOTNAS,2011-09-26,10.59,5,164,10.53,,30,52,56.22,S,S
MOTNAS,2011-09-27,10.64,5,164,10.57,,30,52,56.75,S,S
MOTNAS,2011-09-28,10.59,5,164,10.58,,30,52,56.04,S,S
MOTNAS,2011-09-29,10.66,5,164,10.6,,30,52,56.82,S,S
MOTNAS,2011-09-30,10.5,5,164,10.57,,30,52,54.55,S,S
MOTNAS,2011-10-03,10.4,5,164,10.51,,30,52,53.17,S,S
MOTNAS,2011-10-04,9.98,5,164,10.34,,30,52,47.93,S,S
MOTNAS,2011-10-05,10.17,5,164,10.28,,30,52,50.23,S,S
MOTNAS,2011-10-07,10.7,5,164,10.42,,30,52,55.85,S,S
MOTNAS,2011-10-10,10.49,5,164,10.44,,30,52,53.38,S,S
MOTNAS,2011-10-11,10.75,5,164,10.55,,30,52,55.88,S,S
MOTNAS,2011-10-12,10.87,5,164,10.65,,30,52,56.98,S,S
MOTNAS,2011-10-13,10.7,5,164,10.67,,30,52,54.97,S,S
MOTNAS,2011-10-14,11.05,5,164,10.8,,30,52,58.12,S,S
MOTNAS,2011-10-17,11.32,5,164,10.97,,30,52,60.33,S,S
MOTNAS,2011-10-18,11.17,5,164,11.04,,30,52,58.55,S,S
MOTNAS,2011-10-19,11.16,5,164,11.08,,30,52,58.43,S,S
MOTNAS,2011-10-20,11.0,5,164,11.05,,30,52,56.53,S,S
MOTNAS,2011-10-21,11.0,5,164,11.03,,30,52,56.53,S,S
MOTNAS,2011-10-24,11.0,5,164,11.02,,30,52,56.53,S,S
MOTNAS,2011-10-25,11.31,5,164,11.12,,30,52,59.37,S,S
MOTNAS,2011-10-26,11.22,5,164,11.15,,30,52,58.23,S,S
MOTNAS,2011-10-31,11.55,5,164,11.29,,30,52,61.06,S,S
MOTNAS,2011-11-01,11.2,5,164,11.26,,30,52,56.83,S,S
MOTNAS,2011-11-02,10.98,5,164,11.16,,30,52,54.38,S,S
MOTNAS,2011-11-03,11.27,5,164,11.2,,30,52,56.91,S,S
MOTNAS,2011-11-04,11.3,5,164,11.23,,30,52,57.17,S,S
MOTNAS,2011-11-08,11.3,5,164,11.26,,30,52,57.17,S,S
MOTNAS,2011-11-09,11.43,5,164,11.31,,30,52,58.31,S,S
MOTNAS,2011-11-11,11.18,5,164,11.27,,30,52,55.37,S,S
MOTNAS,2011-11-14,11.3,5,164,11.28,,30,52,56.46,S,S
MOTNAS,2011-11-15,11.4,5,164,11.32,,30,52,57.36,S,S
MOTNAS,2011-11-16,11.46,5,164,11.37,,30,52,57.9,S,S
MOTNAS,2011-11-17,11.6,5,164,11.44,,30,52,59.14,S,S
MOTNAS,2011-11-18,11.68,5,164,11.52,,30,52,59.84,S,S
MOTNAS,2011-11-21,11.26,5,164,11.44,,30,52,54.74,S,S
MOTNAS,2011-11-22,11.06,5,164,11.31,,30,52,52.53,S,S
MOTNAS,2011-11-23,11.33,5,164,11.32,,30,52,55.06,S,S
MOTNAS,2011-11-24,10.95,5,164,11.19,,30,52,51.09,S,S
MOTNAS,2011-11-25,11.13,5,164,11.17,,30,52,52.76,S,S
MOTNAS,2011-11-28,11.59,5,164,11.31,,30,52,56.67,S,S
MOTNAS,2011-11-29,11.35,5,164,11.32,,30,52,54.25,S,S
MOTNAS,2011-11-30,11.41,5,164,11.35,,30,52,54.75,S,S
MOTNAS,2011-12-01,11.5,5,164,11.4,10.59,30,52,55.5,S,B_N_Y
MOTNAS,2011-12-02,11.49,5,164,11.43,10.61,30,52,55.39,S,B_N_Y
MOTNAS,2011-12-05,11.6,5,164,11.49,10.62,30,52,56.35,S,B_N_Y
MOTNAS,2011-12-07,11.56,5,164,11.51,10.63,30,52,55.9,S,B_N_Y
MOTNAS,2011-12-08,11.6,5,164,11.54,10.65,30,52,56.26,S,B_N_Y
MOTNAS,2011-12-09,11.42,5,164,11.5,10.66,30,52,54.2,S,B_N_Y
