Stock,Date,Close,S_EMA1,S_EMA2,C_EMA1,C_EMA2,S_RSI_P,S_RSI_L_R,C_RSI_V,P_Pos,C_Pos
SBIBAN,2015-03-25,181.17,12,42,,,22,43,,B_N_Y,B_N_Y
SBIBAN,2015-03-26,183.6,12,42,,,22,43,100.0,B_N_Y,S
SBIBAN,2015-03-27,177.25,12,42,,,22,43,26.76,B_N_Y,S
SBIBAN,2015-03-30,181.25,12,42,,,22,43,50.62,B_N_Y,S
SBIBAN,2015-03-31,183.0,12,42,,,22,43,57.04,B_N_Y,S
SBIBAN,2015-04-06,186.0,12,42,,,22,43,65.17,B_N_Y,S
SBIBAN,2015-04-07,185.32,12,42,,,22,43,62.37,B_N_Y,S
SBIBAN,2015-04-08,185.0,12,42,,,22,43,61.07,B_N_Y,S
SBIBAN,2015-04-09,185.33,12,42,,,22,43,61.92,B_N_Y,S
SBIBAN,2015-04-10,184.5,12,42,,,22,43,58.54,B_N_Y,S
SBIBAN,2015-04-13,187.25,12,42,,,22,43,65.15,B_N_Y,S
SBIBAN,2015-04-15,188.35,12,42,185.25,,22,43,67.33,B_N_Y,S
SBIBAN,2015-04-17,187.15,12,42,185.58,,22,43,62.84,B_N_Y,S
SBIBAN,2015-04-20,184.25,12,42,185.35,,22,43,53.75,B_N_Y,S
SBIBAN,2015-04-21,181.25,12,42,184.67,,22,43,46.46,B_N_Y,S
SBIBAN,2015-04-22,181.35,12,42,184.12,,22,43,46.72,B_N_Y,S
SBIBAN,2015-04-23,183.03,12,42,183.94,,22,43,50.8,B_N_Y,S
SBIBAN,2015-04-24,182.0,12,42,183.63,,22,43,48.42,B_N_Y,S
SBIBAN,2015-04-27,180.57,12,42,183.14,,22,43,45.33,B_N_Y,S
SBIBAN,2015-04-28,179.15,12,42,182.5,,22,43,42.5,B_N_Y,S
SBIBAN,2015-04-29,179.15,12,42,181.97,,22,43,42.5,B_N_Y,S
SBIBAN,2015-04-30,182.0,12,42,181.97,,22,43,49.44,B_N_Y,S
SBIBAN,2015-05-04,183.5,12,42,182.21,,22,43,52.59,B_N_Y,S
SBIBAN,2015-05-07,182.0,12,42,182.18,,22,43,49.37,B_N_Y,S
SBIBAN,2015-05-08,186.0,12,42,182.78,,22,43,56.77,B_N_Y,S
SBIBAN,2015-05-11,174.74,12,42,181.52,,22,43,39.67,B_N_Y,S
SBIBAN,2015-05-12,205.0,12,42,185.18,,22,43,67.36,B_N_Y,S
SBIBAN,2015-05-13,199.9,12,42,187.46,,22,43,62.31,B_N_Y,S
SBIBAN,2015-05-14,199.0,12,42,189.25,,22,43,61.46,B_N_Y,S
SBIBAN,2015-05-15,188.0,12,42,189.06,,22,43,52.3,B_N_Y,S
SBIBAN,2015-05-18,184.0,12,42,188.28,,22,43,49.49,B_N_Y,S
SBIBAN,2015-05-19,172.5,12,42,185.84,,22,43,42.6,B_N_Y,S
SBIBAN,2015-05-20,189.21,12,42,186.36,,22,43,52.64,B_N_Y,S
SBIBAN,2015-05-21,184.61,12,42,186.09,,22,43,50.11,B_N_Y,S
SBIBAN,2015-05-22,184.55,12,42,185.85,,22,43,50.08,B_N_Y,S
SBIBAN,2015-05-25,183.09,12,42,185.42,,22,43,49.26,B_N_Y,S
SBIBAN,2015-05-26,185.52,12,42,185.44,,22,43,50.67,B_N_Y,S
SBIBAN,2015-05-27,182.5,12,42,184.99,,22,43,48.9,B_N_Y,S
SBIBAN,2015-05-28,186.78,12,42,185.26,,22,43,51.42,B_N_Y,S
SBIBAN,2015-05-29,183.72,12,42,185.03,,22,43,49.59,B_N_Y,S
SBIBAN,2015-06-01,182.01,12,42,184.56,,22,43,48.57,B_N_Y,S
SBIBAN,2015-06-02,182.11,12,42,184.18,184.69,22,43,48.64,B_N_Y,S
SBIBAN,2015-06-03,184.0,12,42,184.16,184.65,22,43,49.88,B_N_Y,S
SBIBAN,2015-06-04,189.0,12,42,184.9,184.88,22,43,53.03,B_N_Y,B_N_Y
SBIBAN,2015-06-05,184.5,12,42,184.84,184.86,22,43,50.06,B_N_Y,S
SBIBAN,2015-06-08,175.6,12,42,183.42,184.38,22,43,44.86,B_N_Y,S
SBIBAN,2015-06-09,175.1,12,42,182.14,183.9,22,43,44.59,B_N_Y,S
SBIBAN,2015-06-10,175.37,12,42,181.1,183.45,22,43,44.78,B_N_Y,S
SBIBAN,2015-06-11,175.5,12,42,180.23,183.04,22,43,44.88,B_N_Y,S
SBIBAN,2015-06-12,183.75,12,42,180.78,183.08,22,43,50.55,B_N_Y,S
SBIBAN,2015-06-15,183.5,12,42,181.19,183.1,22,43,50.38,B_N_Y,S
SBIBAN,2015-06-16,182.0,12,42,181.32,183.05,22,43,49.37,B_N_Y,S
SBIBAN,2015-06-17,176.12,12,42,180.52,182.7,22,43,45.62,B_N_Y,S
SBIBAN,2015-06-18,180.85,12,42,180.57,182.6,22,43,48.89,B_N_Y,S
SBIBAN,2015-06-19,181.0,12,42,180.64,182.52,22,43,48.99,B_N_Y,S
SBIBAN,2015-06-23,193.15,12,42,182.56,183.05,22,43,56.39,B_N_Y,S
SBIBAN,2015-06-24,193.99,12,42,184.32,183.6,22,43,56.84,B_N_Y,B_N_Y
SBIBAN,2015-06-25,188.76,12,42,185.0,183.85,22,43,53.23,B_N_Y,B_N_Y
SBIBAN,2015-06-29,182.2,12,42,184.57,183.77,22,43,49.14,B_N_Y,B_N_Y
SBIBAN,2015-06-30,180.41,12,42,183.93,183.61,22,43,48.08,B_N_Y,B_N_Y
SBIBAN,2015-07-01,186.3,12,42,184.3,183.74,22,43,51.66,B_N_Y,B_N_Y
SBIBAN,2015-07-02,185.95,12,42,184.55,183.85,22,43,51.44,B_N_Y,B_N_Y
SBIBAN,2015-07-03,185.85,12,42,184.75,183.95,22,43,51.38,B_N_Y,B_N_Y
SBIBAN,2015-07-06,188.3,12,42,185.3,184.16,22,43,52.92,B_N_Y,B_N_Y
SBIBAN,2015-07-07,188.95,12,42,185.86,184.39,22,43,53.34,B_N_Y,B_N_Y
SBIBAN,2015-07-08,185.7,12,42,185.83,184.46,22,43,51.0,B_N_Y,B_N_Y
SBIBAN,2015-07-09,187.2,12,42,186.04,184.59,22,43,52.01,B_N_Y,B_N_Y
SBIBAN,2015-07-10,187.99,12,42,186.34,184.75,22,43,52.56,B_N_Y,B_N_Y
SBIBAN,2015-07-13,189.0,12,42,186.75,184.96,22,43,53.27,B_N_Y,B_N_Y
SBIBAN,2015-07-14,186.95,12,42,186.78,185.05,22,43,51.63,B_N_Y,B_N_Y
SBIBAN,2015-07-16,191.75,12,42,187.55,185.38,22,43,55.03,B_N_Y,B_N_Y
SBIBAN,2015-07-20,191.45,12,42,188.15,185.67,22,43,54.77,B_N_Y,B_N_Y
SBIBAN,2015-07-21,190.01,12,42,188.43,185.88,22,43,53.54,B_N_Y,B_N_Y
SBIBAN,2015-07-22,190.15,12,42,188.7,186.08,22,43,53.65,B_N_Y,B_N_Y
SBIBAN,2015-07-23,191.0,12,42,189.05,186.32,22,43,54.31,B_N_Y,B_N_Y
SBIBAN,2015-07-24,190.0,12,42,189.2,186.49,22,43,53.37,B_N_Y,B_N_Y
SBIBAN,2015-07-27,184.91,12,42,188.54,186.42,22,43,48.84,B_N_Y,B_N_Y
SBIBAN,2015-07-28,186.5,12,42,188.22,186.42,22,43,50.22,B_N_Y,B_N_Y
SBIBAN,2015-07-29,185.65,12,42,187.83,186.38,22,43,49.48,B_N_Y,B_N_Y
SBIBAN,2015-07-31,190.25,12,42,188.2,186.57,22,43,53.41,B_N_Y,B_N_Y
SBIBAN,2015-08-03,190.0,12,42,188.48,186.73,22,43,53.17,B_N_Y,B_N_Y
SBIBAN,2015-08-04,192.05,12,42,189.03,186.98,22,43,54.89,B_N_Y,B_N_Y
SBIBAN,2015-08-05,192.8,12,42,189.61,187.26,22,43,55.51,B_N_Y,B_N_Y
SBIBAN,2015-08-06,191.2,12,42,189.85,187.45,22,43,53.85,B_N_Y,B_N_Y
SBIBAN,2015-08-07,191.65,12,42,190.13,187.65,22,43,54.25,B_N_Y,B_N_Y
SBIBAN,2015-08-10,190.88,12,42,190.24,187.8,22,43,53.41,B_N_Y,B_N_Y
SBIBAN,2015-08-11,186.95,12,42,189.74,187.76,22,43,49.34,B_N_Y,B_N_Y
SBIBAN,2015-08-12,181.9,12,42,188.53,187.48,22,43,44.75,B_N_Y,B_N_Y
SBIBAN,2015-08-13,185.0,12,42,187.99,187.36,22,43,47.87,B_N_Y,B_N_Y
SBIBAN,2015-08-14,187.9,12,42,187.98,187.39,22,43,50.6,B_N_Y,B_N_Y
SBIBAN,2015-08-17,188.9,12,42,188.12,187.46,22,43,51.52,B_N_Y,B_N_Y
SBIBAN,2015-08-18,189.4,12,42,188.31,187.55,22,43,51.99,B_N_Y,B_N_Y
SBIBAN,2015-08-19,189.45,12,42,188.49,187.64,22,43,52.04,B_N_Y,B_N_Y
SBIBAN,2015-08-20,186.2,12,42,188.14,187.57,22,43,48.69,B_N_Y,B_N_Y
SBIBAN,2015-08-21,182.0,12,42,187.19,187.31,22,43,44.79,B_N_Y,S
SBIBAN,2015-08-24,172.0,12,42,184.86,186.59,22,43,37.33,B_N_Y,S
SBIBAN,2015-08-25,174.67,12,42,183.29,186.03,22,43,40.12,B_N_Y,S
SBIBAN,2015-08-26,172.0,12,42,181.55,185.37,22,43,38.33,B_N_Y,S
SBIBAN,2015-08-27,172.1,12,42,180.1,184.75,22,43,38.44,B_N_Y,S
SBIBAN,2015-08-28,170.6,12,42,178.64,184.09,22,43,37.42,B_N_Y,S
SBIBAN,2015-08-31,173.25,12,42,177.81,183.58,22,43,40.36,B_N_Y,S
SBIBAN,2015-09-01,168.44,12,42,176.37,182.87,22,43,37.05,B_N_Y,S
SBIBAN,2015-09-02,165.95,12,42,174.76,182.08,22,43,35.47,B_N_Y,S
SBIBAN,2015-09-03,167.0,12,42,173.57,181.37,22,43,36.66,B_N_Y,S
SBIBAN,2015-09-04,163.95,12,42,172.09,180.55,22,43,34.71,B_N_Y,S
SBIBAN,2015-09-07,160.33,12,42,170.28,179.61,22,43,32.55,B_N_Y,S
SBIBAN,2015-09-08,163.6,12,42,169.25,178.86,22,43,36.3,B_N_Y,S
SBIBAN,2015-09-09,167.1,12,42,168.92,178.31,22,43,40.03,B_N_Y,S
SBIBAN,2015-09-10,164.45,12,42,168.23,177.66,22,43,38.25,B_N_Y,S
SBIBAN,2015-09-11,167.85,12,42,168.17,177.2,22,43,41.73,B_N_Y,S
SBIBAN,2015-09-14,169.6,12,42,168.39,176.85,22,43,43.45,B_N_Y,S
