Stock,Date,Close,S_EMA1,S_EMA2,C_EMA1,C_EMA2,S_RSI_P,S_RSI_L_R,C_RSI_V,P_Pos,C_Pos
SBIEIT,2020-10-22,216.0,5,83,,,2,52,,S,B_N_Y
SBIEIT,2020-10-23,226.42,5,83,,,2,52,100.0,S,S
SBIEIT,2020-10-26,213.99,5,83,,,2,52,29.54,S,S
SBIEIT,2020-10-27,211.99,5,83,,,2,52,24.08,S,S
SBIEIT,2020-10-28,208.5,5,83,212.94,,2,52,14.63,S,S
SBIEIT,2020-10-29,212.87,5,83,212.91,,2,52,56.93,S,S
SBIEIT,2020-10-30,213.0,5,83,212.94,,2,52,58.16,S,S
SBIEIT,2020-11-02,209.25,5,83,211.66,,2,52,21.93,S,S
SBIEIT,2020-11-03,210.34,5,83,211.21,,2,52,42.69,S,S
SBIEIT,2020-11-04,213.4,5,83,211.95,,2,52,77.01,S,S
SBIEIT,2020-11-05,215.0,5,83,212.98,,2,52,85.86,S,S
SBIEIT,2020-11-06,216.63,5,83,214.21,,2,52,92.08,S,S
SBIEIT,2020-11-09,217.97,5,83,215.47,,2,52,95.4,S,S
SBIEIT,2020-11-10,211.01,5,83,213.98,,2,52,17.8,S,S
SBIEIT,2020-11-11,214.85,5,83,214.27,,2,52,56.68,S,S
SBIEIT,2020-11-12,217.98,5,83,215.51,,2,52,75.54,S,S
SBIEIT,2020-11-13,215.0,5,83,215.34,,2,52,41.3,S,S
SBIEIT,2020-11-14,218.24,5,83,216.31,,2,52,70.44,S,S
SBIEIT,2020-11-17,215.38,5,83,216.0,,2,52,37.54,S,S
SBIEIT,2020-11-18,213.98,5,83,215.32,,2,52,25.76,S,S
SBIEIT,2020-11-19,210.37,5,83,213.67,,2,52,9.84,S,S
SBIEIT,2020-11-20,213.01,5,83,213.45,,2,52,52.65,S,S
SBIEIT,2020-11-23,220.5,5,83,215.8,,2,52,87.18,S,S
SBIEIT,2020-11-24,222.12,5,83,217.91,,2,52,90.26,S,S
SBIEIT,2020-11-25,220.11,5,83,218.64,,2,52,56.58,S,S
SBIEIT,2020-11-26,220.59,5,83,219.29,,2,52,63.15,S,S
SBIEIT,2020-11-27,220.96,5,83,219.85,,2,52,70.12,S,S
SBIEIT,2020-12-01,220.51,5,83,220.07,,2,52,48.03,S,S
SBIEIT,2020-12-02,224.32,5,83,221.49,,2,52,91.8,S,S
SBIEIT,2020-12-03,224.06,5,83,222.34,,2,52,82.33,S,S
SBIEIT,2020-12-04,223.84,5,83,222.84,,2,52,70.1,S,S
SBIEIT,2020-12-07,226.43,5,83,224.04,,2,52,93.35,S,S
SBIEIT,2020-12-08,230.89,5,83,226.32,,2,52,98.19,S,S
SBIEIT,2020-12-09,230.12,5,83,227.59,,2,52,78.47,S,S
SBIEIT,2020-12-10,228.36,5,83,227.85,,2,52,40.9,S,S
SBIEIT,2020-12-11,228.0,5,83,227.9,,2,52,34.2,S,S
SBIEIT,2020-12-14,228.84,5,83,228.21,,2,52,62.71,S,S
SBIEIT,2020-12-15,228.06,5,83,228.16,,2,52,34.75,S,S
SBIEIT,2020-12-16,229.97,5,83,228.76,,2,52,79.5,S,S
SBIEIT,2020-12-17,229.89,5,83,229.14,,2,52,75.18,S,S
SBIEIT,2020-12-18,233.81,5,83,230.7,,2,52,96.08,S,S
SBIEIT,2020-12-21,228.73,5,83,230.04,,2,52,30.19,S,S
SBIEIT,2020-12-22,236.56,5,83,232.21,,2,52,77.58,S,S
SBIEIT,2020-12-23,243.54,5,83,235.99,,2,52,89.86,S,S
SBIEIT,2020-12-24,242.89,5,83,238.29,,2,52,81.54,S,S
SBIEIT,2020-12-28,243.25,5,83,239.94,,2,52,83.26,S,S
SBIEIT,2020-12-29,244.39,5,83,241.43,,2,52,89.46,S,S
SBIEIT,2020-12-30,244.91,5,83,242.59,,2,52,92.13,S,S
SBIEIT,2020-12-31,243.5,5,83,242.89,,2,52,38.87,S,S
SBIEIT,2021-01-01,244.6,5,83,243.46,,2,52,67.86,S,S
SBIEIT,2021-01-04,251.83,5,83,246.25,,2,52,95.56,S,S
SBIEIT,2021-01-05,259.88,5,83,250.79,,2,52,98.48,S,S
SBIEIT,2021-01-06,256.15,5,83,252.58,,2,52,61.2,S,S
SBIEIT,2021-01-07,255.18,5,83,253.45,,2,52,51.13,S,S
SBIEIT,2021-01-08,263.2,5,83,256.7,,2,52,86.86,S,S
SBIEIT,2021-01-11,271.28,5,83,261.56,,2,52,94.69,S,S
SBIEIT,2021-01-12,271.61,5,83,264.91,,2,52,94.94,S,S
SBIEIT,2021-01-13,272.33,5,83,267.38,,2,52,95.79,S,S
SBIEIT,2021-01-14,272.13,5,83,268.97,,2,52,87.59,S,S
SBIEIT,2021-01-15,266.27,5,83,268.07,,2,52,14.57,S,S
SBIEIT,2021-01-18,261.41,5,83,265.85,,2,52,6.11,S,S
SBIEIT,2021-01-19,261.23,5,83,264.31,,2,52,5.86,S,S
SBIEIT,2021-01-20,268.39,5,83,265.67,,2,52,78.0,S,S
SBIEIT,2021-01-21,264.44,5,83,265.26,,2,52,42.26,S,S
SBIEIT,2021-01-22,265.12,5,83,265.21,,2,52,50.13,S,S
SBIEIT,2021-01-25,262.74,5,83,264.39,,2,52,25.66,S,S
SBIEIT,2021-01-27,260.86,5,83,263.21,,2,52,14.49,S,S
SBIEIT,2021-01-28,255.5,5,83,260.64,,2,52,4.16,S,S
SBIEIT,2021-01-29,249.66,5,83,256.98,,2,52,1.63,S,S
SBIEIT,2021-02-01,252.74,5,83,255.57,,2,52,40.08,S,S
SBIEIT,2021-02-02,256.95,5,83,256.03,,2,52,71.03,S,S
SBIEIT,2021-02-03,259.21,5,83,257.09,,2,52,81.37,S,S
SBIEIT,2021-02-04,258.24,5,83,257.47,,2,52,62.29,S,S
SBIEIT,2021-02-05,255.83,5,83,256.93,,2,52,28.77,S,S
SBIEIT,2021-02-08,258.44,5,83,257.43,,2,52,67.11,S,S
SBIEIT,2021-02-09,259.21,5,83,258.02,,2,52,75.04,S,S
SBIEIT,2021-02-10,260.26,5,83,258.77,,2,52,84.94,S,S
SBIEIT,2021-02-11,260.79,5,83,259.44,,2,52,89.24,S,S
SBIEIT,2021-02-12,261.34,5,83,260.08,,2,52,93.25,S,S
SBIEIT,2021-02-15,262.32,5,83,260.82,,2,52,97.1,S,S
SBIEIT,2021-02-16,258.65,5,83,260.1,,2,52,18.42,S,S
SBIEIT,2021-02-17,256.55,5,83,258.92,,2,52,9.56,S,S
SBIEIT,2021-02-18,258.57,5,83,258.8,248.23,2,52,53.03,S,B_N_Y
SBIEIT,2021-02-19,257.41,5,83,258.34,248.48,2,52,34.17,S,B
SBIEIT,2021-02-22,250.11,5,83,255.59,248.53,2,52,6.24,S,B
SBIEIT,2021-02-23,250.79,5,83,253.99,248.59,2,52,18.63,S,B
