Stock,Date,Close,S_EMA1,S_EMA2,C_EMA1,C_EMA2,S_RSI_P,S_RSI_L_R,C_RSI_V,P_Pos,C_Pos
SBINIF,2015-07-27,85.35,32,34,,,21,59,,B,B_N_Y
SBINIF,2015-07-29,83.04,32,34,,,21,59,0.0,B,S
SBINIF,2015-07-30,86.1,32,34,,,21,59,58.17,B,S
SBINIF,2015-07-31,86.02,32,34,,,21,59,57.26,B,S
SBINIF,2015-08-03,86.73,32,34,,,21,59,62.72,B,S
SBINIF,2015-08-04,86.1,32,34,,,21,59,56.05,B,S
SBINIF,2015-08-07,87.61,32,34,,,21,59,65.33,B,S
SBINIF,2015-08-10,86.05,32,34,,,21,59,53.15,B,S
SBINIF,2015-08-11,85.15,32,34,,,21,59,47.76,B,S
SBINIF,2015-08-12,84.1,32,34,,,21,59,42.48,B,S
SBINIF,2015-08-13,84.2,32,34,,,21,59,43.11,B,S
SBINIF,2015-08-14,85.19,32,34,,,21,59,48.92,B,S
SBINIF,2015-08-17,85.35,32,34,,,21,59,49.79,B,S
SBINIF,2015-08-18,85.5,32,34,,,21,59,50.61,B,S
SBINIF,2015-08-19,85.9,32,34,,,21,59,52.79,B,S
SBINIF,2015-08-20,85.5,32,34,,,21,59,50.46,B,S
SBINIF,2015-08-21,83.94,32,34,,,21,59,42.71,B,S
SBINIF,2015-08-24,80.08,32,34,,,21,59,30.54,B,S
SBINIF,2015-08-25,80.1,32,34,,,21,59,30.65,B,S
SBINIF,2015-08-26,78.99,32,34,,,21,59,28.11,B,S
SBINIF,2015-08-27,80.0,32,34,,,21,59,33.38,B,S
SBINIF,2015-08-28,80.49,32,34,,,21,59,35.77,B,S
SBINIF,2015-08-31,80.7,32,34,,,21,59,36.8,B,S
SBINIF,2015-09-01,78.0,32,34,,,21,59,30.28,B,S
SBINIF,2015-09-02,78.02,32,34,,,21,59,30.38,B,S
SBINIF,2015-09-03,78.55,32,34,,,21,59,32.94,B,S
SBINIF,2015-09-04,77.3,32,34,,,21,59,30.19,B,S
SBINIF,2015-09-07,76.3,32,34,,,21,59,28.21,B,S
SBINIF,2015-09-08,77.52,32,34,,,21,59,33.78,B,S
SBINIF,2015-09-09,78.65,32,34,,,21,59,38.42,B,S
SBINIF,2015-09-10,79.55,32,34,,,21,59,41.83,B,S
SBINIF,2015-09-11,78.5,32,34,80.65,,21,59,39.17,B,S
SBINIF,2015-09-14,79.62,32,34,80.58,,21,59,43.22,B,S
SBINIF,2015-09-15,78.34,32,34,80.43,80.51,21,59,40.02,B,S
SBINIF,2015-09-16,78.7,32,34,80.31,80.39,21,59,41.3,B,S
SBINIF,2015-09-18,79.8,32,34,80.27,80.36,21,59,45.07,B,S
SBINIF,2015-09-21,79.75,32,34,80.24,80.32,21,59,44.93,B,S
SBINIF,2015-09-22,78.9,32,34,80.15,80.23,21,59,42.61,B,S
SBINIF,2015-09-23,79.0,32,34,80.07,80.15,21,59,42.97,B,S
SBINIF,2015-09-24,78.5,32,34,79.97,80.04,21,59,41.59,B,S
SBINIF,2015-09-28,78.5,32,34,79.87,79.95,21,59,41.59,B,S
SBINIF,2015-09-29,78.55,32,34,79.79,79.86,21,59,41.8,B,S
SBINIF,2015-09-30,79.97,32,34,79.8,79.87,21,59,47.35,B,S
SBINIF,2015-10-01,80.0,32,34,79.81,79.87,21,59,47.46,B,S
SBINIF,2015-10-05,82.0,32,34,79.95,80.01,21,59,54.23,B,S
SBINIF,2015-10-06,81.8,32,34,80.07,80.12,21,59,53.5,B,S
SBINIF,2015-10-07,82.0,32,34,80.19,80.23,21,59,54.15,B,S
SBINIF,2015-10-08,81.4,32,34,80.27,80.3,21,59,51.89,B,S
SBINIF,2015-10-09,82.2,32,34,80.39,80.42,21,59,54.54,B,S
SBINIF,2015-10-12,81.85,32,34,80.49,80.5,21,59,53.19,B,S
SBINIF,2015-10-13,81.84,32,34,80.57,80.58,21,59,53.16,B,S
SBINIF,2015-10-14,81.55,32,34,80.63,80.64,21,59,51.98,B,S
SBINIF,2015-10-15,82.3,32,34,80.74,80.74,21,59,54.7,B,S
SBINIF,2015-10-16,82.85,32,34,80.87,80.87,21,59,56.59,B,S
SBINIF,2015-10-19,83.0,32,34,81.0,80.99,21,59,57.1,B,B
SBINIF,2015-10-20,83.4,32,34,81.15,81.14,21,59,58.47,B,B
SBINIF,2015-10-21,83.0,32,34,81.27,81.25,21,59,56.57,B,B
SBINIF,2015-10-23,83.5,32,34,81.41,81.38,21,59,58.35,B,B
SBINIF,2015-10-26,83.6,32,34,81.54,81.51,21,59,58.7,B,B
SBINIF,2015-10-27,83.38,32,34,81.66,81.62,21,59,57.57,B,B
SBINIF,2015-10-28,82.5,32,34,81.71,81.67,21,59,53.25,B,B
SBINIF,2015-10-29,81.98,32,34,81.73,81.69,21,59,50.89,B,B
SBINIF,2015-10-30,81.25,32,34,81.7,81.66,21,59,47.76,B,B
SBINIF,2015-11-02,80.36,32,34,81.61,81.59,21,59,44.27,B,B
SBINIF,2015-11-03,81.34,32,34,81.6,81.57,21,59,48.61,B,B
SBINIF,2015-11-04,80.78,32,34,81.55,81.53,21,59,46.44,B,B
SBINIF,2015-11-05,80.02,32,34,81.45,81.44,21,59,43.66,B,B
SBINIF,2015-11-06,80.0,32,34,81.36,81.36,21,59,43.59,B,S
SBINIF,2015-11-09,79.95,32,34,81.28,81.27,21,59,43.41,B,B
SBINIF,2015-11-10,78.72,32,34,81.12,81.13,21,59,39.06,B,S
SBINIF,2015-11-11,86.65,32,34,81.46,81.45,21,59,63.68,B,B_N_Y
SBINIF,2015-11-13,78.21,32,34,81.26,81.26,21,59,43.87,B,S
SBINIF,2015-11-16,78.3,32,34,81.08,81.09,21,59,44.07,B,S
SBINIF,2015-11-17,78.6,32,34,80.93,80.94,21,59,44.74,B,S
SBINIF,2015-11-18,77.9,32,34,80.74,80.77,21,59,43.46,B,S
SBINIF,2015-11-19,78.75,32,34,80.62,80.65,21,59,45.45,B,S
SBINIF,2015-11-20,79.0,32,34,80.52,80.56,21,59,46.03,B,S
SBINIF,2015-11-23,78.85,32,34,80.42,80.46,21,59,45.72,B,S
SBINIF,2015-11-24,78.5,32,34,80.3,80.34,21,59,44.98,B,S
SBINIF,2015-11-26,78.85,32,34,80.21,80.26,21,59,45.9,B,S
SBINIF,2015-11-27,79.9,32,34,80.19,80.24,21,59,48.61,B,S
SBINIF,2015-11-30,79.86,32,34,80.17,80.22,21,59,48.51,B,S
SBINIF,2015-12-01,79.85,32,34,80.15,80.19,21,59,48.49,B,S
SBINIF,2015-12-02,80.56,32,34,80.18,80.22,21,59,50.42,B,S
SBINIF,2015-12-03,79.2,32,34,80.12,80.16,21,59,46.88,B,S
SBINIF,2015-12-04,78.4,32,34,80.01,80.06,21,59,44.93,B,S
SBINIF,2015-12-07,78.2,32,34,79.9,79.95,21,59,44.44,B,S
SBINIF,2015-12-08,77.73,32,34,79.77,79.82,21,59,43.29,B,S
SBINIF,2015-12-09,76.63,32,34,79.58,79.64,21,59,40.69,B,S
SBINIF,2015-12-10,77.0,32,34,79.42,79.49,21,59,41.92,B,S
SBINIF,2015-12-11,76.5,32,34,79.25,79.32,21,59,40.72,B,S
SBINIF,2015-12-14,76.95,32,34,79.11,79.18,21,59,42.28,B,S
SBINIF,2015-12-15,77.49,32,34,79.01,79.08,21,59,44.14,B,S
SBINIF,2015-12-16,78.0,32,34,78.95,79.02,21,59,45.86,B,S
SBINIF,2015-12-17,78.25,32,34,78.9,78.98,21,59,46.7,B,S
SBINIF,2015-12-18,78.02,32,34,78.85,78.92,21,59,46.01,B,S
SBINIF,2015-12-21,78.55,32,34,78.83,78.9,21,59,47.88,B,S
SBINIF,2015-12-22,78.24,32,34,78.8,78.86,21,59,46.88,B,S
SBINIF,2015-12-23,78.65,32,34,78.79,78.85,21,59,48.38,B,S
SBINIF,2015-12-24,79.95,32,34,78.86,78.91,21,59,52.81,B,S
SBINIF,2015-12-28,79.85,32,34,78.92,78.97,21,59,52.45,B,S
SBINIF,2015-12-29,79.65,32,34,78.96,79.01,21,59,51.7,B,S
SBINIF,2015-12-30,79.35,32,34,78.99,79.03,21,59,50.56,B,S
SBINIF,2015-12-31,79.99,32,34,79.05,79.08,21,59,52.88,B,S
SBINIF,2016-01-01,80.2,32,34,79.12,79.15,21,59,53.63,B,S
SBINIF,2016-01-04,78.59,32,34,79.09,79.11,21,59,47.55,B,S
SBINIF,2016-01-05,78.29,32,34,79.04,79.07,21,59,46.52,B,S
SBINIF,2016-01-06,77.83,32,34,78.96,79.0,21,59,44.95,B,S
SBINIF,2016-01-07,76.55,32,34,78.82,78.86,21,59,40.91,B,S
SBINIF,2016-01-08,76.32,32,34,78.67,78.71,21,59,40.23,B,S
SBINIF,2016-01-11,76.3,32,34,78.52,78.57,21,59,40.17,B,S
SBINIF,2016-01-12,75.5,32,34,78.34,78.4,21,59,37.76,B,S
SBINIF,2016-01-13,76.2,32,34,78.21,78.27,21,59,41.01,B,S
SBINIF,2016-01-14,75.75,32,34,78.06,78.13,21,59,39.61,B,S
SBINIF,2016-01-15,74.48,32,34,77.84,77.92,21,59,35.98,B,S
SBINIF,2016-01-18,74.0,32,34,77.61,77.69,21,59,34.72,B,S
SBINIF,2016-01-19,74.08,32,34,77.4,77.49,21,59,35.12,B,S
SBINIF,2016-01-20,73.41,32,34,77.15,77.25,21,59,33.33,B,S
SBINIF,2016-01-21,73.28,32,34,76.92,77.03,21,59,32.99,B,S
SBINIF,2016-01-22,74.49,32,34,76.77,76.88,21,59,39.1,B,S
SBINIF,2016-01-25,74.75,32,34,76.65,76.76,21,59,40.33,B,S
SBINIF,2016-01-27,75.19,32,34,76.56,76.67,21,59,42.39,B,S
SBINIF,2016-01-28,75.03,32,34,76.47,76.58,21,59,41.84,B,S
SBINIF,2016-01-29,76.6,32,34,76.48,76.58,21,59,48.73,B,S
SBINIF,2016-02-01,76.18,32,34,76.46,76.55,21,59,47.16,B,S
SBINIF,2016-02-02,75.63,32,34,76.41,76.5,21,59,45.16,B,S
SBINIF,2016-02-03,74.31,32,34,76.28,76.38,21,59,40.8,B,S
SBINIF,2016-02-04,75.0,32,34,76.2,76.3,21,59,43.78,B,S
SBINIF,2016-02-05,75.3,32,34,76.15,76.24,21,59,45.04,B,S
SBINIF,2016-02-08,74.9,32,34,76.07,76.16,21,59,43.67,B,S
SBINIF,2016-02-09,73.69,32,34,75.93,76.02,21,59,39.82,B,S
SBINIF,2016-02-10,72.76,32,34,75.74,75.84,21,59,37.17,B,S
SBINIF,2016-02-11,71.35,32,34,75.47,75.58,21,59,33.61,B,S
SBINIF,2016-02-12,70.36,32,34,75.16,75.28,21,59,31.4,B,S
SBINIF,2016-02-15,71.99,32,34,74.97,75.09,21,59,38.41,B,S
SBINIF,2016-02-16,71.0,32,34,74.73,74.86,21,59,36.06,B,S
SBINIF,2016-02-17,71.75,32,34,74.55,74.68,21,59,39.03,B,S
SBINIF,2016-02-18,72.75,32,34,74.44,74.57,21,59,42.75,B,S
SBINIF,2016-02-19,72.7,32,34,74.33,74.46,21,59,42.62,B,S
SBINIF,2016-02-22,72.87,32,34,74.24,74.37,21,59,43.26,B,S
SBINIF,2016-02-23,71.52,32,34,74.08,74.21,21,59,39.55,B,S
SBINIF,2016-02-24,70.6,32,34,73.87,74.0,21,59,37.25,B,S
SBINIF,2016-02-25,70.24,32,34,73.65,73.79,21,59,36.39,B,S
SBINIF,2016-02-26,73.41,32,34,73.63,73.77,21,59,47.64,B,S
SBINIF,2016-02-29,70.01,32,34,73.41,73.55,21,59,39.73,B,S
SBINIF,2016-03-01,72.43,32,34,73.35,73.49,21,59,46.39,B,S
SBINIF,2016-03-02,73.7,32,34,73.38,73.5,21,59,49.46,B,S
SBINIF,2016-03-03,74.77,32,34,73.46,73.57,21,59,51.9,B,S
SBINIF,2016-03-04,74.8,32,34,73.54,73.64,21,59,51.97,B,S
SBINIF,2016-03-08,74.85,32,34,73.62,73.71,21,59,52.09,B,S
SBINIF,2016-03-09,75.71,32,34,73.75,73.83,21,59,54.14,B,S
SBINIF,2016-03-10,74.93,32,34,73.82,73.89,21,59,52.02,B,S
SBINIF,2016-03-11,78.07,32,34,74.08,74.13,21,59,58.84,B,S
SBINIF,2016-03-14,75.75,32,34,74.18,74.22,21,59,53.0,B,S
SBINIF,2016-03-15,74.9,32,34,74.22,74.26,21,59,51.05,B,S
SBINIF,2016-03-16,75.4,32,34,74.29,74.32,21,59,52.13,B,S
